rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,1,4,Davi Kneip
2,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,2,11,2,Matuê
3,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,2,19,Xamã
4,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,3,9,PEDRO SAMPAIO
5,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,5,5,2,Teto
6,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,4,22,Anitta
7,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,2,6,13,Chefin
8,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,6,8,18,Mc Poze do Rodo
9,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,9,11,Zé Felipe
10,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,5,10,13,Hugo & Guilherme
11,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,5,7,9,Gloria Groove
12,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",12,13,7,Vulgo FK
13,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,9,14,7,Pineapple StormTv
14,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,12,16,10,Luan Santana
15,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,15,40,2,Felipe Amorim
16,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,8,12,9,Luísa Sonza
17,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,6,15,9,MC Rogerinho
18,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,3,17,18,DJ Matt D
19,spotify:track:1iaPDgTbsKrlznVu13EWIf,ESSÊNCIA DE CRIA,15,22,16,MC Cabelinho
20,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,14,18,18,Jorge & Mateus
21,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,2,19,22,George Henrique & Rodrigo
22,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,22,24,2,Harry Styles
23,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,17,20,15,Matuê
24,spotify:track:68qqVn5kHBv4zc45SDGLnh,Corte Americano,24,25,26,Filipe Ret
25,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,23,26,Marília Mendonça
26,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,7,21,20,Gusttavo Lima
27,spotify:track:0OJ8KWhqLMHkfI59yh398v,Sei Que Tu Gosta Muito,27,44,2,L7NNON
28,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,28,65,2,Gusttavo Lima
29,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,29,26,Henrique & Juliano
30,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,30,51,2,Matheus Fernandes
31,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,2,28,22,Zé Felipe
32,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,30,30,9,Zé Neto & Cristiano
33,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,2,27,26,PEDRO SAMPAIO
34,spotify:track:7KPhwNko8V9vYBIN653hSO,A Cara do Crime 2 (Cansou de Playboy),15,32,12,Mc Poze do Rodo
35,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,13,33,26,Henrique & Juliano
36,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,8,31,21,Mari Fernandez
37,spotify:track:5jYEiTNR3FQXFouTX7Ju0N,Socadona,6,26,12,LUDMILLA
38,spotify:track:1FGRA5pMtBqJLNAaSBia2x,Maldivas,20,36,11,LUDMILLA
39,spotify:track:0cHflpV8SSGbE0NKaasEfT,F* F* M*,39,42,6,Filipe Ret
40,spotify:track:7BwjZ1jy4B0ZyXTY4YQM9A,Assault (Carro Forte),40,—,1,Orochi
41,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,7,37,11,Dj Guuga
42,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,24,34,17,Wesley Safadão
43,spotify:track:5tQj2mfKL21L9mQ643z5zw,Boys Don't Cry,12,41,11,Anitta
44,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,5,39,23,Marília Mendonça
45,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,22,38,13,Jão
46,spotify:track:53BkPZwlaLbW77uV9BnJkl,Eu Fiz o Jogo Virar,9,45,26,Mc Poze do Rodo
47,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,41,46,21,Henrique & Juliano
