rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,1,11,L7NNON
2,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,2,2,9,Ana Castela
3,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,3,4,24,MC Cabelinho
4,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,2,3,6,Luísa Sonza
5,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,1,6,21,Matuê
6,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,2,5,9,MC Tairon
7,spotify:track:3ZtHHGpAPSWC7Gnios4lmK,Metflix,7,7,5,Mc Poze do Rodo
8,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,8,18,2,Luan Santana
9,spotify:track:6KKT8dzP21J4WwBp9swjob,Sonho Dos Cria,4,9,10,Filipe Ret
10,spotify:track:347KmRWwYXcZSUgelz7Cit,Konteiner,1,11,10,Filipe Ret
11,spotify:track:3jrxlhAtoxi83qc76NT9EG,7 Meiota,11,14,10,Filipe Ret
12,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,3,12,21,Teto
13,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,12,13,6,MC Kevin o Chris
14,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,10,23,Davi Kneip
15,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,15,19,7,Guilherme & Benuto
16,spotify:track:0ssgd2ZvDawP0KHGfBYRpv,Good Vibe,16,17,10,Filipe Ret
17,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,13,15,5,Marília Mendonça
18,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,4,16,21,Matheus Fernandes
19,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,5,8,10,Zé Felipe
20,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,19,21,4,Mc Jacaré
21,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,6,20,15,João Gomes
22,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,22,38,3,Mc Paiva ZS
23,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,6,22,37,Mc Poze do Rodo
24,spotify:track:1iaPDgTbsKrlznVu13EWIf,ESSÊNCIA DE CRIA,15,24,35,MC Cabelinho
25,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,19,23,7,Gusttavo Lima
26,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,11,29,21,Harry Styles
27,spotify:track:4eTtgdIXEy2LvLeg7NNSov,Vizão de Cria 2,27,33,3,Dallass
28,spotify:track:3fSxnkjdgPucRCskjmAlgx,A Cara do Crime 3 (Brinde à Liberdade),10,25,13,Mc Poze do Rodo
29,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,19,27,5,Nivaldo Marques
30,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,21,32,16,Jorge & Mateus
31,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,5,36,32,Hugo & Guilherme
32,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,32,40,3,DJ AK BR
33,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,10,26,17,MC Rogerinho
34,spotify:track:5DhiTYpD599fu3q7fCepgL,Dior,25,39,10,BIN
35,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,16,35,18,MC Braz
36,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,10,30,13,Mc Don Juan
37,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,31,37,13,Mari Fernandez
38,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,7,28,11,Baco Exu do Blues
39,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,39,47,22,Matheus & Kauan
40,spotify:track:5qtQJJqJUjk2zNjRroqgLk,Tudo Nosso,5,31,10,Filipe Ret
41,spotify:track:3aOnJBwzo1DVQmIJwgj8Au,A Meu Favor,30,45,10,Filipe Ret
42,spotify:track:68qqVn5kHBv4zc45SDGLnh,Corte Americano,20,44,45,Filipe Ret
43,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,12,49,19,Luan Santana
44,spotify:track:1XcmAgREOuJQb91sr68AAD,Sentadinha Diferente,42,42,6,Dyamante DJ
45,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,9,46,26,Pineapple StormTv
46,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,10,48,21,Gusttavo Lima
47,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,34,28,PEDRO SAMPAIO
48,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,6,41,21,Felipe Amorim
49,spotify:track:14uWxelOuAUajP8fDvc0Ct,Falta Você,43,43,13,Thiaguinho
50,spotify:track:7BwjZ1jy4B0ZyXTY4YQM9A,Assault (Carro Forte),35,51,20,Orochi
51,spotify:track:0cHflpV8SSGbE0NKaasEfT,F* F* M*,34,52,25,Filipe Ret
52,spotify:track:1RgJ4lexKGNBlKnyxB5SRt,Balazul,27,53,11,Teto
53,spotify:track:4HD67byP5AqlOGuoMyUgyA,Melhor Agora,25,54,10,Filipe Ret
54,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,2,55,41,George Henrique & Rodrigo
55,spotify:track:4NFkcqZ3jU2O9rgEbuluVn,Bafora o Lança - Remix,55,—,1,Mario Mc
56,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,50,38,Xamã
57,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,57,59,12,Israel & Rodolffo
58,spotify:track:0skYUMpS0AcbpjcGsAbRGj,Pink Venom,58,—,1,BLACKPINK
59,spotify:track:7v3BTjWrmUYjaGiVHVVhCK,Na Rebolada,59,—,1,Os Quebradeiras
60,spotify:track:13Rf6RaZT13TW4xLQR3MQr,Poesia Acústica #6: Era uma Vez,59,61,45,Pineapple StormTv
61,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,14,73,37,Jorge & Mateus
62,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,24,68,36,Wesley Safadão
63,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,17,58,34,Matuê
64,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,64,86,3,Paulo e Nathan
65,spotify:track:0OJ8KWhqLMHkfI59yh398v,Sei Que Tu Gosta Muito,27,62,21,L7NNON
66,spotify:track:5A35xC90Nk6tXmcOAOOavi,ABALO EMOCIONAL - Ao Vivo,12,67,29,Luan Santana
67,spotify:track:5ildQOEKmJuWGl2vRkFdYc,DESPECHÁ,67,74,4,ROSALÍA
68,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,5,56,28,Gloria Groove
69,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,33,57,15,Leo Santana
70,spotify:track:0zTZONeg1hFNplaZGc7siE,Não faz isso Comigo não,69,69,7,Tz da Coronel
71,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,13,63,45,Henrique & Juliano
