rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,23,4,Xamã
2,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,1,11,Marília Mendonça
3,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,3,5,7,Zé Felipe
4,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,3,3,7,George Henrique & Rodrigo
5,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,4,11,Henrique & Juliano
6,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,2,2,11,PEDRO SAMPAIO
7,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,5,6,8,Marília Mendonça
8,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,9,11,Avine Vinny
9,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,7,10,9,Paulo Pires
10,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,10,11,6,Mari Fernandez
11,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,8,8,3,Anitta
12,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,3,7,11,Marília Mendonça
13,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,4,13,11,João Gomes
14,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,14,20,5,Gusttavo Lima
15,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,15,11,Zé Felipe
16,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,10,19,11,Matheus Fernandes
17,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,17,24,3,DJ Matt D
18,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,13,14,11,Henrique & Juliano
19,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,11,18,8,MC Levin
20,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,20,31,3,Jorge & Mateus
21,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,12,12,3,Mc Poze do Rodo
22,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,8,21,11,Gusttavo Lima
23,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,11,22,11,Zé Neto & Cristiano
24,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,3,16,11,Matuê
25,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,9,17,10,Marina Sena
26,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,14,28,11,Felipe Amorim
