rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,1,11,Xamã
2,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,2,2,5,Chefin
3,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,3,3,10,DJ Matt D
4,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,4,12,3,Zé Felipe
5,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,2,4,14,George Henrique & Rodrigo
6,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,5,5,5,Hugo & Guilherme
7,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,2,7,14,Zé Felipe
8,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,8,10,10,Mc Poze do Rodo
9,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,2,6,18,PEDRO SAMPAIO
10,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,8,18,Marília Mendonça
11,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,7,9,12,Gusttavo Lima
12,spotify:track:35COLcFjvONwVv6jkG23gI,Boys Don't Cry,12,14,3,Anitta
13,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,8,11,13,Mari Fernandez
14,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,14,17,10,Jorge & Mateus
15,spotify:track:1iaPDgTbsKrlznVu13EWIf,ESSÊNCIA DE CRIA,15,18,8,MC Cabelinho
16,spotify:track:7KPhwNko8V9vYBIN653hSO,A Cara do Crime 2 (Cansou de Playboy),15,15,4,Mc Poze do Rodo
17,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,17,—,1,Gloria Groove
18,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,8,13,10,Anitta
19,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,19,18,Henrique & Juliano
20,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,17,21,7,Matuê
21,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,5,16,15,Marília Mendonça
22,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,7,20,16,Paulo Pires
23,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,22,22,5,Jão
24,spotify:track:68qqVn5kHBv4zc45SDGLnh,Corte Americano,24,29,18,Filipe Ret
25,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,25,35,3,Dj Guuga
26,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,9,25,17,Marina Sena
27,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,27,—,1,Luísa Sonza
28,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,3,23,18,Marília Mendonça
29,spotify:track:2342lPAZ9zddhgAQEiLx4V,ANACONDA *o* ~~~,21,27,10,Luísa Sonza
30,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,28,18,Zé Felipe
31,spotify:track:4k7mlEX9Nc3Ei0nFQ4cOE3,LEILÃO,31,51,12,Gloria Groove
