rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,1,5,Marília Mendonça
2,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,2,3,6,MC Cabelinho
3,spotify:track:0yLdNVWF3Srea0uzk55zFn,Flowers,3,12,2,Miley Cyrus
4,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,4,5,11,Israel & Rodolffo
5,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,1,2,13,Orochi
6,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,4,12,MC MENOR HR
7,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,2,6,18,Gustavo Mioto
8,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,8,10,7,WIU
9,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,9,13,5,Anitta
10,spotify:track:2orGm2E68ODFYOURjaES62,Felina,3,9,17,WIU
11,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),8,8,5,Luísa Sonza
12,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,1,7,19,Pineapple StormTv
13,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,9,11,9,Zé Felipe
14,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,2,14,46,MC Cabelinho
15,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,15,23,3,DJ Jeeh FDC
16,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,3,22,19,MC Cabelinho
17,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,7,16,29,Guilherme & Benuto
18,spotify:track:3YQvZNmRc2y1hgdvustkce,MINHA CURA,15,26,6,MC Cabelinho
19,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,15,15,2,Mc Tato
20,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,17,17,5,MC K.K
21,spotify:track:0ReqDOp3nbS49HRy4BrmkY,SEXY,13,25,6,MC Cabelinho
22,spotify:track:1Q1d5yjdXpcedKFJR3p7Ir,NOSSA MÚSICA,19,31,6,MC Cabelinho
23,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,15,18,14,Matheus & Kauan
24,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,21,33,L7NNON
25,spotify:track:18XOY618zQH4bFw3TgVT9L,VALHO NADA,10,30,12,MC Cabelinho
26,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),15,20,10,Kadu Martins
27,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,9,24,19,Guilherme & Benuto
28,spotify:track:0ssgd2ZvDawP0KHGfBYRpv,Good Vibe,12,39,32,Filipe Ret
29,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,3,28,25,Mc Paiva ZS
30,spotify:track:3BSrkgc0HEM0dod45jmqyN,INTENÇÃO,21,35,6,MC Cabelinho
31,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",31,55,2,Bizarrap
32,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,19,33,21,Jorge & Mateus
33,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,6,19,16,Dj LK da Escócia
34,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,29,29,7,Israel & Rodolffo
35,spotify:track:6E8KBuOUM9e23f9fyHsDU1,QUEM SOU EU?,12,38,6,MC Cabelinho
36,spotify:track:5cCwZJUf8QiCQGnyakhpmF,Papo de Agustinho,13,54,15,Oruam
37,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,10,42,43,Harry Styles
38,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),5,41,18,Sam Smith
39,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,34,34,6,MC Ryan SP
40,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,32,32,9,Guilherme & Benuto
41,spotify:track:4eTtgdIXEy2LvLeg7NNSov,Vizão de Cria 2,17,40,25,Dallass
