rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,2,4,L7NNON
2,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,2,28,2,MC Tairon
3,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,3,16,Davi Kneip
4,spotify:track:347KmRWwYXcZSUgelz7Cit,Konteiner,1,1,3,Filipe Ret
5,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,1,4,14,Matuê
6,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,6,6,8,João Gomes
7,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,5,5,3,Zé Felipe
8,spotify:track:6KKT8dzP21J4WwBp9swjob,Sonho Dos Cria,4,8,3,Filipe Ret
9,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,7,7,4,Baco Exu do Blues
10,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,4,9,14,Matheus Fernandes
11,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,10,13,6,Mc Don Juan
12,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,6,11,14,Felipe Amorim
13,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,3,10,14,Teto
14,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,15,21,PEDRO SAMPAIO
15,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,1,14,8,Jovem Dionisio
16,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,12,31,Xamã
17,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,10,17,10,MC Rogerinho
18,spotify:track:3JFB72hbbt3zy30puJTc3q,Medley Lud Session - Tudo porque você mentiu / penhasco / De rolê / CAFÉ DA MANHÃ ;P / Doutora 3,18,—,1,LUDMILLA
19,spotify:track:5qtQJJqJUjk2zNjRroqgLk,Tudo Nosso,5,16,3,Filipe Ret
20,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,20,24,17,MC Cabelinho
21,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,16,19,11,MC Braz
22,spotify:track:3fSxnkjdgPucRCskjmAlgx,A Cara do Crime 3 (Brinde à Liberdade),10,18,6,Mc Poze do Rodo
23,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,11,29,14,Harry Styles
24,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),24,43,6,Kate Bush
25,spotify:track:5DhiTYpD599fu3q7fCepgL,Dior,25,34,3,BIN
26,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,6,22,30,Mc Poze do Rodo
27,spotify:track:3jrxlhAtoxi83qc76NT9EG,7 Meiota,18,23,3,Filipe Ret
28,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,5,20,25,Hugo & Guilherme
29,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,12,21,12,Luan Santana
30,spotify:track:0ssgd2ZvDawP0KHGfBYRpv,Good Vibe,19,26,3,Filipe Ret
31,spotify:track:1RgJ4lexKGNBlKnyxB5SRt,Balazul,27,27,4,Teto
32,spotify:track:1iaPDgTbsKrlznVu13EWIf,ESSÊNCIA DE CRIA,15,30,28,MC Cabelinho
33,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),10,35,11,Anitta
34,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,10,25,14,Gusttavo Lima
35,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,5,39,21,Gloria Groove
36,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,33,45,8,Leo Santana
37,spotify:track:68qqVn5kHBv4zc45SDGLnh,Corte Americano,20,33,38,Filipe Ret
38,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,38,95,2,Ana Castela
39,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,21,32,9,Jorge & Mateus
40,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),6,31,13,L7NNON
41,spotify:track:0OJ8KWhqLMHkfI59yh398v,Sei Que Tu Gosta Muito,27,41,14,L7NNON
42,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,9,38,19,Pineapple StormTv
43,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,12,40,22,Luan Santana
44,spotify:track:4HD67byP5AqlOGuoMyUgyA,Melhor Agora,25,37,3,Filipe Ret
45,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,14,36,30,Jorge & Mateus
46,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,44,46,6,Mari Fernandez
47,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,28,44,14,Mc Gabzin
48,spotify:track:0cHflpV8SSGbE0NKaasEfT,F* F* M*,34,49,18,Filipe Ret
49,spotify:track:3aOnJBwzo1DVQmIJwgj8Au,A Meu Favor,30,42,3,Filipe Ret
50,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,17,48,27,Matuê
51,spotify:track:7BwjZ1jy4B0ZyXTY4YQM9A,Assault (Carro Forte),35,58,13,Orochi
52,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,50,23,Zé Felipe
53,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,8,75,21,Luísa Sonza
54,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,2,51,34,George Henrique & Rodrigo
55,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,39,55,8,O Tubarão
56,spotify:track:1pb5lon410IWb2z0tikGUs,Vermelho Fogo,32,47,3,Filipe Ret
57,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),48,54,5,Gusttavo Lima
58,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,67,34,Anitta
