rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,5,3,DENNIS
2,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,3,3,Veigh
3,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,1,1,4,MC Caverinha
4,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,4,7,7,MC Kevin o Chris
5,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),1,2,6,Matuê
6,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,3,6,13,AgroPlay
7,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,7,12,3,Veigh
8,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,7,11,13,Israel & Rodolffo
9,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,5,10,13,Simone Mendes
10,spotify:track:7aOBf2xYbux3bo1fwISo6b,BEM MELHOR,3,4,5,MC Cabelinho
11,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,9,13,Marília Mendonça
12,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,2,8,10,KayBlack
13,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,13,18,11,Grupo Menos É Mais
14,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,3,13,13,MC Cabelinho
15,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,10,19,13,Zé Neto & Cristiano
16,spotify:track:3YQvZNmRc2y1hgdvustkce,MINHA CURA,7,14,13,MC Cabelinho
17,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,3,20,13,MC Kevin o Chris
18,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,11,15,13,MC Cabelinho
19,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,5,16,13,WIU
20,spotify:track:4tuFNhM69UakXdPg4RrNvp,Deus Perdoa,2,17,11,Filipe Ret
21,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,13,22,13,Matheus & Kauan
22,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,17,21,9,KayBlack
23,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,8,23,13,Israel & Rodolffo
24,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,16,29,13,Henrique & Juliano
25,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,21,26,13,Guilherme & Benuto
26,spotify:track:0ssgd2ZvDawP0KHGfBYRpv,Good Vibe,17,24,13,Filipe Ret
27,spotify:track:7BE8gYIIFPJsx3EjXk77yT,Vizão de Cria 3,27,53,2,Caio Luccas
