rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,1,7,DENNIS
2,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,2,7,Veigh
3,spotify:track:3Nvzs0cJbLwhXPPlI8xzpC,Vai Novinha Ah Ah Ah,3,17,2,Dyamante DJ
4,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,3,3,11,MC Kevin o Chris
5,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,4,4,7,Veigh
6,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,3,5,16,AgroPlay
7,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),1,7,10,Matuê
8,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,5,8,16,Simone Mendes
9,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,1,6,8,MC Caverinha
10,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,9,9,15,Grupo Menos É Mais
11,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,7,10,16,Israel & Rodolffo
12,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,2,11,14,KayBlack
13,spotify:track:2d2K6DhHPBsi78K9E0cWrD,Leão,1,12,16,Marília Mendonça
14,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,3,14,16,MC Cabelinho
15,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,15,—,1,Mc Livinho
16,spotify:track:7aOBf2xYbux3bo1fwISo6b,BEM MELHOR,3,13,9,MC Cabelinho
17,spotify:track:3YQvZNmRc2y1hgdvustkce,MINHA CURA,7,15,16,MC Cabelinho
18,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",18,56,2,Mc Pedrinho
19,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,11,16,16,MC Cabelinho
20,spotify:track:7KWgILiigX4Qr2WFeeerkc,Oi Balde - Ao Vivo,10,19,16,Zé Neto & Cristiano
21,spotify:track:4tuFNhM69UakXdPg4RrNvp,Deus Perdoa,2,20,15,Filipe Ret
22,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,6,18,16,WIU
23,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",23,38,2,Melody
24,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,13,21,16,Matheus & Kauan
25,spotify:track:0ssgd2ZvDawP0KHGfBYRpv,Good Vibe,17,25,16,Filipe Ret
26,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,16,26,16,Henrique & Juliano
27,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,21,23,16,Guilherme & Benuto
28,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,17,28,13,KayBlack
29,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,9,27,16,Israel & Rodolffo
30,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,3,22,16,MC Kevin o Chris
31,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,31,53,2,Leo Santana
32,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,18,29,16,Pineapple StormTv
33,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,33,35,3,Luan Santana
34,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,23,30,16,MC Rogerinho
35,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,26,31,13,KayBlack
36,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,15,37,16,MC Cabelinho
37,spotify:track:3d1im1pw3WLuEty2k9XzTr,Clickbait,15,32,10,Veigh
38,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,27,36,16,Veigh
