rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,1,1,7,Matuê
2,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,2,9,Davi Kneip
3,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,3,3,7,Teto
4,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,4,24,Xamã
5,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,5,14,PEDRO SAMPAIO
6,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,6,6,7,Felipe Amorim
7,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,6,8,23,Mc Poze do Rodo
8,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),6,7,6,L7NNON
9,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,9,11,7,Matheus Fernandes
10,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),10,14,4,Anitta
11,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,10,10,7,Gusttavo Lima
12,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,12,13,5,Luan Santana
13,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,2,16,18,Chefin
14,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,5,12,18,Hugo & Guilherme
15,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,9,15,12,Pineapple StormTv
16,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,9,27,Anitta
17,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,17,34,3,MC Rogerinho
18,spotify:track:1iaPDgTbsKrlznVu13EWIf,ESSÊNCIA DE CRIA,15,18,21,MC Cabelinho
19,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,15,17,7,Harry Styles
20,spotify:track:68qqVn5kHBv4zc45SDGLnh,Corte Americano,20,22,31,Filipe Ret
21,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,5,19,14,Gloria Groove
22,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,14,20,23,Jorge & Mateus
23,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,12,24,15,Luan Santana
24,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,21,16,Zé Felipe
25,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,2,23,27,George Henrique & Rodrigo
26,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,26,—,1,João Gomes
27,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,17,26,20,Matuê
28,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,28,29,7,Mc Gabzin
29,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",12,31,12,Vulgo FK
30,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,8,25,14,Luísa Sonza
31,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,3,27,23,DJ Matt D
32,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,6,37,14,MC Rogerinho
33,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,33,40,10,MC Cabelinho
34,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,32,31,Marília Mendonça
35,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,13,36,31,Henrique & Juliano
36,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,36,43,4,MC Braz
37,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,28,31,Henrique & Juliano
38,spotify:track:0OJ8KWhqLMHkfI59yh398v,Sei Que Tu Gosta Muito,27,35,7,L7NNON
39,spotify:track:0cHflpV8SSGbE0NKaasEfT,F* F* M*,34,38,11,Filipe Ret
40,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,30,30,14,Zé Neto & Cristiano
41,spotify:track:7BwjZ1jy4B0ZyXTY4YQM9A,Assault (Carro Forte),37,39,6,Orochi
42,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,24,41,22,Wesley Safadão
43,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,7,33,25,Gusttavo Lima
44,spotify:track:7KPhwNko8V9vYBIN653hSO,A Cara do Crime 2 (Cansou de Playboy),15,44,17,Mc Poze do Rodo
45,spotify:track:0EuRZKWzNptC1ZuIMFKLxz,Filho do Dono,40,42,3,Oruam
46,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,8,47,26,Mari Fernandez
47,spotify:track:6pojmlhRI1fBUNg0pZSA9M,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,47,51,3,Mc Delux
48,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,48,61,2,Mc Pepeu
49,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,49,91,2,Jorge & Mateus
50,spotify:track:0wRn3ggAY1fIupTaVigdza,A Cara do Crime (Nós Incomoda),12,53,31,Mc Poze do Rodo
51,spotify:track:53BkPZwlaLbW77uV9BnJkl,Eu Fiz o Jogo Virar,9,49,31,Mc Poze do Rodo
52,spotify:track:5jYEiTNR3FQXFouTX7Ju0N,Socadona,6,46,17,LUDMILLA
53,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,41,45,26,Henrique & Juliano
54,spotify:track:6m187iACTSAZDYMaV0klqj,Freio da Blazer,44,50,31,L7NNON
55,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,5,48,28,Marília Mendonça
