rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,1,1,3,Jovem Dionisio
2,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,1,2,9,Matuê
3,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,3,11,Davi Kneip
4,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,3,4,9,Teto
5,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,8,16,PEDRO SAMPAIO
6,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,6,6,9,Matheus Fernandes
7,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,5,26,Xamã
8,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,6,7,9,Felipe Amorim
9,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,9,9,3,João Gomes
10,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,10,10,5,MC Rogerinho
11,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,5,17,20,Hugo & Guilherme
12,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,12,13,7,Luan Santana
13,spotify:track:3fSxnkjdgPucRCskjmAlgx,A Cara do Crime 3 (Brinde à Liberdade),13,—,1,Mc Poze do Rodo
14,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),6,16,8,L7NNON
15,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,10,14,9,Gusttavo Lima
16,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,6,12,25,Mc Poze do Rodo
17,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,11,11,9,Harry Styles
18,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),10,15,6,Anitta
19,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,2,19,20,Chefin
20,spotify:track:1iaPDgTbsKrlznVu13EWIf,ESSÊNCIA DE CRIA,15,20,23,MC Cabelinho
21,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,14,22,25,Jorge & Mateus
22,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,22,25,6,MC Braz
23,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,9,18,14,Pineapple StormTv
24,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,5,24,16,Gloria Groove
25,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,25,32,4,Jorge & Mateus
26,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,26,—,1,Mc Don Juan
27,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,21,29,Anitta
28,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,12,26,17,Luan Santana
29,spotify:track:68qqVn5kHBv4zc45SDGLnh,Corte Americano,20,23,33,Filipe Ret
30,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,28,18,Zé Felipe
31,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,2,27,29,George Henrique & Rodrigo
32,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,3,30,25,DJ Matt D
33,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,13,29,33,Henrique & Juliano
34,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,33,34,12,MC Cabelinho
35,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,28,31,9,Mc Gabzin
36,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,17,33,22,Matuê
37,spotify:track:7BwjZ1jy4B0ZyXTY4YQM9A,Assault (Carro Forte),37,41,8,Orochi
38,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,6,36,16,MC Rogerinho
39,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,39,68,3,O Tubarão
40,spotify:track:0cHflpV8SSGbE0NKaasEfT,F* F* M*,34,39,13,Filipe Ret
41,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,24,38,24,Wesley Safadão
42,spotify:track:0E0OENqh3jaZ4VpDFTOLGj,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,40,40,5,Mc Delux
43,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,35,33,Marília Mendonça
44,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,44,52,3,Leo Santana
45,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,37,33,Henrique & Juliano
46,spotify:track:0OJ8KWhqLMHkfI59yh398v,Sei Que Tu Gosta Muito,27,46,9,L7NNON
47,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,7,47,27,Gusttavo Lima
48,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,8,43,16,Luísa Sonza
49,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,45,45,7,Hugo & Guilherme
50,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,30,42,16,Zé Neto & Cristiano
51,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,44,44,4,Mc Pepeu
52,spotify:track:7KPhwNko8V9vYBIN653hSO,A Cara do Crime 2 (Cansou de Playboy),15,50,19,Mc Poze do Rodo
53,spotify:track:45VwwcqkVl61khE9JT2OxK,Baile da Serra,53,63,3,Braão
54,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",12,48,14,Vulgo FK
55,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,53,53,7,Guilherme & Benuto
56,spotify:track:0EuRZKWzNptC1ZuIMFKLxz,Filho do Dono,40,51,5,Oruam
57,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,8,49,28,Mari Fernandez
58,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,55,57,10,Matheus & Kauan
59,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,41,56,28,Henrique & Juliano
60,spotify:track:53BkPZwlaLbW77uV9BnJkl,Eu Fiz o Jogo Virar,9,58,33,Mc Poze do Rodo
61,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,61,—,1,Henrique & Juliano
62,spotify:track:0wRn3ggAY1fIupTaVigdza,A Cara do Crime (Nós Incomoda),12,55,33,Mc Poze do Rodo
63,spotify:track:6m187iACTSAZDYMaV0klqj,Freio da Blazer,44,59,33,L7NNON
64,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,3,62,33,Matuê
65,spotify:track:1FGRA5pMtBqJLNAaSBia2x,Maldivas,20,66,18,LUDMILLA
66,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,5,60,30,Marília Mendonça
