rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,1,1,10,Pineapple StormTv
2,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,2,9,3,MC MENOR HR
3,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,2,2,9,Gustavo Mioto
4,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,4,7,4,Orochi
5,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,3,4,10,MC Cabelinho
6,spotify:track:2orGm2E68ODFYOURjaES62,Felina,3,3,8,WIU
7,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,2,5,37,MC Cabelinho
8,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,3,6,16,Mc Paiva ZS
9,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,8,24,L7NNON
10,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,8,12,7,Dj LK da Escócia
11,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,11,11,2,Israel & Rodolffo
12,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,7,10,20,Guilherme & Benuto
13,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),5,16,9,Sam Smith
14,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,9,13,10,Guilherme & Benuto
15,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,15,15,5,Matheus & Kauan
16,spotify:track:5cCwZJUf8QiCQGnyakhpmF,Papo de Agustinho,16,19,6,Oruam
17,spotify:track:3EM71GPnUGJ75uDhkH77pq,Insônia - Ao Vivo,9,14,13,LUDMILLA
18,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,2,20,22,Ana Castela
19,spotify:track:4eTtgdIXEy2LvLeg7NNSov,Vizão de Cria 2,17,24,16,Dallass
20,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,16,17,9,Diego & Victor Hugo
21,spotify:track:0ssgd2ZvDawP0KHGfBYRpv,Good Vibe,12,28,23,Filipe Ret
22,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,13,18,7,Gusttavo Lima
23,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,1,22,34,Matuê
24,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,15,21,26,Mari Fernandez
25,spotify:track:57nvtO3EJuh6zuB67R3QeF,Frio e Calculista,25,26,2,Mc Poze do Rodo
26,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,19,25,12,Jorge & Mateus
27,spotify:track:3ZtHHGpAPSWC7Gnios4lmK,Metflix,7,23,18,Mc Poze do Rodo
28,spotify:track:3gx9a8ea1nI0Wym9hJpdbJ,Hino dos Mlks,28,33,5,BIN
29,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,2,30,22,MC Tairon
30,spotify:track:6KKT8dzP21J4WwBp9swjob,Sonho Dos Cria,4,29,23,Filipe Ret
31,spotify:track:1iaPDgTbsKrlznVu13EWIf,ESSÊNCIA DE CRIA,15,31,48,MC Cabelinho
32,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,10,34,34,Harry Styles
33,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,4,27,34,Matheus Fernandes
34,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,6,38,50,Mc Poze do Rodo
35,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,31,46,8,Beyoncé
36,spotify:track:3jrxlhAtoxi83qc76NT9EG,7 Meiota,10,49,23,Filipe Ret
37,spotify:track:14uWxelOuAUajP8fDvc0Ct,Falta Você,37,41,26,Thiaguinho
38,spotify:track:347KmRWwYXcZSUgelz7Cit,Konteiner,1,40,23,Filipe Ret
39,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,5,32,45,Hugo & Guilherme
40,spotify:track:68qqVn5kHBv4zc45SDGLnh,Corte Americano,20,39,58,Filipe Ret
41,spotify:track:6TnCI16uLWhyQCrHva9VWj,Te Love - Ao Vivo,41,50,7,Kevi Jonny
42,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,11,44,19,MC Kevin o Chris
43,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,6,36,28,João Gomes
44,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,37,37,13,Felipe Amorim
45,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,59,36,Davi Kneip
46,spotify:track:65CB461aKF5FvIuuzqUgXu,Ai Calica,46,55,2,Mc Poze do Rodo
47,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,3,53,34,Teto
48,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),48,—,1,Kadu Martins
49,spotify:track:4m8kG46clzxMxyrDuFo1Uq,Horas Iguais,44,63,7,WIU
50,spotify:track:6WHGZ8voLYNlgYlUyBhQm9,To de Pé,35,35,2,Mc Poze do Rodo
51,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,21,47,29,Jorge & Mateus
52,spotify:track:5DhiTYpD599fu3q7fCepgL,Dior,25,65,23,BIN
53,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,6,48,34,Felipe Amorim
54,spotify:track:5IgjP7X4th6nMNDh4akUHb,Under The Influence,48,61,10,Chris Brown
55,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,13,45,18,Marília Mendonça
56,spotify:track:13Rf6RaZT13TW4xLQR3MQr,Poesia Acústica #6: Era uma Vez,37,66,58,Pineapple StormTv
57,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,25,58,16,DJ AK BR
58,spotify:track:4HD67byP5AqlOGuoMyUgyA,Melhor Agora,25,62,23,Filipe Ret
59,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,19,67,17,Mc Jacaré
60,spotify:track:7dH7wklD8mfSt2Iu0jeh32,Me Perdoa,57,71,8,Ferrugem
61,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,10,60,30,MC Rogerinho
62,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,51,54,11,Matheus & Kauan
