rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,1,3,6,Dj GBR
2,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,2,2,31,Grupo Menos É Mais
3,spotify:track:07DskqQ1NbTiotX1WIV7ob,Piloto,1,1,5,Flora Matos
4,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,4,13,MC Kevin o Chris
5,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,5,23,Veigh
6,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,3,7,15,Vulgo FK
7,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,6,23,DENNIS
8,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,7,9,12,Felipe Amorim
9,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,7,8,8,Luan Pereira
10,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,10,10,7,Gusttavo Lima
11,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,11,19,6,Zé Neto & Cristiano
12,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,4,12,23,Veigh
13,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,10,11,16,Ana Castela
14,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,14,—,1,Tropa do Bruxo
15,spotify:track:54FV2rMVwLusAVnzROB0c1,Mesma História,15,37,3,Orochi
16,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,3,13,37,AgroPlay
17,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,15,15,6,MC Rogerinho
18,spotify:track:4tuFNhM69UakXdPg4RrNvp,Deus Perdoa,2,22,31,Filipe Ret
19,spotify:track:1kWcd9h9HoeXsKaDVhSOtj,Ela - Ao Vivo,14,16,6,Sorriso Maroto
20,spotify:track:0ssgd2ZvDawP0KHGfBYRpv,Good Vibe,12,25,71,Filipe Ret
21,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,18,44,Marília Mendonça
