rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,1,6,MC Kevin o Chris
2,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,2,16,DENNIS
3,spotify:track:0t5cfOZxePTvuYXTywHzjH,Penhasco2,3,31,2,Luísa Sonza
4,spotify:track:43eRVwfXFkY3kXN4K47gNT,Chico,4,93,2,Luísa Sonza
5,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,3,3,8,Vulgo FK
6,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,5,5,24,Grupo Menos É Mais
7,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,4,16,Veigh
8,spotify:track:2exu569k07hUulN9CoPnMH,Campo De Morango,8,8,3,Luísa Sonza
9,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,7,7,5,Felipe Amorim
10,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,3,6,10,Mc Livinho
11,spotify:track:181TYnNi3wNGrdsCykmI4A,A Dona Aranha,11,—,1,Luísa Sonza
12,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,4,9,16,Veigh
13,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,10,10,9,Ana Castela
14,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,11,11,4,Felipe Amorim
15,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,3,15,30,AgroPlay
16,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",3,17,11,Dyamante DJ
17,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,5,14,30,Simone Mendes
18,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",12,12,11,Melody
19,spotify:track:1dv8qeBPtLAli7J3xNeTDR,Surreal,19,—,1,Luísa Sonza
20,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,13,16,10,Kadu Martins
21,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,2,13,23,KayBlack
22,spotify:track:24LGL93o3wuVuYLCBhV3c5,Principalmente Me Sinto Arrasada,22,53,2,Luísa Sonza
23,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",8,23,11,Mc Pedrinho
