rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,1,1,3,Pineapple StormTv
2,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,2,17,L7NNON
3,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,3,3,9,Mc Paiva ZS
4,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,2,4,30,MC Cabelinho
5,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),5,12,2,Sam Smith
6,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,2,5,15,Ana Castela
7,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,7,15,3,MC Cabelinho
8,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,1,6,27,Matuê
9,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,9,32,3,Guilherme & Benuto
10,spotify:track:3jrxlhAtoxi83qc76NT9EG,7 Meiota,10,14,16,Filipe Ret
11,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,2,8,15,MC Tairon
12,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,7,7,13,Guilherme & Benuto
13,spotify:track:0ssgd2ZvDawP0KHGfBYRpv,Good Vibe,12,13,16,Filipe Ret
14,spotify:track:3ZtHHGpAPSWC7Gnios4lmK,Metflix,7,17,11,Mc Poze do Rodo
15,spotify:track:3EM71GPnUGJ75uDhkH77pq,Insônia - Ao Vivo,9,11,6,LUDMILLA
16,spotify:track:6KKT8dzP21J4WwBp9swjob,Sonho Dos Cria,4,16,16,Filipe Ret
17,spotify:track:4eTtgdIXEy2LvLeg7NNSov,Vizão de Cria 2,17,18,9,Dallass
18,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,5,9,8,Luan Santana
19,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,19,86,2,Gustavo Mioto
20,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,10,10,27,Harry Styles
21,spotify:track:347KmRWwYXcZSUgelz7Cit,Konteiner,1,21,16,Filipe Ret
22,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,22,25,19,Mari Fernandez
23,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,24,29,Davi Kneip
24,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,4,23,27,Matheus Fernandes
25,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,13,19,13,Gusttavo Lima
26,spotify:track:3imzmQM2DPPVBLMiBBexRL,202,20,27,7,Kweller
27,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,11,22,12,MC Kevin o Chris
28,spotify:track:2orGm2E68ODFYOURjaES62,Felina,28,—,1,WIU
29,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,20,20,5,Jorge & Mateus
30,spotify:track:1iaPDgTbsKrlznVu13EWIf,ESSÊNCIA DE CRIA,15,28,41,MC Cabelinho
31,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,6,31,43,Mc Poze do Rodo
32,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,9,26,32,Pineapple StormTv
33,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,2,36,12,Luísa Sonza
34,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,6,35,21,João Gomes
35,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,35,69,2,Diego & Victor Hugo
36,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,3,33,27,Teto
37,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,25,29,9,DJ AK BR
