rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,2,3,Felipe Amorim
2,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,1,1,3,Matuê
3,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,3,5,Davi Kneip
4,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,4,10,5,Matheus Fernandes
5,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,4,4,3,Teto
6,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,1,5,11,MC Rogerinho
7,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,6,10,PEDRO SAMPAIO
8,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,9,12,Zé Felipe
9,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,7,7,Anitta
10,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,8,18,Xamã
11,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,6,11,14,Hugo & Guilherme
12,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,12,23,3,Gusttavo Lima
13,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),13,72,2,L7NNON
14,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,4,13,21,Gusttavo Lima
15,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,10,12,11,Luan Santana
16,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,5,15,13,Dj Guuga
17,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,12,16,20,Wesley Safadão
18,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,14,17,19,Jorge & Mateus
19,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,3,19,23,Mari Fernandez
20,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,2,14,14,Chefin
21,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,20,27,Marília Mendonça
22,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,22,26,3,Harry Styles
23,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,1,22,23,Zé Felipe
24,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,4,24,23,George Henrique & Rodrigo
25,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",15,18,8,Vulgo FK
26,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,14,28,27,Henrique & Juliano
27,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,5,29,27,Henrique & Juliano
28,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,20,27,8,Pineapple StormTv
29,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,9,21,10,Gloria Groove
30,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,25,30,19,Mc Poze do Rodo
31,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,31,33,10,Zé Neto & Cristiano
32,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,10,25,10,Luísa Sonza
33,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,5,31,19,DJ Matt D
34,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,11,32,15,Mc Don Juan
35,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,31,35,22,Henrique & Juliano
36,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,36,—,1,Luan Santana
37,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,3,36,24,Marília Mendonça
38,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,4,37,26,Paulo Pires
39,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,24,34,16,Matuê
40,spotify:track:3SWjpNMVUi5UXz096NbfPr,Gata (feat. Chencho Corleone),40,—,1,Anitta
41,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,20,39,27,Tayrone
42,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,40,40,3,Mc Gabzin
43,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,3,38,27,PEDRO SAMPAIO
44,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,43,43,4,Matheus & Kauan
