rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,2,16,Mari Fernandez
2,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,1,1,5,Nivaldo Marques
3,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,3,3,9,L7NNON
4,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,4,15,João Gomes
5,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,7,22,Matheus Fernandes
6,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,6,8,4,Marília Mendonça
7,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,7,9,7,Ana Castela
8,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,2,5,9,Zé Felipe
9,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,6,6,5,Luísa Sonza
10,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,10,—,1,Luan Santana
11,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,11,13,6,Gusttavo Lima
12,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,10,18,MC Rogerinho
13,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,12,20,Felipe Amorim
14,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,6,11,21,Leo Santana
15,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,1,14,20,Matuê
16,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,16,28,6,Guilherme & Benuto
17,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,7,19,20,Gusttavo Lima
18,spotify:track:5CJzNKWqr1gLUgZ2Yx7CZy,Samba do Polly,16,16,5,Oh Polêmico
19,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,19,50,3,Felipe Amorim
20,spotify:track:7bh2ybqXcEoIYL8FwiAMou,Intuição - Ao Vivo,20,32,8,Mari Fernandez
21,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,8,15,8,MC Tairon
22,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,22,26,8,MC Cabelinho
23,spotify:track:3lQnTQFBxk1HMsj8aa4syY,Virando o Olhinho,17,17,6,Kadu Martins
24,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,4,21,20,Teto
25,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,20,20,3,Mc Jacaré
26,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,12,18,12,Wesley Safadão
27,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,18,23,15,Jorge & Mateus
28,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,25,22,Davi Kneip
29,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,22,22,5,MC Kevin o Chris
30,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,30,39,2,Mc Paiva ZS
31,spotify:track:3ZtHHGpAPSWC7Gnios4lmK,Metflix,19,27,4,Mc Poze do Rodo
32,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,6,31,31,Hugo & Guilherme
33,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,33,35,21,Matheus & Kauan
34,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,8,30,10,Baco Exu do Blues
35,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,8,29,18,Luan Santana
36,spotify:track:2johnzqTeIdgF1kUV4Yaeo,Me Chama de Amor,10,24,16,O Tubarão
37,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,10,34,37,Wesley Safadão
38,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,38,67,2,DJ AK BR
39,spotify:track:3JHIuBa3hDJk3DQ9m6xFrp,Pelado,39,41,7,NATTAN
40,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,15,36,20,Harry Styles
41,spotify:track:6o6PKPQH9c6egl0VROLpLN,P Q P,36,42,18,NATTAN
42,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,3,40,40,Mari Fernandez
43,spotify:track:1RgJ4lexKGNBlKnyxB5SRt,Balazul,20,33,10,Teto
44,spotify:track:40fRA3sONEHzt20oKvyhRA,Só de Imaginar - Ao Vivo,40,51,2,Mari Fernandez
45,spotify:track:6KKT8dzP21J4WwBp9swjob,Sonho Dos Cria,42,44,9,Filipe Ret
46,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,1,43,28,MC Rogerinho
47,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,15,37,12,Mc Don Juan
48,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,14,48,44,Henrique & Juliano
49,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,4,68,38,Gusttavo Lima
50,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,23,38,17,MC Braz
51,spotify:track:3jrxlhAtoxi83qc76NT9EG,7 Meiota,47,47,7,Filipe Ret
