rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,1,1,7,Zé Felipe
2,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,2,11,Marília Mendonça
3,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,3,7,7,Mari Fernandez
4,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,4,8,7,George Henrique & Rodrigo
5,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,4,6,10,Paulo Pires
6,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,5,5,11,Henrique & Juliano
7,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,3,3,8,Marília Mendonça
8,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,3,4,11,PEDRO SAMPAIO
9,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,10,11,Avine Vinny
10,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,2,11,11,João Gomes
11,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,3,9,11,Marília Mendonça
12,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,12,17,5,Gusttavo Lima
13,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,2,12,11,Zé Felipe
14,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,14,49,2,Xamã
15,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,2,13,11,Felipe Amorim
16,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,6,16,11,Gusttavo Lima
17,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,14,14,11,Henrique & Juliano
18,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,7,18,11,Tarcísio do Acordeon
19,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,15,15,3,Anitta
20,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,20,33,3,Jorge & Mateus
21,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,11,23,11,Matheus Fernandes
22,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,12,21,11,Zé Neto & Cristiano
23,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,23,27,3,DJ Matt D
24,spotify:track:0FqVtQxRD3HsPltldG5v5M,Aquelas Coisas,13,22,11,João Gomes
25,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,13,26,8,MC Levin
26,spotify:track:1tYJnXtKLoWVIL4lZOouQG,Cê Tá Preparada - Ao Vivo,25,29,11,Tayrone
27,spotify:track:6T6SDJszPbuMCBpSm3aS3G,Carinha de Neném,12,24,11,Japãozin
28,spotify:track:17QN5kFprJqHdHLMj7hz4s,Ficha Limpa - Ao Vivo,18,28,11,Gusttavo Lima
29,spotify:track:62d4BfCTUHdOsARRETHLDz,Mete a Louca,12,19,7,MC Rogerinho
30,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,13,20,10,Marina Sena
31,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,6,25,11,DG e Batidão Stronda
32,spotify:track:5F2xRvRFkxDvqdFtUNAEyw,Se For Amor,10,31,11,João Gomes
33,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,25,30,11,Matheus & Kauan
34,spotify:track:5emL18Je5WuruMhWr0gj4w,Eu Já Tava Bem - Ao Vivo,34,37,4,Wesley Safadão
35,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,20,34,11,Zé Neto & Cristiano
36,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,23,36,11,Zé Felipe
37,spotify:track:3v6gYFuAXQcm1EO5yW7yfX,Proteção de Tela,35,35,11,Tarcísio do Acordeon
38,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,23,38,8,Marília Mendonça
39,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,13,32,11,Matuê
40,spotify:track:3QKv1RIrWsLTA63oxscVrZ,Meu Bem,31,43,11,João Gomes
41,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,41,42,6,Henrique & Juliano
42,spotify:track:6AQqsFYtCQi9m7MJcMjGup,Superação Digital,29,45,11,Xand Avião
43,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,14,40,8,Marília Mendonça
44,spotify:track:6RMYuqlTn8777j5arY9zhC,Cena de Amor,28,44,11,Brisa Star
45,spotify:track:4j6vcASqI0ks97Smtkkdje,Revoada - Ao Vivo,45,51,3,Leo Santana
46,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,37,50,11,Vitor e Luan
47,spotify:track:4AAIAVjSyiq1N7SXKkwXZe,Troca de Calçada,13,46,8,Marília Mendonça
48,spotify:track:2s9BO8c0co0PmgBiUoTT17,A QUEDA,21,39,11,Gloria Groove
49,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",10,48,11,DJ Patrick Muniz
50,spotify:track:5BFz4pXzknmYYctjvLKJAB,Sentadinha Descarada,48,52,5,Zé Vaqueiro
51,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,17,41,11,Mc Anjim
52,spotify:track:2ookQf9qP2qiBuNFnNXyfl,Chega E Senta - Ao Vivo,9,54,11,John Amplificado
53,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,29,53,11,Luan Santana
54,spotify:track:0lSY2zOUEeB5sfSnkw8M9l,Será que Dá Certo,54,56,7,Vitor Fernandes
55,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,36,55,11,Diego & Victor Hugo
56,spotify:track:1QiZYlh3oZg3zgn8eS99aB,Mete Um Block Nele,42,58,11,João Gomes
57,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,45,47,3,Mc Poze do Rodo
58,spotify:track:6Lrzxd7ST5oQ6FYKXKH7Ia,Vagabundo,45,62,11,Matheus & Kauan
59,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,59,63,4,Max e Luan
60,spotify:track:6m84TzSTM5nbwZxIxkYHz6,Namorando Com Saudade,50,60,7,Jorge & Mateus
61,spotify:track:5zswDNRhJSXuvhJXJGQTFK,Cabeça Branca,61,73,7,Tierry
62,spotify:track:0PH49SrRKOFVWF81PobhW6,Unha de Gel,62,69,7,Os Barões Da Pisadinha
63,spotify:track:7nsk0cwY5kfxBT21WEzmC0,Ele Não Te Merece,59,64,11,Wesley Safadão
64,spotify:track:2PZmUFZGlUqkYJL0s0Cl6C,Dar uma Namorada - Ao Vivo,64,78,2,Israel & Rodolffo
65,spotify:track:2YBKO08Wkc3eP5JdUSwng8,Eu Tenho a Senha,41,67,11,João Gomes
66,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,32,72,11,Gusttavo Lima
67,spotify:track:3jSG8oE8doxDxmpe5GlFee,"Não, Não Vou",42,66,11,Mari Fernandez
68,spotify:track:07Kp3cAQRY0iPp4ATMoehM,Ficante Fiel,53,65,7,Mad Dogz
69,spotify:track:2MZQAvsA7aZDssppBLRxYp,Batom de Cereja - Ao Vivo,69,83,6,Israel & Rodolffo
70,spotify:track:0V671zjVuEoXIQDooIsefn,Ela Não Vai Voltar,57,75,11,João Gomes
71,spotify:track:3HquWF2pZmWYu3WAEP9Heb,Só Não Divulga,56,71,7,Fernando & Sorocaba
72,spotify:track:3BPXSPCKbMe79zjnc6pJyk,Te Esqueci Valendo - Ao Vivo,72,80,7,Zé Ottávio
73,spotify:track:7b0W6Ra4fEoTTUWjQW1lpl,Imagine a Cena,52,57,9,Eric Land
74,spotify:track:0NvVVP3Q0oSbfBUZ48vCHs,Tiffany,34,59,11,MD Chefe
75,spotify:track:1X1jbaEN1a7wYrCXj4C5Vx,Morena (feat. João Gomes),75,81,4,Whindersson Nunes
76,spotify:track:5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,63,92,7,Grupo Menos É Mais
77,spotify:track:77rIMl1WIrLf4ZDKFYZ4ji,Água Nos Zói - Ao Vivo,77,—,1,Clayton & Romário
78,spotify:track:2eFsVynOiCxtI4kvX0XClm,LEILÃO,61,68,5,Gloria Groove
79,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),27,61,11,Lil Nas X
80,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,80,90,5,Mc Davi
81,spotify:track:49GdoM9fiTXVOx1a6JTokJ,Assalto Perigoso,81,—,1,Melody
82,spotify:track:53BkPZwlaLbW77uV9BnJkl,Eu Fiz o Jogo Virar,32,70,11,Mc Poze do Rodo
83,spotify:track:3ibiPPqHxdmX4nNp4kNHE9,Passatempo,45,89,7,Wesley Safadão
84,spotify:track:3ZBVlZVOynUEw2Aphgt2cN,Metade de um Abraço,44,91,11,Zé Vaqueiro
85,spotify:track:1hs2hRwPfyFLoYIf6jY1W7,Zero Saudade - Ao Vivo,34,98,11,Os Barões Da Pisadinha
86,spotify:track:1G0kLIS0hE6uUPlIE9gksp,Fã Clube,38,76,8,Marília Mendonça
