rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,1,3,Leo Santana
2,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,2,10,Marília Mendonça
3,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,3,21,2,Zé Felipe
4,spotify:track:6vtgGf9Xn7fsr6jr1aGSRt,Deixa eu botar meu boneco - Baile do Polly 2.0,3,3,7,Oh Polêmico
5,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,2,4,11,WIU
6,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,6,7,6,NATTAN
7,spotify:track:4XpB5oBPuygG2Gbpi3PUhu,Cria Da Ivete - Ao Vivo,7,20,4,Ivete Sangalo
8,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,3,9,13,Israel & Rodolffo
9,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,5,13,Gustavo Mioto
10,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,5,10,9,Anitta
11,spotify:track:4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,8,8,3,Teto
12,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),2,11,13,Kadu Martins
13,spotify:track:7CIj5SFTB6WPJrYjLZN5bp,Pega o Guanabara - Ao Vivo,6,6,6,Wesley Safadão
14,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,12,12,13,Leo Santana
15,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,14,18,6,Mc Tato
16,spotify:track:2orGm2E68ODFYOURjaES62,Felina,3,13,13,WIU
17,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,17,28,3,Gusttavo Lima
18,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,12,17,9,MC Cabelinho
19,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,19,39,5,Matheus Fernandes
20,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,4,16,13,Orochi
21,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,7,15,13,Zé Felipe
22,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),11,19,8,Luísa Sonza
23,spotify:track:0bBwi6ddYeTv5fXgHAdfiH,Evoque Prata,1,22,13,MC MENOR HR
24,spotify:track:29adI8c6c75mnnaJ3BFLID,Parecia Tempestade,23,23,5,Sony no Beat
25,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,25,26,8,Maiara & Maraisa
26,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,13,30,8,MC K.K
27,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,4,25,13,Pineapple StormTv
28,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,28,79,2,Henrique & Juliano
29,spotify:track:0yLdNVWF3Srea0uzk55zFn,Flowers,7,14,5,Miley Cyrus
30,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,14,31,6,DJ Jeeh FDC
31,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,31,37,3,Gustavo Mioto
32,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,12,24,13,Felipe Amorim
33,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,7,27,13,Guilherme & Benuto
34,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,10,33,13,Guilherme & Benuto
35,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,11,29,13,Matheus & Kauan
