rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,1,5,Xamã
2,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,1,2,10,Zé Felipe
3,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,3,14,Marília Mendonça
4,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,4,7,8,Gusttavo Lima
5,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,3,5,10,Mari Fernandez
6,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,4,4,10,George Henrique & Rodrigo
7,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,3,6,14,PEDRO SAMPAIO
8,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,8,11,6,DJ Matt D
9,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,4,9,13,Paulo Pires
10,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,3,8,11,Marília Mendonça
11,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,5,10,14,Henrique & Juliano
12,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,2,14,14,Zé Felipe
13,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,2,15,14,Felipe Amorim
14,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,2,12,14,João Gomes
15,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,15,17,6,Jorge & Mateus
16,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,13,14,Avine Vinny
17,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,3,16,14,Marília Mendonça
18,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,18,18,7,Wesley Safadão
19,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,19,—,1,Hugo & Guilherme
20,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,14,19,14,Henrique & Juliano
21,spotify:track:1tYJnXtKLoWVIL4lZOouQG,Cê Tá Preparada - Ao Vivo,20,20,14,Tayrone
22,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,15,22,6,Anitta
23,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,7,21,14,Tarcísio do Acordeon
24,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,6,23,14,Gusttavo Lima
25,spotify:track:49diI1kf7HIELEC4EyTQGJ,Revoada - Ao Vivo,25,30,6,Leo Santana
26,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,26,32,6,Mc Poze do Rodo
27,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,27,27,3,Matuê
28,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,12,26,14,Zé Neto & Cristiano
29,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,11,24,14,Matheus Fernandes
30,spotify:track:2342lPAZ9zddhgAQEiLx4V,ANACONDA *o* ~~~,30,45,3,Luísa Sonza
31,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,13,28,13,Marina Sena
32,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,13,25,11,MC Levin
33,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,25,31,14,Matheus & Kauan
34,spotify:track:62d4BfCTUHdOsARRETHLDz,Mete a Louca,12,34,10,MC Rogerinho
35,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,35,—,1,Chefin
