rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,1,8,Marília Mendonça
2,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,2,—,1,Leo Santana
3,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,2,2,9,WIU
4,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,3,19,Gustavo Mioto
5,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,3,4,12,Israel & Rodolffo
6,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,5,5,7,Anitta
7,spotify:track:0yLdNVWF3Srea0uzk55zFn,Flowers,7,7,3,Miley Cyrus
8,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),2,6,13,Kadu Martins
9,spotify:track:6vtgGf9Xn7fsr6jr1aGSRt,Deixa eu botar meu boneco - Baile do Polly 2.0,9,19,5,Oh Polêmico
10,spotify:track:2orGm2E68ODFYOURjaES62,Felina,2,8,19,WIU
11,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,7,9,11,Zé Felipe
12,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,4,11,14,Orochi
13,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,13,23,4,NATTAN
14,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),11,13,6,Luísa Sonza
15,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,12,12,7,MC Cabelinho
16,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,10,13,MC MENOR HR
17,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,1,17,20,Pineapple StormTv
18,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,14,18,4,Mc Tato
19,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,6,15,30,Guilherme & Benuto
20,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,11,20,15,Matheus & Kauan
21,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,4,22,22,Guilherme & Benuto
22,spotify:track:7CIj5SFTB6WPJrYjLZN5bp,Pega o Guanabara - Ao Vivo,22,29,4,Wesley Safadão
23,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,21,40,Mari Fernandez
24,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,13,16,6,MC K.K
25,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,6,24,27,Felipe Amorim
26,spotify:track:29adI8c6c75mnnaJ3BFLID,Parecia Tempestade,26,55,3,Sony no Beat
27,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,14,14,4,DJ Jeeh FDC
28,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,6,42,45,Leo Santana
29,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,14,25,25,Jorge & Mateus
30,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,30,38,6,Maiara & Maraisa
31,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,5,27,28,Marília Mendonça
32,spotify:track:5t7E1z1kVtHyPxWNmUtXN4,Te Love - Ao Vivo,5,26,21,Kevi Jonny
33,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,11,33,32,MC Cabelinho
34,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,28,28,8,Israel & Rodolffo
35,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,3,31,26,Mc Paiva ZS
36,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,35,39,João Gomes
37,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,37,40,4,Ana Castela
38,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,15,43,19,MC Cabelinho
39,spotify:track:6qPCDdlx08sKOnlLKZW6h0,Me Evita Mais,21,47,4,Henry Freitas
40,spotify:track:3DNhR7P04alm9S4JA6Llvg,Mó Viagem,25,46,9,Felipe Amorim
41,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,41,—,1,Luan Santana
42,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,42,59,3,Matheus Fernandes
43,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,43,86,2,Naiara Azevedo
44,spotify:track:4XpB5oBPuygG2Gbpi3PUhu,Cria Da Ivete - Ao Vivo,44,71,2,Ivete Sangalo
45,spotify:track:52kcarcX0FQ6wPulXm2bMJ,Meca Cereja,41,41,4,Vulgo FK
46,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,37,45,7,MC Ryan SP
47,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,27,32,11,Guilherme & Benuto
48,spotify:track:4kAMyuJBbmJrbr6TLOWbEk,Beijo de Glicose - Ao Vivo,11,39,21,Diego & Victor Hugo
49,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",37,37,3,Bizarrap
50,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,20,34,10,Felipe e Rodrigo
51,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,36,46,Matheus Fernandes
52,spotify:track:2rtsT3CefzKc05JdAm8aQ5,Digo ou Não Digo - Ao Vivo,37,51,16,João Gomes
53,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,15,50,44,Harry Styles
54,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,54,—,1,Gustavo Mioto
55,spotify:track:5HFvMPiNjclAq8DbEAPWMw,Várias Queixas,52,76,13,Gilsons
56,spotify:track:3YQvZNmRc2y1hgdvustkce,MINHA CURA,56,73,4,MC Cabelinho
57,spotify:track:0oZrvoCYEbKGCsU7cQqNnw,Imprevisto,37,78,2,Yago Oproprio
58,spotify:track:08XvRS5EH8FfD6urhgaPD2,Lá Ele,58,81,2,Tierry
59,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,49,33,L7NNON
60,spotify:track:2bWVxK5GlPtS4D3FcLjGgQ,Cara da Derrota - Ao Vivo,57,63,7,Gusttavo Lima
