rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,1,7,DENNIS
2,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,3,8,Veigh
3,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,2,2,11,Eric Land
4,spotify:track:6F0ldIcRC6oCcn3hDukg9T,Cadê Seu Namorado Moça?,3,4,8,Thales Lessa
5,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,5,5,6,Leo Santana
6,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,2,7,22,Simone Mendes
7,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,7,10,7,Kadu Martins
8,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,8,23,2,Mc Livinho
9,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,4,8,22,AgroPlay
10,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,7,13,8,Veigh
11,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,5,9,18,Israel & Rodolffo
12,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,2,12,27,NATTAN
13,spotify:track:3fkLH5wAzni4mcXl4c6cAC,Sinal,8,11,14,Nadson O Ferinha
14,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,1,14,9,MC Caverinha
15,spotify:track:3Nvzs0cJbLwhXPPlI8xzpC,Vai Novinha Ah Ah Ah,15,21,3,Dyamante DJ
16,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),1,18,11,Matuê
17,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,2,15,15,KayBlack
18,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,18,22,15,Grupo Menos É Mais
19,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",19,27,3,Mc Pedrinho
20,spotify:track:0PudN847ZToV93jEVli48Y,Não Digita,10,19,13,Nadson O Ferinha
21,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,13,17,15,Grandão Vaqueiro
22,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,9,16,20,Zé Neto & Cristiano
23,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,20,31,Marília Mendonça
24,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,8,24,22,Matheus & Kauan
25,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",25,30,3,Melody
26,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,26,31,21,Guilherme & Benuto
27,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,9,26,23,Henrique & Juliano
28,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,16,32,14,KayBlack
29,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,4,28,23,MC Rogerinho
30,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,2,34,32,WIU
31,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,29,29,4,Luan Santana
32,spotify:track:6OsJf4xff5iw0RUzy3H7gU,Assunto Delicado,12,25,14,Nadson O Ferinha
33,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,18,35,14,KayBlack
34,spotify:track:3PTtqP1b862DvnY7XaSwAu,Chegou um Áudio,15,33,14,Nadson O Ferinha
35,spotify:track:5o9H0zAGTGrZQpH5WWh1Vi,Duas - Versão Arrocha,35,73,4,Dilsinho
36,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,31,37,11,MC Kevin o Chris
37,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,3,36,35,Israel & Rodolffo
38,spotify:track:3d1im1pw3WLuEty2k9XzTr,Clickbait,16,41,11,Veigh
39,spotify:track:6p6ohOKSzL4JaIRzSeOmWx,Cama Embrasa,26,38,8,Felipe Amorim
40,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,22,48,26,Veigh
41,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,39,42,Gustavo Mioto
42,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,44,24,Leo Santana
43,spotify:track:7aOBf2xYbux3bo1fwISo6b,BEM MELHOR,17,43,10,MC Cabelinho
