rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6MpYP4LUSb1MWfpsdToKyH,Duas,1,2,9,Nadson O Ferinha
2,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,2,29,2,DENNIS
3,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,3,3,3,Veigh
4,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,2,4,13,Simone Mendes
5,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,1,1,4,MC Caverinha
6,spotify:track:6F0ldIcRC6oCcn3hDukg9T,Cadê Seu Namorado Moça?,6,12,3,Thales Lessa
7,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,5,7,13,Israel & Rodolffo
8,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,8,10,3,Veigh
9,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),1,5,6,Matuê
10,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,4,6,13,AgroPlay
11,spotify:track:3fkLH5wAzni4mcXl4c6cAC,Sinal,9,11,9,Nadson O Ferinha
12,spotify:track:0PudN847ZToV93jEVli48Y,Não Digita,10,13,8,Nadson O Ferinha
13,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,2,8,10,KayBlack
14,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,9,13,Marília Mendonça
15,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,9,15,13,Zé Neto & Cristiano
16,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,2,14,13,NATTAN
17,spotify:track:6OsJf4xff5iw0RUzy3H7gU,Assunto Delicado,12,16,9,Nadson O Ferinha
18,spotify:track:3PTtqP1b862DvnY7XaSwAu,Chegou um Áudio,15,19,9,Nadson O Ferinha
19,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,8,21,13,Matheus & Kauan
20,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,16,20,9,KayBlack
21,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,21,57,6,Eric Land
22,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,13,27,10,Grandão Vaqueiro
23,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,23,32,10,Grupo Menos É Mais
24,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,18,24,9,KayBlack
25,spotify:track:7aOBf2xYbux3bo1fwISo6b,BEM MELHOR,17,17,5,MC Cabelinho
26,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,4,23,13,MC Rogerinho
27,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,5,18,13,WIU
28,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,9,25,13,Henrique & Juliano
29,spotify:track:6p6ohOKSzL4JaIRzSeOmWx,Cama Embrasa,29,34,3,Felipe Amorim
30,spotify:track:3d1im1pw3WLuEty2k9XzTr,Clickbait,16,22,6,Veigh
31,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,31,42,6,MC Kevin o Chris
32,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,26,28,13,Guilherme & Benuto
33,spotify:track:0uR8SKJvGT1PAvuBLu4h1k,Acabei de Terminar,33,39,7,Nadson O Ferinha
34,spotify:track:2YT8DZ2sF0LFRNwu9b8s5L,Erro Que dá Certo,22,30,13,Thiago Aquino
35,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,8,36,13,Israel & Rodolffo
36,spotify:track:7jWEgucKOoKvzrV9dV2E3Q,Pitbull Enraivado,11,35,8,Oh Polêmico
37,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,10,33,13,Gustavo Mioto
38,spotify:track:5btDKzAsFh975NSWxwBHRc,Coisas Que Eu Sei,11,44,8,Felipe Amorim
39,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,37,40,12,Clayton & Romário
40,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,12,37,13,MC Cabelinho
41,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,25,38,13,MC Cabelinho
42,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,22,31,13,Veigh
43,spotify:track:43izJQz4iVAlyYRkg2QDzg,Vai Sentir Falta de Mim,41,53,2,Nadson O Ferinha
44,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,2,41,12,Zé Felipe
45,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,14,45,13,Matheus Fernandes
46,spotify:track:3YQvZNmRc2y1hgdvustkce,MINHA CURA,26,46,13,MC Cabelinho
47,spotify:track:3a4akoVX5NIRRPGgnfP4kC,Cisco no Olho,41,47,7,Nadson O Ferinha
48,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,38,58,13,Gustavo Mioto
49,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,32,43,9,Hugo & Guilherme
50,spotify:track:7k8YBbVumvWI1ujyjWbvlo,Nunca Mais - Ao Vivo,50,63,4,NATTAN
51,spotify:track:4tuFNhM69UakXdPg4RrNvp,Deus Perdoa,19,49,11,Filipe Ret
52,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,33,56,10,Henrique & Juliano
53,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,22,67,10,Wesley Safadão
54,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,2,50,13,Leo Santana
55,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,55,—,1,Guilherme & Benuto
56,spotify:track:2Z52oCyaTe0QlliyIjHZh8,Karolina,56,—,1,O Erótico
57,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,18,62,13,Gusttavo Lima
58,spotify:track:4LGMhVOjFFFw7dciJeRiyQ,Erro Que Dá Certo,16,26,3,Nadson O Ferinha
59,spotify:track:1L7hWEc3tVjvmbw48ShktM,Desejo Imortal (It Must Have Been Love) - Ao Vivo,58,61,7,Gusttavo Lima
60,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,29,48,13,Pineapple StormTv
61,spotify:track:0ssgd2ZvDawP0KHGfBYRpv,Good Vibe,42,51,13,Filipe Ret
62,spotify:track:3F7dI7onLGCS6xMHh4jUoK,Deixa Eu Te Superar,62,66,7,Nadson O Ferinha
63,spotify:track:2ngf9Oslq32bJdbxq8WQ27,Eu Não Vou Aceitar,61,74,4,Nadson O Ferinha
64,spotify:track:4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,26,54,13,Teto
65,spotify:track:2orGm2E68ODFYOURjaES62,Felina,13,52,13,WIU
66,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,66,—,1,Leo Santana
67,spotify:track:2tFmuYL5D8zqBHvs0nG5Tn,Bonjour,28,60,13,KayBlack
68,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,9,79,12,MC Kevin o Chris
69,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,35,65,13,Maiara & Maraisa
70,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,70,96,2,Kadu Martins
71,spotify:track:7BE8gYIIFPJsx3EjXk77yT,Vizão de Cria 3,71,—,1,Caio Luccas
72,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,57,59,13,Matuê
73,spotify:track:745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,73,—,1,MC Guh SR
74,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,17,55,13,Orochi
75,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,70,82,9,Luan Pereira
76,spotify:track:0FBV7lozkqCSuV2q24n43x,Minha Vida é um Filme,38,68,10,Teto
77,spotify:track:4t6eam3rC9JoNFVkfOHK4s,Pátio do Posto - Ao Vivo,77,86,2,Zé Neto & Cristiano
78,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,37,83,13,Matheus & Kauan
