rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,1,6,DENNIS
2,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,2,2,10,Eric Land
3,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,5,7,Veigh
4,spotify:track:6F0ldIcRC6oCcn3hDukg9T,Cadê Seu Namorado Moça?,3,3,7,Thales Lessa
5,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,5,7,5,Leo Santana
6,spotify:track:6MpYP4LUSb1MWfpsdToKyH,Duas,1,4,13,Nadson O Ferinha
7,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,2,6,16,Simone Mendes
8,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,4,9,16,AgroPlay
9,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,5,10,16,Israel & Rodolffo
10,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,10,23,6,Kadu Martins
11,spotify:track:3fkLH5wAzni4mcXl4c6cAC,Sinal,8,8,13,Nadson O Ferinha
12,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,2,11,16,NATTAN
13,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,7,18,7,Veigh
14,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,1,15,8,MC Caverinha
15,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,2,19,14,KayBlack
16,spotify:track:7KWgILiigX4Qr2WFeeerkc,Oi Balde - Ao Vivo,9,14,16,Zé Neto & Cristiano
17,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,13,13,14,Grandão Vaqueiro
18,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),1,21,10,Matuê
19,spotify:track:0PudN847ZToV93jEVli48Y,Não Digita,10,12,12,Nadson O Ferinha
20,spotify:track:2d2K6DhHPBsi78K9E0cWrD,Leão,1,16,16,Marília Mendonça
21,spotify:track:3Nvzs0cJbLwhXPPlI8xzpC,Vai Novinha Ah Ah Ah,21,46,2,Dyamante DJ
22,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,20,22,14,Grupo Menos É Mais
23,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,23,—,1,Mc Livinho
24,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,8,20,16,Matheus & Kauan
25,spotify:track:6OsJf4xff5iw0RUzy3H7gU,Assunto Delicado,12,17,13,Nadson O Ferinha
26,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,11,27,16,Henrique & Juliano
27,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",27,91,2,Mc Pedrinho
28,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,4,25,16,MC Rogerinho
29,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,29,31,3,Luan Santana
30,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",30,43,2,Melody
31,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,26,28,16,Guilherme & Benuto
32,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,16,38,13,KayBlack
33,spotify:track:3PTtqP1b862DvnY7XaSwAu,Chegou um Áudio,15,24,13,Nadson O Ferinha
34,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,6,30,16,WIU
35,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,18,37,13,KayBlack
36,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,9,29,16,Israel & Rodolffo
37,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,31,41,10,MC Kevin o Chris
38,spotify:track:6p6ohOKSzL4JaIRzSeOmWx,Cama Embrasa,26,26,7,Felipe Amorim
39,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,10,32,16,Gustavo Mioto
40,spotify:track:5SBwdQwgcGDJOAFBMKct7s,Isso é Vaquejada,40,40,5,Tarcísio do Acordeon
41,spotify:track:3d1im1pw3WLuEty2k9XzTr,Clickbait,16,48,10,Veigh
42,spotify:track:0uR8SKJvGT1PAvuBLu4h1k,Acabei de Terminar,33,33,11,Nadson O Ferinha
43,spotify:track:7aOBf2xYbux3bo1fwISo6b,BEM MELHOR,17,52,9,MC Cabelinho
44,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,3,45,16,Leo Santana
45,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,36,42,16,Gustavo Mioto
46,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,46,49,5,Guilherme & Benuto
