rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,2,13,Marília Mendonça
2,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,1,6,Leo Santana
4,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,4,4,9,NATTAN
5,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,5,17,4,AgroPlay
6,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,2,5,13,WIU
7,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,3,12,13,Israel & Rodolffo
8,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,10,13,Gustavo Mioto
9,spotify:track:7CIj5SFTB6WPJrYjLZN5bp,Pega o Guanabara - Ao Vivo,6,7,9,Wesley Safadão
10,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,10,15,12,MC Cabelinho
11,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,11,24,4,MC Xenon
12,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),2,13,13,Kadu Martins
13,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,13,18,5,Henrique & Juliano
14,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,3,6,5,Zé Felipe
15,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,11,14,8,Matheus Fernandes
16,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,5,9,12,Anitta
17,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,17,37,5,MC Rogerinho
18,spotify:track:4XpB5oBPuygG2Gbpi3PUhu,Cria Da Ivete - Ao Vivo,3,8,7,Ivete Sangalo
19,spotify:track:4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,8,16,6,Teto
20,spotify:track:2orGm2E68ODFYOURjaES62,Felina,3,19,13,WIU
21,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,16,21,6,Gusttavo Lima
22,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,4,20,13,Orochi
23,spotify:track:6vtgGf9Xn7fsr6jr1aGSRt,Deixa eu botar meu boneco - Baile do Polly 2.0,3,11,10,Oh Polêmico
24,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,14,23,9,Mc Tato
25,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,22,22,4,Matheus & Kauan
26,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,26,35,4,Simone Mendes
27,spotify:track:2tFmuYL5D8zqBHvs0nG5Tn,Bonjour,27,27,2,KayBlack
28,spotify:track:7aZnuwpivaj4N7XFhhqBiO,Love Absurdo,19,26,4,Mari Fernandez
29,spotify:track:3YQvZNmRc2y1hgdvustkce,MINHA CURA,29,31,9,MC Cabelinho
30,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,9,30,13,Pineapple StormTv
31,spotify:track:7oDd86yk8itslrA9HRP2ki,Die For You - Remix,31,44,2,The Weeknd
32,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,17,34,13,MC Cabelinho
33,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,33,87,2,Zé Neto & Cristiano
34,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,25,32,11,Maiara & Maraisa
35,spotify:track:0yLdNVWF3Srea0uzk55zFn,Flowers,7,25,8,Miley Cyrus
36,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,7,29,13,Zé Felipe
37,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,30,36,6,Gustavo Mioto
38,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,38,47,3,Guilherme & Benuto
39,spotify:track:29adI8c6c75mnnaJ3BFLID,Parecia Tempestade,20,28,8,Sony no Beat
40,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,11,40,13,Matheus & Kauan
41,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,6,39,13,Mari Fernandez
42,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,10,46,13,Guilherme & Benuto
43,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,43,49,8,Veigh
44,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,9,41,13,Guilherme & Benuto
45,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),11,33,11,Luísa Sonza
46,spotify:track:0bBwi6ddYeTv5fXgHAdfiH,Evoque Prata,1,38,13,MC MENOR HR
47,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,19,42,13,MC Cabelinho
48,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,14,43,9,DJ Jeeh FDC
49,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,39,48,7,Naiara Azevedo
50,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,22,50,13,Jorge & Mateus
51,spotify:track:6a6UEfhgIKfzrZu1hqRYup,INEFÁVEL (feat. Leviano),51,72,2,Long beatz
52,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,12,56,13,Felipe Amorim
53,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,12,45,13,Leo Santana
54,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,28,53,13,Israel & Rodolffo
55,spotify:track:0ssgd2ZvDawP0KHGfBYRpv,Good Vibe,55,61,2,Filipe Ret
56,spotify:track:4m8kG46clzxMxyrDuFo1Uq,Horas Iguais,51,60,2,WIU
57,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,37,51,12,MC Ryan SP
58,spotify:track:3xCkNUiap7EBjqnRldHSSh,Coladin (Minha Deusa),32,54,5,Zé Vaqueiro
59,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,37,67,9,Ana Castela
60,spotify:track:4eTtgdIXEy2LvLeg7NNSov,Vizão de Cria 2,47,65,2,Dallass
61,spotify:track:52kcarcX0FQ6wPulXm2bMJ,Meca Cereja,41,55,2,Vulgo FK
62,spotify:track:5HFvMPiNjclAq8DbEAPWMw,Várias Queixas,52,71,2,Gilsons
63,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,20,64,13,Felipe e Rodrigo
64,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,52,52,9,SZA
65,spotify:track:1a5LfJGq0vuCWQ9Mme0Ac7,Deserto (Ao Vivo),59,59,2,Maria Marçal
66,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,31,57,13,Harry Styles
67,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,36,62,2,Matuê
68,spotify:track:13SWee2K1tLqE8rzgoIAzC,Se Você for Embora,68,100,2,Tz da Coronel
69,spotify:track:2YT8DZ2sF0LFRNwu9b8s5L,Erro Que dá Certo,69,77,3,Thiago Aquino
70,spotify:track:7zKqmAHGY8zm2UA4wT5ant,Perdoa Por Tudo Vida,68,68,2,Veigh
71,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,41,66,6,Luan Santana
72,spotify:track:1Q1d5yjdXpcedKFJR3p7Ir,NOSSA MÚSICA,63,63,2,MC Cabelinho
73,spotify:track:2rtsT3CefzKc05JdAm8aQ5,Digo ou Não Digo - Ao Vivo,37,80,13,João Gomes
74,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,52,83,10,Mc Jacaré
75,spotify:track:5GMGtzj4EumFtRnVXTjzhe,An An An,49,69,5,O Erótico
76,spotify:track:3BSrkgc0HEM0dod45jmqyN,INTENÇÃO,59,76,2,MC Cabelinho
77,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,27,82,13,Guilherme & Benuto
78,spotify:track:5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,72,88,2,Mc Paiva ZS
79,spotify:track:18XOY618zQH4bFw3TgVT9L,VALHO NADA,46,91,2,MC Cabelinho
80,spotify:track:1EabI1QbflYnmXuMKtlzbI,Onde Tu Vai Sentar - Ao Vivo,80,—,1,Gustavo Mioto
81,spotify:track:6qPCDdlx08sKOnlLKZW6h0,Me Evita Mais,21,74,9,Henry Freitas
82,spotify:track:4kAMyuJBbmJrbr6TLOWbEk,Beijo de Glicose - Ao Vivo,20,84,13,Diego & Victor Hugo
83,spotify:track:4hWp2U1XNZkXK23iyyfWgh,Só de Mal,83,—,1,WIU
84,spotify:track:0oZrvoCYEbKGCsU7cQqNnw,Imprevisto,37,89,2,Yago Oproprio
85,spotify:track:0ReqDOp3nbS49HRy4BrmkY,SEXY,56,92,2,MC Cabelinho
86,spotify:track:37OIusjSUFvt0uqEE6r2Ux,Safado,86,—,1,MC Ryan SP
87,spotify:track:3BmGfswCrv2p1It4oCdtU6,Controllah (feat. MC Bin Laden),87,—,1,Gorillaz
