rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,1,15,2,MC Caverinha
2,spotify:track:6MpYP4LUSb1MWfpsdToKyH,Duas,2,2,7,Nadson O Ferinha
3,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),1,1,4,Matuê
4,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,2,3,13,Simone Mendes
5,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,4,7,13,AgroPlay
6,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,4,13,Marília Mendonça
7,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,5,5,11,Israel & Rodolffo
8,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,2,8,8,KayBlack
9,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,2,10,13,NATTAN
10,spotify:track:5IZxQgaYrsKmQnLxKxCOrH,Não Digita,10,11,6,Nadson O Ferinha
11,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,11,—,1,Veigh
12,spotify:track:52F8iR3hagmRlfRH0TO8zu,Assunto Delicado,12,14,7,Nadson O Ferinha
13,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,9,12,13,Zé Neto & Cristiano
14,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,8,13,13,Matheus & Kauan
15,spotify:track:3PTtqP1b862DvnY7XaSwAu,Chegou um Áudio,15,19,7,Nadson O Ferinha
16,spotify:track:3d1im1pw3WLuEty2k9XzTr,Clickbait,16,28,4,Veigh
17,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,16,16,7,KayBlack
18,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,18,20,7,KayBlack
19,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,5,18,13,WIU
20,spotify:track:7aOBf2xYbux3bo1fwISo6b,BEM MELHOR,20,29,3,MC Cabelinho
21,spotify:track:6F0ldIcRC6oCcn3hDukg9T,Cadê Seu Namorado Moça?,21,—,1,Thales Lessa
22,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,22,—,1,Veigh
23,spotify:track:4LGMhVOjFFFw7dciJeRiyQ,Erro Que Dá Certo,16,—,1,Nadson O Ferinha
24,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,4,17,13,MC Rogerinho
