rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,1,2,9,Dj GBR
2,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,1,1,7,Manu
3,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,3,4,33,Grupo Menos É Mais
4,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,4,9,12,Simone Mendes
5,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,1,3,17,Felipe Amorim
6,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,5,5,4,Tropa do Bruxo
7,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,5,7,11,Gusttavo Lima
8,spotify:track:07DskqQ1NbTiotX1WIV7ob,Piloto,3,6,9,Flora Matos
9,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,5,8,12,MC Rogerinho
10,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,2,10,16,Felipe Amorim
11,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,11,13,10,Zé Neto & Cristiano
12,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,12,21,24,Guilherme & Benuto
13,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,1,11,26,Veigh
14,spotify:track:7GjAXYuxjuXPbQJzRnNdob,Pane no Sistema,14,17,3,GREGO
15,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,10,12,19,Ana Castela
16,spotify:track:2cZ62VBKsdZ7u1kKKJdFOc,Sou Musa do Verão,16,29,2,Marshmello
17,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,2,15,45,NATTAN
18,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),3,14,16,MC Kevin o Chris
19,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,19,49,Marília Mendonça
20,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,3,16,18,Vulgo FK
21,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,2,23,40,Simone Mendes
22,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,2,20,29,Eric Land
