rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,1,2,6,Dj GBR
2,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,1,1,14,Felipe Amorim
3,spotify:track:07DskqQ1NbTiotX1WIV7ob,Piloto,3,3,6,Flora Matos
4,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,3,4,30,Grupo Menos É Mais
5,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,5,13,4,Manu
6,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,5,5,8,Gusttavo Lima
7,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,5,6,9,MC Rogerinho
8,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,2,7,13,Felipe Amorim
9,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,1,8,23,Veigh
10,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),3,9,13,MC Kevin o Chris
11,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,3,11,15,Vulgo FK
12,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,12,23,7,Zé Neto & Cristiano
13,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,2,10,42,NATTAN
14,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,10,12,16,Ana Castela
15,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,2,14,26,Eric Land
16,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,16,16,9,Simone Mendes
17,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,15,22,DENNIS
18,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,18,—,1,Tropa do Bruxo
19,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,19,46,Marília Mendonça
20,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,2,17,37,Simone Mendes
21,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,13,18,8,Luan Pereira
22,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,3,22,22,Kadu Martins
23,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,4,20,37,AgroPlay
24,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,20,21,15,Gusttavo Lima
25,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,7,29,23,Veigh
26,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,26,28,21,Guilherme & Benuto
27,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",16,26,18,Melody
28,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,5,33,33,Israel & Rodolffo
29,spotify:track:6F0ldIcRC6oCcn3hDukg9T,Cadê Seu Namorado Moça?,3,24,23,Thales Lessa
30,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,4,27,21,Leo Santana
31,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,28,35,17,Zé Neto & Cristiano
32,spotify:track:3fkLH5wAzni4mcXl4c6cAC,Sinal,8,25,29,Nadson O Ferinha
33,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,5,31,17,Mc Livinho
34,spotify:track:5HlcsBdjb5TiZeZ3ngWRv0,5 Da Manhã - Ao Vivo,31,34,5,Raí Saia Rodada
35,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,35,50,5,MC Maneirinho
36,spotify:track:4zW6JV4aqhXpbfZLZyEFvP,Quase Algo - Ao Vivo Em Nova Iorque / 2022,36,45,3,Henrique & Juliano
37,spotify:track:5Htol3nnPzphX76oORiNHb,Golzinho Vermelho - Ao Vivo,37,38,8,Leo Santana
38,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,26,37,36,Guilherme & Benuto
39,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,32,32,12,Gusttavo Lima
40,spotify:track:62W2f0QOg20ufNjJQHqnkq,Fernando de Noronha,39,39,4,Mc IG
41,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,18,47,29,KayBlack
