rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,1,1,10,Felipe Amorim
2,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,2,2,9,Felipe Amorim
3,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,3,3,26,Grupo Menos É Mais
4,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,4,8,2,Dj GBR
5,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,5,9,5,MC Rogerinho
6,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),3,5,9,MC Kevin o Chris
7,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,1,7,19,Veigh
8,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,3,6,11,Vulgo FK
9,spotify:track:43eRVwfXFkY3kXN4K47gNT,Chico,1,4,4,Luísa Sonza
10,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,2,11,22,Eric Land
11,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,2,12,38,NATTAN
12,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,10,18,DENNIS
13,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,10,13,12,Ana Castela
14,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,3,14,18,Kadu Martins
15,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,15,17,4,Luan Pereira
16,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,16,23,4,Gusttavo Lima
17,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,7,19,19,Veigh
18,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,4,18,33,AgroPlay
19,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,5,16,13,Mc Livinho
20,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,2,15,33,Simone Mendes
21,spotify:track:6F0ldIcRC6oCcn3hDukg9T,Cadê Seu Namorado Moça?,3,20,19,Thales Lessa
22,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",16,21,14,Melody
23,spotify:track:181TYnNi3wNGrdsCykmI4A,A Dona Aranha,19,29,4,Luísa Sonza
24,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,24,43,3,Zé Neto & Cristiano
25,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,24,27,11,Gusttavo Lima
26,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,5,22,29,Israel & Rodolffo
27,spotify:track:3fkLH5wAzni4mcXl4c6cAC,Sinal,8,30,25,Nadson O Ferinha
28,spotify:track:3Mj0GaRrmpLNZ2Xe47KsK8,Só Falta Eu,24,31,9,Nadson O Ferinha
29,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,4,33,17,Leo Santana
30,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,24,42,Marília Mendonça
31,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,28,28,13,Zé Neto & Cristiano
32,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,28,37,15,Luan Santana
33,spotify:track:5btDKzAsFh975NSWxwBHRc,Coisas Que Eu Sei,11,38,24,Felipe Amorim
34,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),1,34,22,Matuê
35,spotify:track:07DskqQ1NbTiotX1WIV7ob,Piloto,35,82,2,Flora Matos
36,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,18,39,25,KayBlack
37,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,13,44,26,Grandão Vaqueiro
38,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,26,36,32,Guilherme & Benuto
39,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,2,32,26,KayBlack
40,spotify:track:2exu569k07hUulN9CoPnMH,Campo De Morango,13,26,6,Luísa Sonza
41,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,40,40,8,Gusttavo Lima
42,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,31,35,17,Guilherme & Benuto
43,spotify:track:5Htol3nnPzphX76oORiNHb,Golzinho Vermelho - Ao Vivo,43,51,4,Leo Santana
44,spotify:track:2D1rmVTeaZrr5Ipow29t4b,Sintomas de Prazer,44,49,5,LUDMILLA
45,spotify:track:5o9H0zAGTGrZQpH5WWh1Vi,Duas - Versão Arrocha,35,45,15,Dilsinho
46,spotify:track:4ldcxPVAtih8alepJTu8Hx,"Faz Completo, Chefe",45,52,5,Mc IG
47,spotify:track:0ZVWliWjMmYFxQe9U63Y5W,5 Da Manhã - Ao Vivo,47,—,1,Raí Saia Rodada
48,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,9,41,34,Henrique & Juliano
49,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",14,46,14,Mc Pedrinho
50,spotify:track:277U4WmOVtfHPX3eEgzpKD,Sete Bilhões,50,56,7,Nadson O Ferinha
51,spotify:track:0t5cfOZxePTvuYXTywHzjH,Penhasco2,5,25,5,Luísa Sonza
52,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",15,47,14,Dyamante DJ
53,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,1,48,20,MC Caverinha
54,spotify:track:4bxAq0zgWQKMaQJ7HLJJxk,Ombrim (ai que delicia o verão) (feat. Mts No Beat),54,86,2,Marina Sena
55,spotify:track:6MCaEL0pQo1Jg1vlKpMWop,Dois Fugitivos - Ao Vivo,55,79,5,Simone Mendes
56,spotify:track:6p6ohOKSzL4JaIRzSeOmWx,Cama Embrasa,26,54,19,Felipe Amorim
57,spotify:track:1dv8qeBPtLAli7J3xNeTDR,Surreal,28,50,4,Luísa Sonza
58,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,8,53,33,Matheus & Kauan
59,spotify:track:0PudN847ZToV93jEVli48Y,Não Digita,10,58,24,Nadson O Ferinha
60,spotify:track:5HFvMPiNjclAq8DbEAPWMw,Várias Queixas,52,67,8,Gilsons
61,spotify:track:75MCoStUUXRNOPe15ENW4Z,Cópia Exata,45,63,8,Nadson O Ferinha
62,spotify:track:4MiUh4nGPu8dmUWDoNqla1,Posta Aí,51,62,8,Nadson O Ferinha
63,spotify:track:1kWcd9h9HoeXsKaDVhSOtj,Ela - Ao Vivo,63,91,2,Sorriso Maroto
64,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,16,57,25,KayBlack
65,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,28,55,12,Luan Pereira
66,spotify:track:5K1AvkMVYJj5GSZGwMytSe,Clima Frio,66,71,7,Nadson O Ferinha
67,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,61,64,6,Diego & Victor Hugo
68,spotify:track:0btol0yAwaK1mJdyQfnKFn,Eu Nem Lembro,64,84,9,Henry Freitas
69,spotify:track:3l5VjEAeUTqrlD50iEo8Yn,Licor 43,69,80,2,KayBlack
70,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),70,81,3,Ana Castela
71,spotify:track:0SWDToufOxRVIngk8c1oZi,AMBIENTE ERRADO - Ao Vivo,59,61,6,Luan Santana
72,spotify:track:1a5LfJGq0vuCWQ9Mme0Ac7,Deserto (Ao Vivo),54,66,13,Maria Marçal
73,spotify:track:0KhLYwYVhi13hMhxX73m55,MULHER SEGURA - Ao Vivo,73,—,1,Luan Santana
74,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,74,—,1,MC Maneirinho
75,spotify:track:77VEEXFqs8GlKhT1lWHcsE,A Cara do Crime 4 (Acendo a Flor),62,73,7,Mc Poze do Rodo
76,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,1,69,54,Pineapple StormTv
77,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,63,74,14,Murilo Huff
78,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Locked out of Heaven,59,59,4,Bruno Mars
79,spotify:track:1a1CZOOOgsm1bGf0G92Zrn,Do Seu Lado,79,89,5,Chefin
80,spotify:track:64JdLJ0dFwI5lptGXHQxZs,Sarradinha,80,—,1,Mari Fernandez
81,spotify:track:5a2CIQaMW3Keqtx4BdXbEY,Anota Aí - Ao Vivo,71,95,7,Avine Vinny
82,spotify:track:56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,82,—,1,Doja Cat
83,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,4,70,13,Orochi
84,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,9,60,31,Zé Neto & Cristiano
85,spotify:track:6ELMBm3lZFitAZp03GBBNG,Me Atraiu - Ao Vivo,70,75,13,Gabriela Rocha
86,spotify:track:0ssgd2ZvDawP0KHGfBYRpv,Good Vibe,42,78,13,Filipe Ret
87,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,4,42,34,MC Rogerinho
88,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,30,68,35,Gustavo Mioto
89,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,2,65,43,WIU
90,spotify:track:3d1im1pw3WLuEty2k9XzTr,Clickbait,16,72,22,Veigh
91,spotify:track:0WrM1ON5poAsmKw3x5uPhD,Narcisista - Ao Vivo,51,87,8,Maiara & Maraisa
92,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,85,35,Leo Santana
93,spotify:track:6MvaRZ6JZgJuXz9b1CMB1y,20 Ligações,43,92,2,Baco Exu do Blues
94,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,22,83,37,Veigh
95,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,78,96,3,Henrique & Juliano
96,spotify:track:5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,59,97,2,Grupo Menos É Mais
97,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,11,76,66,MC Cabelinho
98,spotify:track:4eTtgdIXEy2LvLeg7NNSov,Vizão de Cria 2,41,93,3,Dallass
99,spotify:track:1M9JZXjz6GCUH7VbFFBmJx,Todo Amor do Mundo,99,—,1,Ferrugem
100,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,1,88,3,Matuê
