rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,1,1,3,Pineapple StormTv
2,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,2,23,Mari Fernandez
3,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,3,4,9,Mc Paiva ZS
4,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,3,16,L7NNON
5,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,5,37,2,Gustavo Mioto
6,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,5,22,João Gomes
7,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,7,20,5,Guilherme & Benuto
8,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,6,29,Matheus Fernandes
9,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,6,8,10,Felipe Amorim
10,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,7,7,13,Guilherme & Benuto
11,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),11,26,2,Sam Smith
12,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,5,10,14,Ana Castela
13,spotify:track:6TnCI16uLWhyQCrHva9VWj,Te Love - Ao Vivo,13,17,4,Kevi Jonny
14,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,13,27,Felipe Amorim
15,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,11,12,13,Gusttavo Lima
16,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,5,9,11,Marília Mendonça
17,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,6,19,28,Leo Santana
18,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,16,18,15,MC Cabelinho
19,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,1,11,27,Matuê
20,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,14,14,8,Jorge & Mateus
