rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,1,11,AgroPlay
2,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,3,13,Marília Mendonça
3,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,2,2,4,KayBlack
4,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),4,21,3,MC PH
5,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,5,9,11,Simone Mendes
6,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,4,4,10,Zé Neto & Cristiano
7,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,7,7,4,KayBlack
8,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,8,11,8,Israel & Rodolffo
9,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,5,6,12,Henrique & Juliano
10,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,7,8,12,Matheus & Kauan
11,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,2,5,13,Israel & Rodolffo
12,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,12,12,11,Guilherme & Benuto
13,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,3,10,11,MC Xenon
14,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,3,14,13,Gustavo Mioto
15,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,13,13,4,KayBlack
16,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,4,15,13,WIU
17,spotify:track:5v8EhStRWlvoY2qbcZR5R2,Mágica - Ao Vivo,17,18,4,Hugo & Guilherme
18,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,18,19,6,Clayton & Romário
19,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,3,16,6,Zé Felipe
20,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,15,22,13,Gusttavo Lima
21,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,21,26,5,Luan Pereira
22,spotify:track:0VhG6qzFZo9JrHu56Wq7gh,* da Anitta,22,—,1,Mc Daniel
23,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,9,17,7,MC Kevin o Chris
24,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,17,27,13,Gustavo Mioto
25,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,12,28,13,Maiara & Maraisa
26,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,19,29,5,Henrique & Juliano
27,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,23,23,13,Veigh
28,spotify:track:6BsKZXjKIrGWMK1uLWfJYN,Sal e Pimenta,20,20,4,KayBlack
29,spotify:track:2orGm2E68ODFYOURjaES62,Felina,13,30,13,WIU
30,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,21,31,12,NATTAN
31,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,11,33,13,Matheus & Kauan
32,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,21,34,13,Ana Castela
34,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,24,36,8,MC Rogerinho
35,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,22,38,13,Israel & Rodolffo
36,spotify:track:6cZqw8wIrMsFxCNMzLRbNU,Metade De Mim - Ao Vivo,32,40,7,Hugo & Guilherme
37,spotify:track:5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo,19,41,13,Guilherme & Benuto
38,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,37,12,Leo Santana
39,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,39,65,6,Grupo Menos É Mais
40,spotify:track:3O2wrDL7nnSDZOrdZqxyoY,Noite Fria,10,24,8,Mc IG
