rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,1,10,Ana Castela
2,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,2,3,7,Mc Paiva ZS
3,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,3,4,8,Guilherme & Benuto
4,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,2,10,L7NNON
5,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,5,7,2,Luan Santana
6,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,5,5,5,Mc Jacaré
7,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,7,10,3,DJ AK BR
8,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,5,9,5,Marília Mendonça
9,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,8,9,MC Tairon
10,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,7,12,16,Jorge & Mateus
11,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,3,6,6,Luísa Sonza
12,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,2,14,32,Hugo & Guilherme
13,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,7,11,7,Gusttavo Lima
14,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,14,16,23,Matheus & Kauan
15,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,15,21,Matheus Fernandes
16,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,4,18,19,Luan Santana
17,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,5,19,21,Gusttavo Lima
18,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,15,17,6,MC Kevin o Chris
19,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,13,10,Zé Felipe
20,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,2,22,21,Matuê
21,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,3,20,14,Mc Don Juan
22,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,21,23,Davi Kneip
23,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,13,30,21,Harry Styles
24,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,24,25,13,Israel & Rodolffo
25,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,25,28,13,Mc Paiva ZS
26,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,19,23,13,Mari Fernandez
27,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,15,27,19,MC Braz
28,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,2,31,43,George Henrique & Rodrigo
29,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,29,35,14,Paulo e Nathan
30,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,8,32,37,Jorge & Mateus
31,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,22,33,19,Hugo & Guilherme
32,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,5,24,15,João Gomes
33,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,22,29,6,Nivaldo Marques
34,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,6,34,21,Teto
35,spotify:track:4NFkcqZ3jU2O9rgEbuluVn,Bafora o Lança - Remix,35,79,2,Mario Mc
36,spotify:track:5A35xC90Nk6tXmcOAOOavi,ABALO EMOCIONAL - Ao Vivo,6,38,29,Luan Santana
37,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,9,26,17,MC Rogerinho
38,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,38,40,3,Hugo & Guilherme
39,spotify:track:2VbKpQWIMRelKmEy8rSCAf,Set Tatuapé Conceito 2,39,43,7,Mc Kako
40,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,8,36,45,Henrique & Juliano
41,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,5,37,21,Felipe Amorim
42,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,42,48,4,Jorge & Mateus
43,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,43,45,7,MC Cabelinho
44,spotify:track:0yDMhYTryvQoR634wDgQ1j,O Fim é Triste (feat. DJ BOY),39,42,8,MC Hariel
45,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,44,44,3,Murilo Huff
46,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,39,28,PEDRO SAMPAIO
47,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,23,46,37,Wesley Safadão
48,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,42,47,12,Murilo Huff
49,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,21,57,27,Guilherme & Benuto
50,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,49,45,Henrique & Juliano
51,spotify:track:5TPXcKSOlPaz2pkYbWiWHU,Ai Eu Chorei - Ao Vivo,51,74,5,Clayton & Romário
52,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,20,54,44,Henrique & Juliano
53,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,12,41,11,Baco Exu do Blues
54,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,23,53,22,Mc Gabzin
55,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,52,45,Marília Mendonça
56,spotify:track:0skYUMpS0AcbpjcGsAbRGj,Pink Venom,56,—,1,BLACKPINK
57,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,24,56,14,Henrique & Juliano
58,spotify:track:1XcmAgREOuJQb91sr68AAD,Sentadinha Diferente,51,51,5,Dyamante DJ
59,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,15,64,30,Zé Neto & Cristiano
60,spotify:track:2s8kT1fuBVjxept8bH68Sw,SET MK 2,56,58,12,MC Hariel
61,spotify:track:4aoZBldNDVYmTwmeoI49ud,O Poder Dessa Garota,60,62,8,Mc Gabzin
62,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),19,55,13,Kate Bush
63,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,29,50,16,Leo Santana
64,spotify:track:3ZtHHGpAPSWC7Gnios4lmK,Metflix,43,63,5,Mc Poze do Rodo
65,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,3,66,38,DJ Matt D
66,spotify:track:1RgJ4lexKGNBlKnyxB5SRt,Balazul,34,61,11,Teto
67,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,5,69,39,Gusttavo Lima
