rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,1,2,8,Mc Paiva ZS
2,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,1,11,Ana Castela
3,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,3,3,9,Guilherme & Benuto
4,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,4,5,3,Luan Santana
5,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,4,11,L7NNON
6,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,6,7,4,DJ AK BR
7,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,5,8,6,Marília Mendonça
8,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,7,13,8,Gusttavo Lima
9,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,2,12,33,Hugo & Guilherme
10,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,5,6,6,Mc Jacaré
11,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,7,10,17,Jorge & Mateus
12,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,9,10,MC Tairon
13,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,13,14,24,Matheus & Kauan
14,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,3,11,7,Luísa Sonza
15,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,15,18,7,MC Kevin o Chris
16,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,15,22,Matheus Fernandes
17,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,5,17,22,Gusttavo Lima
18,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,4,16,20,Luan Santana
19,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,19,38,4,Hugo & Guilherme
20,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,13,23,22,Harry Styles
21,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,19,11,Zé Felipe
22,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,3,21,15,Mc Don Juan
23,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,19,26,14,Mari Fernandez
24,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,22,24,Davi Kneip
25,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,24,24,14,Israel & Rodolffo
26,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,2,20,22,Matuê
27,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,27,45,4,Murilo Huff
