rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,1,7,MC MENOR HR
2,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,2,12,Gustavo Mioto
3,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,3,4,6,Israel & Rodolffo
4,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,1,3,23,Mc Paiva ZS
5,spotify:track:2orGm2E68ODFYOURjaES62,Felina,3,5,12,WIU
6,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,2,6,24,Guilherme & Benuto
7,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,7,7,7,Orochi
8,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,8,10,10,Dj LK da Escócia
9,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,7,8,9,Matheus & Kauan
10,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,4,9,16,Guilherme & Benuto
11,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,11,11,4,Zé Felipe
12,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,12,16,4,DJ Dozabri
13,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,6,12,15,Diego & Victor Hugo
14,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,6,13,20,Jorge & Mateus
15,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,2,14,48,Hugo & Guilherme
16,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,16,26,5,Felipe e Rodrigo
17,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,13,20,37,Harry Styles
18,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,8,15,10,Gusttavo Lima
19,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),19,23,5,Kadu Martins
20,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,17,26,L7NNON
21,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,21,98,2,Israel & Rodolffo
22,spotify:track:2XaEn8iznBz9ZE9YJqJdQ6,Revoada do Tubarão 3,16,19,4,MC Ryan SP
23,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,18,26,Ana Castela
24,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,15,22,29,Mari Fernandez
25,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),6,24,12,Sam Smith
26,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,7,21,32,Jorge & Mateus
27,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,18,27,19,Matheus & Kauan
28,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,24,35,19,Murilo Huff
29,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,22,28,29,Israel & Rodolffo
30,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,30,33,4,Guilherme & Benuto
31,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,6,36,19,DJ AK BR
32,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,25,25,MC Tairon
33,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,15,30,29,Mc Paiva ZS
34,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,5,34,21,Marília Mendonça
35,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,29,37,Matheus Fernandes
36,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,5,32,13,Pineapple StormTv
37,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,13,31,39,Matheus & Kauan
38,spotify:track:5mJFh4iRzgmWuEVPG8257V,Quem Não Conhece Tá Sem Internet,26,40,13,MC Marks
39,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,5,37,21,Mc Jacaré
40,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,41,61,Henrique & Juliano
41,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,41,—,1,WIU
42,spotify:track:0oZrvoCYEbKGCsU7cQqNnw,Imprevisto,42,48,4,Yago Oproprio
43,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,33,44,18,Felipe Amorim
44,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,33,38,23,MC Cabelinho
45,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,45,—,1,MC Ryan SP
46,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,2,46,59,George Henrique & Rodrigo
47,spotify:track:5t7E1z1kVtHyPxWNmUtXN4,Te Love - Ao Vivo,36,45,10,Kevi Jonny
48,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,5,42,37,Felipe Amorim
49,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,5,47,31,João Gomes
50,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,51,61,Marília Mendonça
51,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,20,55,60,Henrique & Juliano
52,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,7,53,23,Gusttavo Lima
53,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,24,52,30,Henrique & Juliano
54,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,44,50,10,MC Cabelinho
55,spotify:track:3gx9a8ea1nI0Wym9hJpdbJ,Hino dos Mlks,39,39,8,BIN
56,spotify:track:4aoZBldNDVYmTwmeoI49ud,O Poder Dessa Garota,55,59,24,Mc Gabzin
57,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,54,39,Davi Kneip
58,spotify:track:4QQTPEwqE4Aq7LXSyIgSci,Primeiro Beck Ela Me Mamou,28,70,14,Mc Kitinho
59,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,13,43,19,Hugo & Guilherme
60,spotify:track:7woVi4HBuv0rsO98Ox2Fcq,Doce Veneno,40,60,9,Mc Paiva ZS
61,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,2,49,37,Matuê
62,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,15,63,22,MC Kevin o Chris
63,spotify:track:6kNZdlmjH4BQnSUfHeJIuc,"Let's Go 3 (feat. MC Marks, Mc Don Juan, MC PH, Mc Luki, Mc Paiva ZS, MC GP & Makalo)",50,67,6,Dj GBR
