rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,1,8,Xamã
2,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,2,4,4,Hugo & Guilherme
3,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,2,2,15,George Henrique & Rodrigo
4,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,3,3,4,Chefin
5,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,3,5,10,DJ Matt D
6,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,6,17,Marília Mendonça
7,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,5,7,11,Gusttavo Lima
8,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,8,11,9,Jorge & Mateus
9,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,9,38,2,Zé Felipe
10,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,4,10,13,Zé Felipe
11,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,5,8,17,PEDRO SAMPAIO
12,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,9,14,Marília Mendonça
13,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,12,17,Henrique & Juliano
14,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,10,13,12,Mari Fernandez
15,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,8,15,17,Henrique & Juliano
16,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,14,14,9,Anitta
17,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,15,16,17,Mc Davi
18,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,8,17,15,Paulo Pires
19,spotify:track:35COLcFjvONwVv6jkG23gI,Boys Don't Cry,19,19,2,Anitta
20,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,2,18,17,Marília Mendonça
21,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,20,20,6,Matheus & Kauan
22,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,22,28,4,Jão
23,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,23,25,9,Wesley Safadão
24,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,16,21,17,Tayrone
25,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,5,26,17,Zé Neto & Cristiano
26,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,23,17,Zé Felipe
27,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,27,53,2,Dj Guuga
28,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,28,34,3,Mc Don Juan
29,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),29,56,2,MC Teteu
30,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,25,27,16,Henrique & Juliano
31,spotify:track:2342lPAZ9zddhgAQEiLx4V,ANACONDA *o* ~~~,24,24,6,Luísa Sonza
32,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,15,30,16,Marina Sena
33,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,7,22,15,MC Levin
34,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,2,29,17,Avine Vinny
35,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,31,31,6,Matuê
36,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,20,36,14,Marília Mendonça
37,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,4,35,17,Mc Anjim
38,spotify:track:49GdoM9fiTXVOx1a6JTokJ,Assalto Perigoso,36,37,6,Melody
39,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,12,33,17,Matheus Fernandes
40,spotify:track:2SDGleyRLDrYZeMsZEK3Vb,Dar uma Namorada - Ao Vivo,34,41,12,Israel & Rodolffo
41,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,6,42,17,Gusttavo Lima
42,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,42,44,9,Mc Poze do Rodo
43,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,13,40,17,Matheus & Kauan
44,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,44,57,3,Simone & Simaria
45,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,15,32,17,Felipe Amorim
46,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,10,45,17,Zé Neto & Cristiano
47,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),14,43,17,Lil Nas X
48,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,9,39,17,João Gomes
49,spotify:track:2s9BO8c0co0PmgBiUoTT17,A QUEDA,11,46,17,Gloria Groove
50,spotify:track:7KPhwNko8V9vYBIN653hSO,A Cara do Crime 2 (Cansou de Playboy),50,50,3,Mc Poze do Rodo
51,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,51,—,1,Luan Santana
52,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,8,47,17,Matuê
53,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,Enemy (with JID) - from the series Arcane League of Legends,47,52,12,Imagine Dragons
54,spotify:track:5rz7ZQkMpQHGDXC62P2Axw,ESSE É LADRÃO,54,78,2,DJ BRUNIN DA NT
55,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,37,49,12,Max e Luan
56,spotify:track:7rglLriMNBPAyuJOMGwi39,Cold Heart - PNAU Remix,54,54,13,Elton John
57,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,15,48,17,Tarcísio do Acordeon
58,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,58,89,2,Zé Neto & Cristiano
59,spotify:track:2eFsVynOiCxtI4kvX0XClm,LEILÃO,59,60,11,Gloria Groove
60,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,17,61,17,Luan Santana
61,spotify:track:4fouWK6XVHhzl78KzQ1UjL,abcdefu,57,62,11,GAYLE
62,spotify:track:5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),40,63,17,The Kid LAROI
63,spotify:track:77rIMl1WIrLf4ZDKFYZ4ji,Água Nos Zói - Ao Vivo,38,58,12,Clayton & Romário
64,spotify:track:452LVnTBjXYW3guqe3xiqI,Vamo Tomar Uma,37,51,17,Zé Neto & Cristiano
65,spotify:track:0VF2XFdgeID7448iU2Vyg9,Novinha Malada do Insta,65,72,3,MC Josh
66,spotify:track:0w4eRv2fCerS49SgrStS1V,BAGUNÇA,66,—,1,PEDRO SAMPAIO
67,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,26,67,17,Vitor e Luan
68,spotify:track:3LwdDMldO8zXz5jgVTQbvR,Quebradas,58,66,7,MC Paulin da Capital
69,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,11,65,14,Marília Mendonça
70,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,28,74,17,Gusttavo Lima
71,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,28,59,17,Zé Felipe
72,spotify:track:5jYEiTNR3FQXFouTX7Ju0N,Socadona,72,—,1,LUDMILLA
