rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,1,6,Marília Mendonça
2,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,2,2,12,Israel & Rodolffo
3,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,3,6,4,DJ Jeeh FDC
4,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,4,18,Gustavo Mioto
5,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,3,13,MC MENOR HR
6,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,5,5,6,MC K.K
7,spotify:track:0yLdNVWF3Srea0uzk55zFn,Flowers,7,17,2,Miley Cyrus
8,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,8,12,7,WIU
9,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,2,7,30,Guilherme & Benuto
10,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,9,9,3,Mc Tato
11,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,7,8,10,Zé Felipe
12,spotify:track:2orGm2E68ODFYOURjaES62,Felina,3,11,18,WIU
13,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,7,13,15,Matheus & Kauan
14,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,14,27,5,Anitta
15,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,14,14,7,MC Ryan SP
16,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,6,10,13,Orochi
17,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,1,15,29,Mc Paiva ZS
18,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,4,18,22,Guilherme & Benuto
19,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,19,19,10,Guilherme & Benuto
20,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),14,16,5,Luísa Sonza
21,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,17,21,8,Israel & Rodolffo
22,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,6,23,26,Jorge & Mateus
23,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,12,20,11,Felipe e Rodrigo
24,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,22,22,6,Maiara & Maraisa
25,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,25,26,4,Ana Castela
26,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),15,25,11,Kadu Martins
27,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,2,28,54,Hugo & Guilherme
28,spotify:track:4kAMyuJBbmJrbr6TLOWbEk,Beijo de Glicose - Ao Vivo,6,24,21,Diego & Victor Hugo
29,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,27,31,5,Mc Jacaré
30,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",30,44,2,Bizarrap
31,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,8,29,16,Dj LK da Escócia
32,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,7,33,38,Jorge & Mateus
33,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,24,34,25,Murilo Huff
34,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,11,32,10,DJ Dozabri
35,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,18,30,25,Matheus & Kauan
36,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,5,35,27,Marília Mendonça
37,spotify:track:52kcarcX0FQ6wPulXm2bMJ,Meca Cereja,37,49,10,Vulgo FK
38,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,37,32,L7NNON
39,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,8,36,16,Gusttavo Lima
40,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,13,40,43,Harry Styles
41,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),6,39,18,Sam Smith
42,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,38,32,Ana Castela
43,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,43,46,3,MC Cabelinho
44,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,15,41,35,Mari Fernandez
45,spotify:track:5gitknsNQkrsCwfIbWK8Kd,PLAYGROUND,45,48,2,Vivi
46,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,22,43,35,Israel & Rodolffo
47,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,47,—,1,Naiara Azevedo
48,spotify:track:2bWVxK5GlPtS4D3FcLjGgQ,Cara da Derrota - Ao Vivo,47,47,6,Gusttavo Lima
49,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,5,42,19,Pineapple StormTv
50,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,45,43,Matheus Fernandes
51,spotify:track:5mJFh4iRzgmWuEVPG8257V,Quem Não Conhece Tá Sem Internet,26,70,19,MC Marks
52,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,33,53,24,Felipe Amorim
53,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,7,50,29,Gusttavo Lima
54,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,2,59,65,George Henrique & Rodrigo
55,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,55,62,3,Veigh
56,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),43,55,19,David Guetta
57,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,57,58,5,Bruno & Denner
58,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,5,56,37,João Gomes
59,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,60,67,Marília Mendonça
60,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,60,63,3,SZA
61,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,13,57,45,Matheus & Kauan
62,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,15,69,35,Mc Paiva ZS
63,spotify:track:0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),63,74,4,Rema
64,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,24,61,36,Henrique & Juliano
65,spotify:track:2XaEn8iznBz9ZE9YJqJdQ6,Revoada do Tubarão 3,16,54,10,MC Ryan SP
66,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,33,51,29,MC Cabelinho
67,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,20,66,66,Henrique & Juliano
68,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,71,31,MC Tairon
69,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,6,64,25,DJ AK BR
70,spotify:track:0oZrvoCYEbKGCsU7cQqNnw,Imprevisto,41,93,10,Yago Oproprio
71,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,5,72,27,Mc Jacaré
