rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,1,7,Xamã
2,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,2,2,14,George Henrique & Rodrigo
3,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,3,7,3,Chefin
4,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,4,4,3,Hugo & Guilherme
5,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,3,3,9,DJ Matt D
6,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,5,16,Marília Mendonça
7,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,5,6,10,Gusttavo Lima
8,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,5,10,16,PEDRO SAMPAIO
9,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,8,13,Marília Mendonça
10,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,4,9,12,Zé Felipe
11,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,10,13,8,Jorge & Mateus
12,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,11,16,Henrique & Juliano
13,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,10,12,11,Mari Fernandez
14,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,14,18,8,Anitta
15,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,8,16,16,Henrique & Juliano
16,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,15,15,16,Mc Davi
17,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,8,14,14,Paulo Pires
18,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,2,17,16,Marília Mendonça
19,spotify:track:35COLcFjvONwVv6jkG23gI,Boys Don't Cry,19,—,1,Anitta
20,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,20,24,5,Matheus & Kauan
