rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,4,5,Ana Castela
2,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,1,5,L7NNON
3,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,2,4,MC Tairon
4,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,3,5,Zé Felipe
5,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,3,5,9,Mc Don Juan
6,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,6,16,Matheus Fernandes
7,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,8,18,Davi Kneip
8,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,4,7,14,Luan Santana
9,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,9,13,11,Jorge & Mateus
10,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,5,10,10,João Gomes
11,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,2,9,27,Hugo & Guilherme
12,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,5,11,16,Felipe Amorim
13,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,5,12,16,Gusttavo Lima
14,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,14,44,2,Gusttavo Lima
15,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,9,14,12,MC Rogerinho
16,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,15,15,14,MC Braz
17,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,2,16,16,Matuê
18,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,17,23,PEDRO SAMPAIO
19,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,19,25,18,Matheus & Kauan
20,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,6,20,24,Luan Santana
21,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,1,18,10,Jovem Dionisio
22,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,22,22,14,Hugo & Guilherme
23,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,13,23,16,Harry Styles
24,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,12,24,6,Baco Exu do Blues
25,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),19,19,8,Kate Bush
26,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,8,26,40,Henrique & Juliano
27,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,2,28,38,George Henrique & Rodrigo
28,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,28,34,3,Guilherme & Benuto
29,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,8,21,32,Jorge & Mateus
30,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,30,30,8,Mari Fernandez
31,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,31,31,Xamã
32,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,6,32,16,Teto
33,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,33,40,8,Israel & Rodolffo
34,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,21,35,22,Guilherme & Benuto
35,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,36,40,Marília Mendonça
36,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,23,39,32,Wesley Safadão
37,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,23,37,17,Mc Gabzin
38,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,29,29,11,Leo Santana
39,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,39,66,3,Wesley Safadão
40,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),24,27,7,Gusttavo Lima
41,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,25,38,12,Mc Pepeu
42,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,42,25,Zé Felipe
43,spotify:track:1RgJ4lexKGNBlKnyxB5SRt,Balazul,34,41,6,Teto
44,spotify:track:0yDMhYTryvQoR634wDgQ1j,O Fim é Triste (feat. DJ BOY),44,45,3,MC Hariel
45,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,6,47,23,Gloria Groove
46,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,5,49,34,Gusttavo Lima
47,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,48,40,Henrique & Juliano
48,spotify:track:48LEhRW4gLMCVSYFEZvt8b,Assume a Gente - Ao Vivo,41,43,16,João Bosco e Gabriel
49,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,24,33,9,Henrique & Juliano
50,spotify:track:4IX43MpJlpxzRMLb9QayrJ,PERIGO NOTURNO - Ao Vivo,50,52,3,Luan Santana
51,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,43,51,10,O Tubarão
52,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,20,53,39,Henrique & Juliano
53,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,10,54,35,Mari Fernandez
54,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,54,61,7,Murilo Huff
55,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),22,50,12,Anitta
56,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,15,57,25,Zé Neto & Cristiano
57,spotify:track:5DhiTYpD599fu3q7fCepgL,Dior,56,58,5,BIN
58,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,3,55,33,DJ Matt D
59,spotify:track:2s8kT1fuBVjxept8bH68Sw,SET MK 2,56,59,7,MC Hariel
60,spotify:track:3JFB72hbbt3zy30puJTc3q,Medley Lud Session - Tudo porque você mentiu / penhasco / De rolê / CAFÉ DA MANHÃ ;P / Doutora 3,50,56,3,LUDMILLA
61,spotify:track:4m1mqQuy34Nzh0480VR364,Incendeia,61,—,1,MC Kevin o Chris
62,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,8,62,23,MC Rogerinho
63,spotify:track:347KmRWwYXcZSUgelz7Cit,Konteiner,47,60,5,Filipe Ret
64,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,64,—,1,Luísa Sonza
65,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,64,37,Marília Mendonça
66,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,15,63,40,Mc Davi
67,spotify:track:4aoZBldNDVYmTwmeoI49ud,O Poder Dessa Garota,67,75,3,Mc Gabzin
68,spotify:track:7fzgTaVhUxmEzjtcd9NdWo,Cê Tá Preparada - Ao Vivo,16,65,40,Tayrone
69,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,69,97,2,Mc Paiva ZS
70,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,20,71,37,Marília Mendonça
71,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,61,70,9,Paulo e Nathan
72,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,16,72,23,Luísa Sonza
73,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,68,28,Anitta
74,spotify:track:3qHN7TSBfVQPF9ojUVT9ZT,Pras Novinha (feat. DJ Pedrin),74,84,2,Mc Livinho
75,spotify:track:1rJFFWDXrlMS0C5JlbqFbI,Tem Cabaré Essa Noite,75,—,1,Nivaldo Marques
76,spotify:track:6pojmlhRI1fBUNg0pZSA9M,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,15,46,13,Mc Delux
77,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,47,74,36,Elton John
78,spotify:track:2VbKpQWIMRelKmEy8rSCAf,Set Tatuapé Conceito 2,78,86,2,Mc Kako
79,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,75,83,8,Mc Paiva ZS
80,spotify:track:7qq40cRIYNKZCDt1STfBqt,"Bruna, Tu Já Parou Pra Pensar",80,93,2,Niack
81,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",8,69,22,Vulgo FK
82,spotify:track:14uWxelOuAUajP8fDvc0Ct,Falta Você,77,77,4,Thiaguinho
83,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),6,67,15,L7NNON
84,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,2,79,40,Marília Mendonça
85,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,2,73,27,Chefin
86,spotify:track:5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,63,80,22,Grupo Menos É Mais
87,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,34,78,32,Mc Poze do Rodo
88,spotify:track:3Ci8V9ys9v7TPYyNt5WWqg,"Let's Go 2 (feat. MC Hariel, Mc Kadu, MC Marks, Mc Don Juan, Mc Luki & MC PH)",66,81,7,Dj GBR
89,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,22,82,27,Jão
90,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,31,85,29,Matuê
91,spotify:track:30rrBGpna63eIJ2BrXlWDC,Minha Cópia Atual - Ao Vivo,63,91,16,Henrique & Juliano
92,spotify:track:0LGGo9eY1aJX6tqgxa87kd,Freestyle,92,98,2,KayBlack
93,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,30,90,21,Pineapple StormTv
94,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,20,87,29,Matheus & Kauan
95,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,9,89,40,João Gomes
