rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,22,2,DENNIS
2,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,2,3,Veigh
3,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,1,1,4,MC Caverinha
4,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,3,13,AgroPlay
5,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,3,4,13,Israel & Rodolffo
6,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,5,5,13,Simone Mendes
7,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,4,7,13,Zé Neto & Cristiano
8,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,2,6,10,KayBlack
9,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,9,10,3,Veigh
10,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,8,13,Marília Mendonça
11,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,5,13,13,Henrique & Juliano
12,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,7,14,13,Matheus & Kauan
13,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,10,11,13,Guilherme & Benuto
14,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),2,9,6,Matuê
15,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,7,12,10,KayBlack
16,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,3,15,13,Israel & Rodolffo
17,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,17,20,12,Grupo Menos É Mais
18,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,18,25,6,MC Kevin o Chris
19,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,13,18,10,KayBlack
20,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,18,21,12,Clayton & Romário
21,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,8,19,13,Gustavo Mioto
22,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,16,23,10,Hugo & Guilherme
23,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,7,17,13,WIU
24,spotify:track:745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,24,37,3,MC Guh SR
25,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,20,26,11,Luan Pereira
26,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,18,27,13,Gustavo Mioto
