rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,1,6,DENNIS
2,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,2,7,Veigh
3,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,3,16,AgroPlay
4,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,3,4,16,Israel & Rodolffo
5,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,5,5,16,Simone Mendes
6,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",6,16,2,Mc Pedrinho
7,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,7,56,2,Mc Livinho
8,spotify:track:7KWgILiigX4Qr2WFeeerkc,Oi Balde - Ao Vivo,4,7,16,Zé Neto & Cristiano
9,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,1,6,8,MC Caverinha
10,spotify:track:3Nvzs0cJbLwhXPPlI8xzpC,Vai Novinha Ah Ah Ah,10,39,2,Dyamante DJ
11,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,6,9,16,Henrique & Juliano
12,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,11,11,16,Grupo Menos É Mais
13,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,8,8,16,Guilherme & Benuto
14,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,7,13,16,Matheus & Kauan
15,spotify:track:2d2K6DhHPBsi78K9E0cWrD,Leão,1,10,16,Marília Mendonça
16,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,16,17,4,Luan Santana
17,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,2,12,14,KayBlack
18,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,3,14,16,Israel & Rodolffo
19,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,8,15,7,Veigh
