rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,1,12,Marília Mendonça
2,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,2,5,4,AgroPlay
3,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,2,5,Leo Santana
4,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,2,3,13,Israel & Rodolffo
5,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,5,10,4,MC Xenon
7,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,4,6,13,WIU
8,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,2,7,13,Gustavo Mioto
9,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,8,8,5,Henrique & Juliano
10,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,7,9,9,Mc Tato
11,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,3,12,10,DJ Jeeh FDC
12,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,12,19,4,Guilherme & Benuto
13,spotify:track:2tFmuYL5D8zqBHvs0nG5Tn,Bonjour,13,18,4,KayBlack
14,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,14,48,3,Zé Neto & Cristiano
15,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,12,14,12,Maiara & Maraisa
16,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,16,21,6,Gusttavo Lima
17,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,13,13,5,Matheus & Kauan
18,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,17,20,7,Gustavo Mioto
19,spotify:track:0bBwi6ddYeTv5fXgHAdfiH,Evoque Prata,1,15,13,MC MENOR HR
20,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,13,17,13,MC Ryan SP
21,spotify:track:2orGm2E68ODFYOURjaES62,Felina,5,22,13,WIU
22,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,10,16,11,Anitta
23,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,4,24,13,Guilherme & Benuto
24,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,7,28,13,Matheus & Kauan
25,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,4,11,5,Zé Felipe
26,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,26,29,5,NATTAN
27,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,27,34,4,Simone Mendes
28,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,25,32,7,Naiara Azevedo
29,spotify:track:5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,27,33,7,Mc Paiva ZS
30,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,6,27,13,Orochi
31,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,7,30,13,Zé Felipe
32,spotify:track:0yLdNVWF3Srea0uzk55zFn,Flowers,5,26,8,Miley Cyrus
33,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,21,36,10,Ana Castela
34,spotify:track:4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,11,25,6,Teto
35,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,17,35,13,Israel & Rodolffo
36,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),15,31,13,Kadu Martins
37,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,23,38,11,Mc Jacaré
38,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,14,37,13,Jorge & Mateus
39,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,9,39,13,Guilherme & Benuto
40,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,12,42,13,Felipe e Rodrigo
41,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,5,23,12,MC K.K
42,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,19,43,13,Guilherme & Benuto
43,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,4,41,13,Mc Paiva ZS
44,spotify:track:7oDd86yk8itslrA9HRP2ki,Die For You - Remix,44,51,2,The Weeknd
45,spotify:track:5Yt3AV2nXQdPqdknyLtJk0,Bota na Pipokinha (feat. DJ FELYPINHO 013),45,50,5,MC Pipokinha
46,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,39,44,4,Matheus Fernandes
47,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,42,46,9,Veigh
48,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,30,45,7,Luan Santana
49,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),14,40,11,Luísa Sonza
50,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,43,49,9,MC Cabelinho
51,spotify:track:4kAMyuJBbmJrbr6TLOWbEk,Beijo de Glicose - Ao Vivo,13,47,13,Diego & Victor Hugo
52,spotify:track:3BmGfswCrv2p1It4oCdtU6,Controllah (feat. MC Bin Laden),52,—,1,Gorillaz
53,spotify:track:3lT2haeJ7ype7nCJrV96nI,Noite Fria,53,—,1,Mc IG
54,spotify:track:52kcarcX0FQ6wPulXm2bMJ,Meca Cereja,37,53,13,Vulgo FK
55,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,17,52,13,Harry Styles
56,spotify:track:7aZnuwpivaj4N7XFhhqBiO,Love Absurdo,52,56,3,Mari Fernandez
57,spotify:track:7zKqmAHGY8zm2UA4wT5ant,Perdoa Por Tudo Vida,56,58,7,Veigh
58,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,15,59,13,Hugo & Guilherme
59,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),25,55,13,Sam Smith
60,spotify:track:1JQ1ylL2JEjC6Ib7IJgOvS,Coração Amoleceu,60,75,4,Mc Don Juan
61,spotify:track:29adI8c6c75mnnaJ3BFLID,Parecia Tempestade,44,54,6,Sony no Beat
62,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,33,71,13,Mc Paiva ZS
63,spotify:track:2X5o4nRiocnoaaQ2wMwaeC,Sorrisin De Puto,45,69,8,DJ Cayoo
64,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,44,62,13,MC Cabelinho
65,spotify:track:3l5VjEAeUTqrlD50iEo8Yn,Licor 43,63,67,13,KayBlack
66,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,24,61,13,Mari Fernandez
67,spotify:track:2zDwJnP9n9yCUyfiLIwkDM,Se Ele Soubesse - Ao Vivo,60,60,4,Guilherme & Santiago
68,spotify:track:4ChIBnH5lO5thSaNeMV0oE,BEBÊ TÁ SOLTA,68,—,1,Yuri Redicopa
69,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,24,68,13,Jorge & Mateus
