rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,1,13,AgroPlay
2,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),2,18,2,Matuê
3,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,2,13,Marília Mendonça
4,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,2,3,6,KayBlack
5,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,5,5,13,Simone Mendes
6,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,4,4,10,Israel & Rodolffo
7,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,4,6,12,Zé Neto & Cristiano
8,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,7,11,6,KayBlack
9,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,7,10,13,Matheus & Kauan
10,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,3,9,13,Israel & Rodolffo
11,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,5,7,13,Henrique & Juliano
12,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),4,8,5,MC PH
13,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,12,12,13,Guilherme & Benuto
14,spotify:track:5qOZbLAjBqInXwAECb9NRS,Clickbait,14,28,2,Veigh
15,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,13,15,6,KayBlack
16,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,4,14,13,WIU
17,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,5,13,13,Gustavo Mioto
18,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,3,17,13,MC Xenon
19,spotify:track:5v8EhStRWlvoY2qbcZR5R2,Mágica - Ao Vivo,16,16,6,Hugo & Guilherme
20,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,18,19,8,Clayton & Romário
21,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,20,20,7,Luan Pereira
22,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,12,25,13,Maiara & Maraisa
23,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,17,23,13,Gustavo Mioto
24,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,9,21,9,MC Kevin o Chris
25,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,25,29,8,Grupo Menos É Mais
26,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,19,24,7,Henrique & Juliano
