rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,1,1,10,Dj GBR
2,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,2,2,6,Tropa do Bruxo
3,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,2,3,12,Gusttavo Lima
4,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,4,12,27,Guilherme & Benuto
5,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,3,4,36,Grupo Menos É Mais
6,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,3,5,13,Zé Neto & Cristiano
7,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,4,6,6,Manu
8,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,3,9,12,Luan Pereira
9,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,5,8,20,Ana Castela
10,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,7,7,8,Simone Mendes
11,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,8,11,10,MC Maneirinho
12,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,10,18,MC Kevin o Chris
13,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,14,49,Marília Mendonça
14,spotify:track:7GjAXYuxjuXPbQJzRnNdob,Pane no Sistema,14,26,4,GREGO
15,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,13,27,Veigh
16,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,16,41,AgroPlay
17,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,13,20,19,Gusttavo Lima
18,spotify:track:62W2f0QOg20ufNjJQHqnkq,Fernando de Noronha,13,15,12,Mc IG
19,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,14,31,24,Luan Santana
20,spotify:track:4ldcxPVAtih8alepJTu8Hx,"Faz Completo, Chefe",8,27,15,Mc IG
21,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,2,18,19,Vulgo FK
22,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,19,26,DENNIS
