rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,1,5,MC MENOR HR
2,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,2,10,Gustavo Mioto
3,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,1,3,21,Mc Paiva ZS
4,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,4,4,4,Israel & Rodolffo
5,spotify:track:2orGm2E68ODFYOURjaES62,Felina,3,6,10,WIU
6,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,2,5,22,Guilherme & Benuto
7,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,7,9,5,Orochi
8,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,7,7,7,Matheus & Kauan
9,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,4,8,14,Guilherme & Benuto
10,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,6,10,13,Diego & Victor Hugo
11,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,10,11,8,Dj LK da Escócia
12,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,6,12,18,Jorge & Mateus
13,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,8,13,8,Gusttavo Lima
14,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,2,15,46,Hugo & Guilherme
15,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,14,24,L7NNON
16,spotify:track:2XaEn8iznBz9ZE9YJqJdQ6,Revoada do Tubarão 3,16,46,2,MC Ryan SP
17,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,16,24,Ana Castela
18,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),6,17,10,Sam Smith
19,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,19,80,2,Zé Felipe
20,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,20,51,2,DJ Dozabri
21,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,7,19,30,Jorge & Mateus
22,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,15,18,27,Mari Fernandez
23,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,18,24,17,Matheus & Kauan
24,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,15,20,27,Mc Paiva ZS
25,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),25,37,3,Kadu Martins
26,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,22,26,27,Israel & Rodolffo
27,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,21,23,MC Tairon
28,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,13,31,35,Harry Styles
29,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,5,23,11,Pineapple StormTv
30,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,24,28,17,Murilo Huff
31,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,31,49,2,Guilherme & Benuto
32,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,25,35,Matheus Fernandes
33,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,13,32,37,Matheus & Kauan
34,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,5,30,19,Marília Mendonça
35,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,6,22,17,DJ AK BR
36,spotify:track:5mJFh4iRzgmWuEVPG8257V,Quem Não Conhece Tá Sem Internet,26,27,11,MC Marks
37,spotify:track:6TnCI16uLWhyQCrHva9VWj,Te Love - Ao Vivo,36,36,8,Kevi Jonny
38,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,5,29,19,Mc Jacaré
39,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,33,35,21,MC Cabelinho
40,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,40,86,3,Felipe e Rodrigo
41,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,13,34,17,Hugo & Guilherme
42,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,33,33,16,Felipe Amorim
43,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,45,59,Henrique & Juliano
44,spotify:track:3gx9a8ea1nI0Wym9hJpdbJ,Hino dos Mlks,44,59,6,BIN
45,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,2,48,35,Matuê
