rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,1,1,5,Dj GBR
2,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,2,2,7,Gusttavo Lima
3,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,3,6,31,Grupo Menos É Mais
4,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,3,3,7,Luan Pereira
5,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,4,13,MC Kevin o Chris
6,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,5,5,15,Ana Castela
7,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,7,7,8,Zé Neto & Cristiano
8,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,8,22,Veigh
9,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,2,9,14,Vulgo FK
10,spotify:track:07DskqQ1NbTiotX1WIV7ob,Piloto,10,29,3,Flora Matos
11,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,10,10,5,MC Maneirinho
12,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,12,36,AgroPlay
13,spotify:track:62W2f0QOg20ufNjJQHqnkq,Fernando de Noronha,13,16,7,Mc IG
14,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,7,11,11,Felipe Amorim
15,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,13,21,DENNIS
16,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,13,15,14,Gusttavo Lima
17,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,30,44,Marília Mendonça
18,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,2,14,17,Mc Livinho
19,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,5,17,36,Simone Mendes
20,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,18,18,16,Zé Neto & Cristiano
21,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,8,20,36,Guilherme & Benuto
22,spotify:track:4ldcxPVAtih8alepJTu8Hx,"Faz Completo, Chefe",8,19,10,Mc IG
