rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,1,1,7,Dj GBR
2,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,2,8,3,Tropa do Bruxo
3,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,2,2,9,Gusttavo Lima
4,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,3,3,10,Zé Neto & Cristiano
5,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,3,4,33,Grupo Menos É Mais
6,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,5,15,MC Kevin o Chris
7,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,5,7,17,Ana Castela
8,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,8,9,7,MC Maneirinho
9,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,3,6,9,Luan Pereira
10,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,10,24,Veigh
11,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,2,11,16,Vulgo FK
12,spotify:track:07DskqQ1NbTiotX1WIV7ob,Piloto,10,12,5,Flora Matos
13,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,13,28,3,Manu
14,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,15,38,AgroPlay
15,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,7,14,13,Felipe Amorim
16,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,16,23,DENNIS
17,spotify:track:62W2f0QOg20ufNjJQHqnkq,Fernando de Noronha,13,13,9,Mc IG
18,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,18,26,5,Simone Mendes
19,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,2,20,19,Mc Livinho
20,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,8,24,38,Guilherme & Benuto
21,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,3,21,35,Israel & Rodolffo
22,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,22,23,9,MC Rogerinho
23,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,18,46,Marília Mendonça
24,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,18,19,18,Zé Neto & Cristiano
25,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,22,29,24,Guilherme & Benuto
26,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,13,17,16,Gusttavo Lima
27,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),27,31,10,Ana Castela
28,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,5,22,38,Simone Mendes
29,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,14,25,21,Luan Santana
30,spotify:track:4zW6JV4aqhXpbfZLZyEFvP,Quase Algo - Ao Vivo Em Nova Iorque / 2022,30,33,5,Henrique & Juliano
31,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,13,30,13,Felipe Amorim
32,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,32,44,11,Henrique & Juliano
33,spotify:track:4wjDiZGsZYQqKkXyPcQGF6,Agudo Mágico 4,33,49,3,MC K.K
34,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,5,32,39,Henrique & Juliano
35,spotify:track:4ldcxPVAtih8alepJTu8Hx,"Faz Completo, Chefe",8,27,12,Mc IG
36,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,26,34,14,Gusttavo Lima
37,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",20,37,19,Melody
38,spotify:track:7Iq55toOSSBCEoGuXxQSa1,Vem Quebrando,38,61,2,Mc Danone
39,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,7,41,39,Matheus & Kauan
40,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,12,40,19,Kadu Martins
41,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,29,35,16,Diego & Victor Hugo
42,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,21,38,39,NATTAN
43,spotify:track:0KhLYwYVhi13hMhxX73m55,MULHER SEGURA - Ao Vivo,23,36,7,Luan Santana
44,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,13,46,31,KayBlack
45,spotify:track:4dHMuSjpkUcWW3zZehOFj7,Narcisista - Ao Vivo,32,47,14,Maiara & Maraisa
46,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),4,50,30,MC PH
47,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,8,45,24,Veigh
48,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,40,56,20,Hugo & Guilherme
49,spotify:track:6e5byyKtx6R0h66gagelPe,Quando Apaga A Luz - Ao Vivo,17,55,41,Gustavo Mioto
50,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,4,48,37,Zé Neto & Cristiano
51,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,14,42,18,Luan Pereira
52,spotify:track:3rUGC1vUpkDG9CZFHMur1t,greedy,52,54,4,Tate McRae
53,spotify:track:3l5VjEAeUTqrlD50iEo8Yn,Licor 43,48,57,65,KayBlack
54,spotify:track:6rpUGV7bcWW9ro65Bf8uYY,Eu Não Dou Conta - Ao Vivo,54,63,3,Israel & Rodolffo
55,spotify:track:4AKsSRxe6z6woOAsXr5gVA,Coração na Geladeira 2,55,62,14,Mc Kevin
56,spotify:track:2uGk60j3LR5bp6tGq9vtII,Halls na Língua - Remix,35,51,15,GORDÃO DO PC
57,spotify:track:181TYnNi3wNGrdsCykmI4A,A Dona Aranha,24,43,9,Luísa Sonza
58,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,66,58,Gustavo Mioto
59,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,44,70,16,Israel & Rodolffo
