rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,1,7,MC Kevin o Chris
2,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,2,2,8,Vulgo FK
3,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,4,15,DENNIS
4,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,4,7,25,Grupo Menos É Mais
5,spotify:track:0t5cfOZxePTvuYXTywHzjH,Penhasco2,5,52,2,Luísa Sonza
6,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,3,16,Veigh
7,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,6,6,9,Ana Castela
8,spotify:track:4ldcxPVAtih8alepJTu8Hx,"Faz Completo, Chefe",8,9,4,Mc IG
9,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,2,5,11,Mc Livinho
10,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,7,8,5,Felipe Amorim
11,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,10,30,AgroPlay
12,spotify:track:43eRVwfXFkY3kXN4K47gNT,Chico,12,—,1,Luísa Sonza
13,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,13,15,8,Gusttavo Lima
14,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,13,13,5,Felipe Amorim
15,spotify:track:2exu569k07hUulN9CoPnMH,Campo De Morango,15,20,3,Luísa Sonza
16,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,5,11,30,Simone Mendes
17,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,3,12,27,Israel & Rodolffo
18,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,14,17,13,Luan Santana
19,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",5,16,11,Mc Pedrinho
20,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,14,14,10,Luan Pereira
21,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,21,22,10,Zé Neto & Cristiano
22,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,8,21,30,Guilherme & Benuto
23,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,4,18,29,Zé Neto & Cristiano
24,spotify:track:181TYnNi3wNGrdsCykmI4A,A Dona Aranha,24,—,1,Luísa Sonza
25,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,12,19,11,Kadu Martins
26,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,24,27,16,Guilherme & Benuto
