rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,2,4,Gusttavo Lima
2,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,1,15,Hugo & Guilherme
3,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,3,12,2,Luan Santana
4,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,3,5,6,Davi Kneip
5,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,3,3,20,Jorge & Mateus
6,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,6,9,4,Felipe Amorim
7,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,3,4,12,Luan Santana
8,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,8,13,2,Hugo & Guilherme
9,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,6,6,13,Zé Neto & Cristiano
10,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,10,15,5,Matheus Fernandes
11,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,8,11,PEDRO SAMPAIO
12,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,10,13,Zé Felipe
13,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,7,22,Gusttavo Lima
14,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),14,16,3,L7NNON
15,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,11,27,George Henrique & Rodrigo
16,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,5,18,28,Henrique & Juliano
17,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,14,28,Henrique & Juliano
18,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,16,23,4,Matuê
19,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,8,27,11,MC Rogerinho
20,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,20,20,5,Hugo & Guilherme
21,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,17,17,6,Matheus & Kauan
22,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,12,21,27,Henrique & Juliano
23,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,2,22,19,Xamã
24,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,19,28,Marília Mendonça
25,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,24,7,Anitta
26,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,26,26,11,Guilherme & Benuto
27,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,25,25,11,George Henrique & Rodrigo
28,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,23,30,4,Teto
29,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,19,28,21,Wesley Safadão
30,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,30,37,4,Harry Styles
31,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,12,29,20,Matheus & Kauan
32,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,31,25,Marília Mendonça
33,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,33,44,5,Mc Gabzin
34,spotify:track:2IJPcsIjReWb0v4EdNuwLu,Assume a Gente - Ao Vivo,34,34,5,João Bosco e Gabriel
35,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,7,36,15,Chefin
36,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,11,32,28,Tayrone
37,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,9,33,14,Dj Guuga
38,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,22,38,28,Marília Mendonça
39,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,17,41,11,Gloria Groove
40,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,12,40,23,Mari Fernandez
41,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,7,39,24,Zé Felipe
42,spotify:track:4HpRywZJgzkXXYLKJ0mLiY,Minha Cópia Atual - Ao Vivo,42,42,4,Henrique & Juliano
43,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",24,46,9,Vulgo FK
44,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,21,52,11,Luísa Sonza
45,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,6,49,26,Paulo Pires
46,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,2,45,28,Gusttavo Lima
47,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),17,48,14,MC Teteu
48,spotify:track:2gkKA2pRAsMzbiGPo9gxsc,Água Nos Zói - Ao Vivo,20,43,28,Clayton & Romário
