rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,1,7,Guilherme & Benuto
2,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,1,2,5,Gusttavo Lima
3,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,3,7,4,Mc Jacaré
4,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,3,4,14,Jorge & Mateus
5,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,5,10,Ana Castela
6,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,3,3,3,Marília Mendonça
7,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,6,30,Hugo & Guilherme
8,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,1,10,17,Hugo & Guilherme
9,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,7,9,8,L7NNON
10,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,11,19,Gusttavo Lima
11,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,8,8,Zé Felipe
12,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,2,12,17,Luan Santana
13,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,13,15,21,Matheus & Kauan
14,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,14,18,18,Paulo e Nathan
15,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,7,14,7,MC Tairon
16,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,15,17,11,Israel & Rodolffo
17,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,12,13,4,Luísa Sonza
18,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,17,19,11,Murilo Huff
19,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,6,16,20,Matheus Fernandes
20,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,20,45,3,Mc Paiva ZS
21,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,21,—,1,Hugo & Guilherme
22,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,7,23,12,Henrique & Juliano
23,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,3,21,35,Jorge & Mateus
24,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,24,97,2,DJ AK BR
25,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,20,20,4,Nivaldo Marques
26,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,26,36,2,Jorge & Mateus
27,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,27,28,4,MC Kevin o Chris
28,spotify:track:5A35xC90Nk6tXmcOAOOavi,ABALO EMOCIONAL - Ao Vivo,3,27,27,Luan Santana
29,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,24,25,11,Mari Fernandez
30,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,30,—,1,Murilo Huff
31,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,24,42,George Henrique & Rodrigo
32,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,10,26,15,MC Rogerinho
33,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,11,22,12,Mc Don Juan
34,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,5,30,43,Henrique & Juliano
35,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,5,32,19,Felipe Amorim
36,spotify:track:5TPXcKSOlPaz2pkYbWiWHU,Ai Eu Chorei - Ao Vivo,35,35,5,Clayton & Romário
37,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,19,33,17,MC Braz
38,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,13,34,26,Guilherme & Benuto
39,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,3,29,21,Davi Kneip
40,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,6,37,28,Zé Neto & Cristiano
41,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,12,42,42,Henrique & Juliano
42,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,15,31,13,João Gomes
43,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),8,39,10,Gusttavo Lima
44,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,44,—,1,Matheus & Kauan
45,spotify:track:3kBOuur6erl8hVNXRIxhny,PERIGO NOTURNO - Ao Vivo,28,38,6,Luan Santana
46,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,19,41,36,Wesley Safadão
47,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,46,43,Henrique & Juliano
48,spotify:track:48LEhRW4gLMCVSYFEZvt8b,Assume a Gente - Ao Vivo,18,48,20,João Bosco e Gabriel
49,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,40,43,Marília Mendonça
50,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,43,37,Gusttavo Lima
51,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,44,26,PEDRO SAMPAIO
52,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,52,75,2,Mc Paiva ZS
53,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,33,50,14,Leo Santana
54,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,16,49,19,Matuê
55,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,20,51,20,Hugo & Guilherme
56,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,38,47,10,Wesley Safadão
57,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,30,52,19,Harry Styles
58,spotify:track:1t5dhHyXMwdbAcI3EQRqFV,Meio Fio - Ao Vivo,58,—,1,Diego & Victor Hugo
59,spotify:track:0HIhSuAe5lq7ywxqlAt5Nl,Deixa Ela Em Paz,52,63,7,Bruno & Marrone
60,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,25,53,9,Baco Exu do Blues
61,spotify:track:30rrBGpna63eIJ2BrXlWDC,Minha Cópia Atual - Ao Vivo,41,57,19,Henrique & Juliano
62,spotify:track:6W56j9ijl9n2l76Hs4hgGn,Larga AÍ Pra Ver - Ao Vivo,51,59,18,Léo & Raphael
63,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,24,62,15,Mc Pepeu
64,spotify:track:7fzgTaVhUxmEzjtcd9NdWo,Cê Tá Preparada - Ao Vivo,11,56,43,Tayrone
65,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,55,28,Zé Felipe
66,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,33,58,20,Mc Gabzin
67,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,22,65,43,Marília Mendonça
68,spotify:track:20yfr4F5QmZ5V3Cu1Rx4Kp,Elevador - Ao Vivo,64,64,2,Lauana Prado
69,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,23,68,19,Teto
70,spotify:track:2johnzqTeIdgF1kUV4Yaeo,Me Chama de Amor,40,60,13,O Tubarão
71,spotify:track:2gkKA2pRAsMzbiGPo9gxsc,Água Nos Zói - Ao Vivo,20,66,43,Clayton & Romário
72,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,67,40,Marília Mendonça
73,spotify:track:1TyxXIXVVpHwhKaF73z8nw,Rasteira - Ao Vivo,27,72,43,Henrique & Juliano
74,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,12,70,35,Matheus & Kauan
75,spotify:track:1XcmAgREOuJQb91sr68AAD,Sentadinha Diferente,75,86,3,Dyamante DJ
76,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,24,74,26,George Henrique & Rodrigo
77,spotify:track:130HVxaVe9EYcLJmuOR9Rw,Até A Próxima Vida - Ao Vivo,52,79,8,Henrique & Juliano
78,spotify:track:0PKgrNn3ugcQgtNeJOFy2x,Alguém Me Chama Pra Beber - Ao Vivo,78,94,4,Hugo & Guilherme
79,spotify:track:5mUH00xAH26BsmUvPxW2yk,Chegou um Áudio - Ao Vivo | Faixa Bônus,78,—,1,Israel & Rodolffo
80,spotify:track:3QxKHcpNt6CWNUYCLLBHeZ,Escolhe o Bandido,73,73,3,MC CH da Z.O
81,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,2,54,13,Jovem Dionisio
82,spotify:track:4aoZBldNDVYmTwmeoI49ud,O Poder Dessa Garota,82,93,6,Mc Gabzin
83,spotify:track:2VATVdFqb7QqxfAcQPvNpc,Ex Alcoolizado - Ao Vivo,43,83,19,Israel & Rodolffo
84,spotify:track:3lQnTQFBxk1HMsj8aa4syY,Virando o Olhinho,77,77,4,Kadu Martins
85,spotify:track:7qq40cRIYNKZCDt1STfBqt,"Bruna, Tu Já Parou Pra Pensar",79,81,5,Niack
86,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),44,71,11,Kate Bush
87,spotify:track:5II8BRTRPM8QY5dhS0pM8s,Dói Saber,87,98,2,Yasmin Santos
88,spotify:track:3ZtHHGpAPSWC7Gnios4lmK,Metflix,61,61,2,Mc Poze do Rodo
