rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2sYFUcurlISdHlAsnYCEgD,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo,1,1,4,Lauana Prado
2,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,1,2,26,Zé Neto & Cristiano
3,spotify:track:2IDf0IZ9dfw0uDYV2n1bJc,DEJA VU,3,3,3,Luan Santana
4,spotify:track:7g7I8fjEERZH8DH3e6MUw7,Canudinho - Ao Vivo,1,6,17,Gusttavo Lima
5,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,3,5,33,Guilherme & Benuto
6,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,5,10,15,Simone Mendes
7,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,2,4,15,Dj GBR
8,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,5,7,12,Manu
9,spotify:track:1xjy8WRyYUkayJcyyWQpYe,Fronteira - Ao Vivo,9,9,6,Ana Castela
10,spotify:track:3S8M3mZGIc10IdtmNTsrjQ,Eu Não Previ - Ao Vivo em Goiânia,10,22,19,Traia Véia
11,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,1,8,11,Tropa do Bruxo
12,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,4,16,48,Simone Mendes
13,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,11,11,22,Henrique & Juliano
14,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,3,13,27,Zé Neto & Cristiano
15,spotify:track:7vCtJ5u7dFM4tAWtgFf4l8,Anestesiado - Ao Vivo,15,24,6,Murilo Huff
16,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),12,15,18,Ana Castela
17,spotify:track:3iam4WkRoqMoBBCwDFZNgd,Quase Algo - Ao Vivo Em Nova Iorque / 2022,8,12,15,Henrique & Juliano
18,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,18,47,AgroPlay
19,spotify:track:6Td7nVeAOUz13zhDlUY8jv,CHEIRO NA CAMISETA,16,17,7,Luan Pereira
20,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,1,14,18,Luan Pereira
21,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,20,25,Ana Castela
22,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,9,21,41,Grupo Menos É Mais
23,spotify:track:6C4nUySvjSQWoZamSKJBqH,Mala dos Porta-Mala - Ao Vivo,3,23,24,Gusttavo Lima
24,spotify:track:6rpUGV7bcWW9ro65Bf8uYY,Eu Não Dou Conta - Ao Vivo,17,19,14,Israel & Rodolffo
25,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,25,46,Guilherme & Benuto
26,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,36,55,Marília Mendonça
27,spotify:track:7MLX5VV97CcXIpH2QUIy13,Pane no Sistema,12,27,10,GREGO
28,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,11,29,29,Hugo & Guilherme
29,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,33,45,Zé Neto & Cristiano
30,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,28,23,MC Kevin o Chris
31,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,7,39,41,Zé Neto & Cristiano
32,spotify:track:23IebZSNZ8VzwUr4rJNGRG,MEIO TERMO - Ao Vivo,10,35,29,Luan Santana
33,spotify:track:4v7UrPWZL4FJWeL5ZWQ62E,Seu Erro - Ao Vivo Em Nova Iorque / 2022,23,30,10,Henrique & Juliano
34,spotify:track:4ssTFuVeNJG8py5dr2P2pV,Não Recomendo - Ao Vivo,31,31,4,Matheus & Kauan
35,spotify:track:00rxTS5TKv3oXpDA6nWfBi,Maria Mariah,35,—,1,JC NO BEAT
36,spotify:track:3dA58LbGkY9CIEPyT7yAEZ,Torce o Olho - Ao Vivo,21,46,6,Gusttavo Lima
37,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,3,40,43,Israel & Rodolffo
38,spotify:track:7dKqPh21HpsysZvRWyNeM1,Bênçãos Que Não Têm Fim (Counting My Blessings),22,26,6,Isadora Pompeo
39,spotify:track:0wuj2T6IZtotux1Jjluo7m,Cama Repetida,36,44,6,Leo Santana
40,spotify:track:0oQCRjrWGvkqkdf82UlXI3,POCPOC,40,42,2,PEDRO SAMPAIO
41,spotify:track:0GTUqRzwAacEI5Pll8YlBA,Amor Não Dá Em Copo - Ao Vivo,34,38,9,Israel & Rodolffo
42,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,25,41,28,Diego & Victor Hugo
43,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,7,48,47,Matheus & Kauan
44,spotify:track:4D25RP3yiJWfW9utK9dMyv,Ali Te Ama - Ao Vivo,43,43,8,Rayane & Rafaela
45,spotify:track:697gwO5YoSGVAnlfREIZll,Tenho Que Me Decidir,32,32,3,MC PH
46,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,3,45,22,Felipe Amorim
47,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,49,31,DENNIS
48,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,10,34,15,MC Maneirinho
49,spotify:track:2twZl1jsRbJRTNCE6VB6eW,10 Carros,37,37,4,Chefin
50,spotify:track:5v1Fjk1RDKGqxwNOzGDewL,Então Vai,50,69,3,Zé Felipe
51,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,4,53,47,Henrique & Juliano
52,spotify:track:1Or0joPrPSsuXdTzGFLAws,Sozinha - Ao Vivo,52,64,2,Gusttavo Lima
53,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,4,50,26,Luan Pereira
54,spotify:track:735MbOmMNSTMmPVrY51LBh,Aqui Tem Alguém - Ao Vivo,45,52,9,Ana Castela
55,spotify:track:1KEhkxdCRb1k8UDHqACgNY,Desandei - Ao Vivo,28,61,34,Lauana Prado
56,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,3,56,39,Hugo & Guilherme
57,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,25,51,17,MC Rogerinho
58,spotify:track:5ZkwwBa9DlwuUFbXwrLeXF,Poeirão - Ao Vivo,57,57,7,Guilherme & Benuto
59,spotify:track:4dHMuSjpkUcWW3zZehOFj7,Narcisista - Ao Vivo,26,60,24,Maiara & Maraisa
60,spotify:track:2pRjaIcGc9LOmu7x9XMswA,Calafrio (feat. Henrique & Juliano) - Ao Vivo | Bônus Track,46,58,10,Diego & Victor Hugo
61,spotify:track:5mmxylfcIlTaTftZwIIj3W,Você Vai Ser Fiel - Ao Vivo Em Nova Iorque / 2022,47,47,4,Henrique & Juliano
62,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,11,63,21,Felipe Amorim
63,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,31,62,32,Israel & Rodolffo
64,spotify:track:2cZ62VBKsdZ7u1kKKJdFOc,Sou Musa do Verão,32,55,8,Marshmello
65,spotify:track:2QxL3wAJnwOOmygY4VX0My,Vestido Curto - Ao Vivo,65,—,1,Diego & Victor Hugo
66,spotify:track:0EhGgIoOPjsqfB2ktrGgJd,Oceano - Ao Vivo,66,75,3,Felipe e Rodrigo
67,spotify:track:1kWcd9h9HoeXsKaDVhSOtj,Ela - Ao Vivo,67,78,6,Sorriso Maroto
68,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,12,54,32,Veigh
69,spotify:track:7blC5LzebSn2A64Kn4XXMP,AMBIENTE ERRADO - Ao Vivo,24,70,21,Luan Santana
70,spotify:track:6e5byyKtx6R0h66gagelPe,Quando Apaga A Luz - Ao Vivo,10,80,49,Gustavo Mioto
