rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2sYFUcurlISdHlAsnYCEgD,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo,1,1,5,Lauana Prado
2,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,1,2,27,Zé Neto & Cristiano
3,spotify:track:2IDf0IZ9dfw0uDYV2n1bJc,DEJA VU,3,3,4,Luan Santana
4,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,2,7,16,Dj GBR
5,spotify:track:7g7I8fjEERZH8DH3e6MUw7,Canudinho - Ao Vivo,1,4,18,Gusttavo Lima
6,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,5,8,13,Manu
7,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,3,5,34,Guilherme & Benuto
8,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,5,6,16,Simone Mendes
9,spotify:track:1xjy8WRyYUkayJcyyWQpYe,Fronteira - Ao Vivo,9,9,7,Ana Castela
10,spotify:track:00rxTS5TKv3oXpDA6nWfBi,Maria Mariah,10,35,2,JC NO BEAT
11,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,1,11,12,Tropa do Bruxo
12,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,4,12,49,Simone Mendes
13,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),12,16,19,Ana Castela
14,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,1,20,19,Luan Pereira
15,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,11,13,23,Henrique & Juliano
16,spotify:track:3S8M3mZGIc10IdtmNTsrjQ,Eu Não Previ - Ao Vivo em Goiânia,10,10,20,Traia Véia
17,spotify:track:7vCtJ5u7dFM4tAWtgFf4l8,Anestesiado - Ao Vivo,15,15,7,Murilo Huff
18,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,3,14,28,Zé Neto & Cristiano
19,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,9,22,42,Grupo Menos É Mais
20,spotify:track:6zFpImDYig0CQhLL2NIfyN,Nosso Quadro,1,18,48,AgroPlay
21,spotify:track:3iam4WkRoqMoBBCwDFZNgd,Quase Algo - Ao Vivo Em Nova Iorque / 2022,8,17,16,Henrique & Juliano
22,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,21,26,Ana Castela
23,spotify:track:6C4nUySvjSQWoZamSKJBqH,Mala dos Porta-Mala - Ao Vivo,3,23,25,Gusttavo Lima
24,spotify:track:6Td7nVeAOUz13zhDlUY8jv,CHEIRO NA CAMISETA,16,19,8,Luan Pereira
25,spotify:track:0oQCRjrWGvkqkdf82UlXI3,POCPOC,25,40,3,PEDRO SAMPAIO
26,spotify:track:6rpUGV7bcWW9ro65Bf8uYY,Eu Não Dou Conta - Ao Vivo,17,24,15,Israel & Rodolffo
27,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,30,24,MC Kevin o Chris
28,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,26,56,Marília Mendonça
29,spotify:track:7MLX5VV97CcXIpH2QUIy13,Pane no Sistema,12,27,11,GREGO
30,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,25,47,Guilherme & Benuto
31,spotify:track:23IebZSNZ8VzwUr4rJNGRG,MEIO TERMO - Ao Vivo,10,32,30,Luan Santana
32,spotify:track:2QxL3wAJnwOOmygY4VX0My,Vestido Curto - Ao Vivo,32,65,2,Diego & Victor Hugo
33,spotify:track:5v1Fjk1RDKGqxwNOzGDewL,Então Vai,33,50,4,Zé Felipe
34,spotify:track:0wuj2T6IZtotux1Jjluo7m,Cama Repetida,34,39,7,Leo Santana
35,spotify:track:4ssTFuVeNJG8py5dr2P2pV,Não Recomendo - Ao Vivo,31,34,5,Matheus & Kauan
36,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,29,46,Zé Neto & Cristiano
37,spotify:track:697gwO5YoSGVAnlfREIZll,Tenho Que Me Decidir,32,45,4,MC PH
38,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,11,28,30,Hugo & Guilherme
39,spotify:track:7dKqPh21HpsysZvRWyNeM1,Bênçãos Que Não Têm Fim (Counting My Blessings),22,38,7,Isadora Pompeo
40,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,3,37,44,Israel & Rodolffo
41,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,7,31,42,Zé Neto & Cristiano
42,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,7,43,48,Matheus & Kauan
43,spotify:track:4v7UrPWZL4FJWeL5ZWQ62E,Seu Erro - Ao Vivo Em Nova Iorque / 2022,23,33,11,Henrique & Juliano
44,spotify:track:3dA58LbGkY9CIEPyT7yAEZ,Torce o Olho - Ao Vivo,21,36,7,Gusttavo Lima
45,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,47,32,DENNIS
46,spotify:track:2twZl1jsRbJRTNCE6VB6eW,10 Carros,37,49,5,Chefin
