rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,2,3,Leo Santana
2,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,1,10,Marília Mendonça
3,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,1,3,13,Israel & Rodolffo
4,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,4,29,2,Zé Felipe
5,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,5,20,2,Henrique & Juliano
6,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,2,4,13,Gustavo Mioto
7,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,5,5,9,Maiara & Maraisa
8,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,8,21,10,WIU
9,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,9,16,3,Gusttavo Lima
10,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,10,10,4,Gustavo Mioto
11,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,3,6,13,Guilherme & Benuto
12,spotify:track:1bzRhnrWU1l1u4Bby9ZbfQ,Nosso Quadro,12,60,2,AgroPlay
13,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,5,7,13,Matheus & Kauan
14,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,7,8,11,Israel & Rodolffo
15,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,5,13,7,DJ Jeeh FDC
16,spotify:track:0bBwi6ddYeTv5fXgHAdfiH,Evoque Prata,1,14,13,MC MENOR HR
17,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,17,19,6,Mc Tato
18,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,11,11,8,Ana Castela
