rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,1,8,Marília Mendonça
2,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,1,2,13,Israel & Rodolffo
3,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,3,20,Gustavo Mioto
4,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,4,32,Guilherme & Benuto
5,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,5,7,16,Matheus & Kauan
6,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,6,12,7,Maiara & Maraisa
7,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,7,10,9,Israel & Rodolffo
8,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,6,14,MC MENOR HR
9,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,9,9,13,Guilherme & Benuto
10,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,5,5,5,DJ Jeeh FDC
11,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,11,16,6,Ana Castela
12,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,7,11,11,Zé Felipe
13,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,3,14,27,Jorge & Mateus
14,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,2,13,24,Guilherme & Benuto
15,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,8,8,7,MC K.K
16,spotify:track:4kAMyuJBbmJrbr6TLOWbEk,Beijo de Glicose - Ao Vivo,3,15,22,Diego & Victor Hugo
17,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,17,32,3,Naiara Azevedo
18,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,17,17,4,Mc Tato
19,spotify:track:0yLdNVWF3Srea0uzk55zFn,Flowers,19,19,3,Miley Cyrus
20,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,20,20,8,WIU
21,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,8,18,16,Felipe e Rodrigo
22,spotify:track:2bWVxK5GlPtS4D3FcLjGgQ,Cara da Derrota - Ao Vivo,22,28,17,Gusttavo Lima
23,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,23,50,2,Luan Santana
24,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,19,21,8,MC Ryan SP
25,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,23,23,5,Anitta
26,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,26,51,2,Gustavo Mioto
27,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,27,29,7,Mc Jacaré
28,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,15,25,26,Murilo Huff
29,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,29,—,1,Gusttavo Lima
30,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,3,27,28,Mc Paiva ZS
31,spotify:track:2orGm2E68ODFYOURjaES62,Felina,10,26,18,WIU
32,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),20,31,12,Kadu Martins
33,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,3,30,39,Jorge & Mateus
34,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,34,37,8,Bruno & Denner
35,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,22,55,Hugo & Guilherme
36,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,12,33,26,Matheus & Kauan
37,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,3,34,28,Marília Mendonça
38,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),32,35,6,Luísa Sonza
39,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,18,36,13,Orochi
40,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,15,38,36,Israel & Rodolffo
41,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,5,24,17,Gusttavo Lima
42,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,7,39,37,Henrique & Juliano
43,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,2,41,26,Hugo & Guilherme
44,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,1,43,42,Hugo & Guilherme
45,spotify:track:2X5o4nRiocnoaaQ2wMwaeC,Sorrisin De Puto,45,70,3,DJ Cayoo
46,spotify:track:0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo,12,44,43,Paulo e Nathan
47,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,10,46,46,Matheus & Kauan
48,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,15,42,17,Dj LK da Escócia
49,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,45,35,Ana Castela
50,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,1,49,30,Gusttavo Lima
51,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,12,52,67,Henrique & Juliano
52,spotify:track:29adI8c6c75mnnaJ3BFLID,Parecia Tempestade,52,94,2,Sony no Beat
53,spotify:track:5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,53,91,2,Mc Paiva ZS
54,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,7,48,33,L7NNON
55,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,64,68,Marília Mendonça
56,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",47,47,3,Bizarrap
57,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,36,60,25,Felipe Amorim
58,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,15,40,11,DJ Dozabri
