rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,6,5,Marília Mendonça
2,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,1,1,10,Israel & Rodolffo
3,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,3,11,MC MENOR HR
4,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,2,17,Gustavo Mioto
5,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,4,29,Guilherme & Benuto
6,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,5,5,13,Matheus & Kauan
7,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,7,9,8,Zé Felipe
8,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,8,11,4,MC K.K
9,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,3,7,19,Diego & Victor Hugo
10,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,2,8,21,Guilherme & Benuto
11,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,8,10,13,Felipe e Rodrigo
12,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,10,13,6,Israel & Rodolffo
13,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,12,12,10,Guilherme & Benuto
14,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,14,17,4,Maiara & Maraisa
15,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,3,14,24,Jorge & Mateus
16,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,3,18,25,Mc Paiva ZS
17,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,5,16,14,Gusttavo Lima
18,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,15,52,Hugo & Guilherme
19,spotify:track:2orGm2E68ODFYOURjaES62,Felina,10,25,15,WIU
20,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,18,28,10,Orochi
21,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,15,19,8,DJ Dozabri
22,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),20,20,9,Kadu Martins
23,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,15,21,23,Murilo Huff
24,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,24,36,3,Ana Castela
25,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,12,23,23,Matheus & Kauan
26,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,26,32,5,MC Ryan SP
27,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,27,96,2,DJ Jeeh FDC
28,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,3,22,36,Jorge & Mateus
29,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,29,31,4,Mc Jacaré
30,spotify:track:2bWVxK5GlPtS4D3FcLjGgQ,Cara da Derrota - Ao Vivo,24,26,14,Gusttavo Lima
31,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,15,24,14,Dj LK da Escócia
32,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),32,42,3,Luísa Sonza
33,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,33,43,5,WIU
34,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,3,30,25,Marília Mendonça
35,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,15,29,33,Israel & Rodolffo
36,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,10,27,43,Matheus & Kauan
37,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,35,37,5,Bruno & Denner
38,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,33,32,Ana Castela
39,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,7,34,34,Henrique & Juliano
40,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,21,38,33,Mari Fernandez
41,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,1,35,39,Hugo & Guilherme
42,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,2,39,23,Hugo & Guilherme
43,spotify:track:0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo,12,41,40,Paulo e Nathan
44,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,44,56,2,Anitta
45,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,7,45,30,L7NNON
