rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,1,2,3,Gusttavo Lima
2,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,2,8,5,Guilherme & Benuto
3,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,1,8,Ana Castela
4,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,4,—,1,Marília Mendonça
5,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,3,3,12,Jorge & Mateus
6,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,4,6,Zé Felipe
7,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,9,28,Hugo & Guilherme
8,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,2,7,15,Luan Santana
9,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,1,5,15,Hugo & Guilherme
10,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,6,17,Gusttavo Lima
11,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,7,10,6,L7NNON
12,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,12,90,2,Luísa Sonza
13,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,6,12,18,Matheus Fernandes
14,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,7,11,5,MC Tairon
15,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,13,13,19,Matheus & Kauan
16,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,15,15,9,Israel & Rodolffo
17,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,17,20,9,Murilo Huff
18,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,3,17,33,Jorge & Mateus
19,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,5,14,17,Felipe Amorim
20,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,11,16,10,Mc Don Juan
21,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,10,18,13,MC Rogerinho
22,spotify:track:1rJFFWDXrlMS0C5JlbqFbI,Tem Cabaré Essa Noite,22,59,2,Nivaldo Marques
23,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,18,26,16,Paulo e Nathan
24,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,24,32,9,Mari Fernandez
25,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,29,40,George Henrique & Rodrigo
26,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,3,22,19,Davi Kneip
27,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,3,21,25,Luan Santana
28,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,28,60,2,Mc Jacaré
29,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,15,23,11,João Gomes
30,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,7,24,10,Henrique & Juliano
31,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,5,25,41,Henrique & Juliano
32,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),8,19,8,Gusttavo Lima
33,spotify:track:4IX43MpJlpxzRMLb9QayrJ,PERIGO NOTURNO - Ao Vivo,28,28,4,Luan Santana
34,spotify:track:4m1mqQuy34Nzh0480VR364,Incendeia,34,71,2,MC Kevin o Chris
35,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,13,27,24,Guilherme & Benuto
36,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,39,41,Marília Mendonça
37,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,19,30,15,MC Braz
38,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,6,34,26,Zé Neto & Cristiano
39,spotify:track:66K83nVy3aTJ5zLxbiMi7I,Te Amo Que Mais Posso Dizer (More Than I Can Say),39,—,1,Marília Mendonça
40,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,19,35,34,Wesley Safadão
41,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,33,35,Gusttavo Lima
42,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,12,37,40,Henrique & Juliano
43,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,38,38,8,Wesley Safadão
44,spotify:track:5TPXcKSOlPaz2pkYbWiWHU,Ai Eu Chorei - Ao Vivo,44,55,3,Clayton & Romário
45,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,36,24,PEDRO SAMPAIO
46,spotify:track:53V8gDkg4I7vDKnIyEuyoB,Não Era Pra Ser Assim,46,—,1,Marília Mendonça
