rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,1,5,DENNIS
2,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,2,15,AgroPlay
3,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,3,3,15,Israel & Rodolffo
4,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,4,5,15,Simone Mendes
5,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,4,15,Zé Neto & Cristiano
6,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,4,6,15,Henrique & Juliano
7,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,7,7,15,Zé Neto & Cristiano
8,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,8,15,Guilherme & Benuto
9,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,3,9,13,Hugo & Guilherme
10,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",10,57,2,Mc Pedrinho
11,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,8,10,15,Matheus & Kauan
12,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,12,20,3,Luan Santana
13,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,13,16,7,Guilherme & Benuto
14,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,8,11,15,Clayton & Romário
15,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,12,12,6,Veigh
16,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,4,14,15,Israel & Rodolffo
17,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,13,19,15,Luan Pereira
18,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,12,13,14,Henrique & Juliano
19,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,2,15,15,Marília Mendonça
20,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,20,23,3,Hugo & Guilherme
21,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,18,18,15,Grupo Menos É Mais
22,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,16,17,15,Gustavo Mioto
23,spotify:track:745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,22,22,6,MC Guh SR
24,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,8,21,7,MC Caverinha
25,spotify:track:1L7hWEc3tVjvmbw48ShktM,Desejo Imortal (It Must Have Been Love) - Ao Vivo,14,25,11,Gusttavo Lima
26,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,12,27,15,Gusttavo Lima
27,spotify:track:5yscNPMHmhqHQX9B9GFzMp,Te Esqueci Sem Querer - Ao Vivo Em Brasília,24,26,10,Henrique & Juliano
28,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,26,30,9,MC Kevin o Chris
29,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,13,24,15,Gustavo Mioto
30,spotify:track:3Nvzs0cJbLwhXPPlI8xzpC,Vai Novinha Ah Ah Ah,30,—,1,Dyamante DJ
31,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,17,29,15,Maiara & Maraisa
32,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,19,31,15,Naiara Azevedo
33,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,22,33,15,Ana Castela
34,spotify:track:6dtQM0CXRFJgD7ifUNosZj,Desandei - Ao Vivo,33,39,8,Lauana Prado
35,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,18,32,13,KayBlack
36,spotify:track:77BR4gaUAp3p0uA8UL6HT9,Não Para,34,35,15,Belle Kaffer
37,spotify:track:09pQ3lGyMTpW3rz7a71zwQ,Metade De Mim - Ao Vivo,9,28,15,Hugo & Guilherme
38,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,21,34,15,Matheus & Kauan
39,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,26,40,15,MC Rogerinho
40,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,40,—,1,Zé Neto & Cristiano
41,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,41,60,2,Diego & Victor Hugo
42,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,42,59,6,Murilo Huff
43,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,22,37,15,WIU
44,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,6,45,15,MC Xenon
45,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),13,36,9,Matuê
46,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),17,43,11,MC PH
47,spotify:track:4KUj5wxJuY9Nf7L6guRxrU,Abre A Mente - Ao Vivo Em Brasília,42,42,3,Henrique & Juliano
48,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,27,44,15,NATTAN
49,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,36,50,6,Israel & Rodolffo
50,spotify:track:2LJLGfBHKFmNdD4iXRRPXV,Solteiro Frustrado - Ao Vivo,50,65,2,Gusttavo Lima
51,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",51,—,1,Melody
52,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,14,47,15,MC Kevin o Chris
53,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,41,41,6,Veigh
54,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,45,48,12,KayBlack
55,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,34,38,12,KayBlack
56,spotify:track:5Ubx4DpvVodvsGH9ilxPVi,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,26,49,15,Guilherme & Benuto
57,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,57,80,2,Kadu Martins
58,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,35,52,15,Luan Santana
59,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,40,51,15,Bruno & Denner
60,spotify:track:5pBU3Yihoa4hiwQ2T5fGhH,Esse B.O é Meu - Ao Vivo,29,53,15,Guilherme & Benuto
61,spotify:track:7kJ0aTB5gLMYrJjYft3Vx6,Na Contramão,60,64,6,DJ Katrip
62,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,62,93,2,Leo Santana
63,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,43,66,15,Mc Jacaré
64,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,34,58,13,Wesley Safadão
65,spotify:track:6UHMmTS8TfWK3vKvoEZOQG,Me Gusta - AgroPlay Verão,46,46,5,AgroPlay
66,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,18,55,15,Israel & Rodolffo
