rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,1,13,AgroPlay
2,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,2,2,13,Zé Neto & Cristiano
3,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,3,3,13,Israel & Rodolffo
4,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,4,4,13,Simone Mendes
5,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,6,13,Guilherme & Benuto
6,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,4,5,13,Henrique & Juliano
7,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,3,7,9,Hugo & Guilherme
8,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,8,10,12,Clayton & Romário
9,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,8,11,13,Matheus & Kauan
10,spotify:track:4t6eam3rC9JoNFVkfOHK4s,Pátio do Posto - Ao Vivo,10,13,11,Zé Neto & Cristiano
11,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,8,8,3,MC Caverinha
12,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,3,12,13,Israel & Rodolffo
13,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,2,9,13,Marília Mendonça
14,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,12,14,10,Henrique & Juliano
15,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,13,15,11,Luan Pereira
16,spotify:track:1L7hWEc3tVjvmbw48ShktM,Desejo Imortal (It Must Have Been Love) - Ao Vivo,14,16,7,Gusttavo Lima
17,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,14,18,13,Gustavo Mioto
18,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,10,19,13,Gustavo Mioto
19,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,17,25,13,Naiara Azevedo
20,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,20,47,2,Veigh
21,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,12,24,13,Maiara & Maraisa
22,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,21,21,11,Grupo Menos É Mais
23,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,9,23,13,Gusttavo Lima
24,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,22,26,13,Ana Castela
25,spotify:track:09pQ3lGyMTpW3rz7a71zwQ,Metade De Mim - Ao Vivo,9,22,13,Hugo & Guilherme
26,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,26,—,1,DENNIS
27,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,27,37,3,Guilherme & Benuto
28,spotify:track:7tgGpFp1FtgLtqrFB7LNeo,Nem Que Seja Chorando - Ao Vivo,20,20,3,Hugo & Guilherme
29,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,18,27,9,KayBlack
30,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,18,28,13,Israel & Rodolffo
31,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,31,38,5,MC Kevin o Chris
32,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,18,29,13,Matheus & Kauan
33,spotify:track:5yscNPMHmhqHQX9B9GFzMp,Te Esqueci Sem Querer - Ao Vivo Em Brasília,25,35,6,Henrique & Juliano
34,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),13,17,5,Matuê
35,spotify:track:745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,35,53,2,MC Guh SR
36,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,5,30,13,MC Xenon
37,spotify:track:77BR4gaUAp3p0uA8UL6HT9,Não Para,34,34,12,Belle Kaffer
38,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),17,31,7,MC PH
39,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,20,36,13,WIU
40,spotify:track:235CP5ItAYMS6usv3C8jkP,DEUS É MUITO BOM - Ao Vivo,31,32,5,Luan Santana
41,spotify:track:6dtQM0CXRFJgD7ifUNosZj,Desandei - Ao Vivo,33,33,4,Lauana Prado
42,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,26,40,13,MC Rogerinho
43,spotify:track:5Ubx4DpvVodvsGH9ilxPVi,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,16,42,13,Guilherme & Benuto
44,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,34,39,8,KayBlack
45,spotify:track:5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo,25,44,13,Guilherme & Benuto
46,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,14,45,12,MC Kevin o Chris
47,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,24,43,13,NATTAN
48,spotify:track:5pBU3Yihoa4hiwQ2T5fGhH,Esse B.O é Meu - Ao Vivo,24,48,13,Guilherme & Benuto
49,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,40,50,13,Bruno & Denner
50,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,4,41,11,Zé Felipe
51,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,35,51,13,Luan Santana
52,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,52,70,2,Veigh
53,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,45,46,8,KayBlack
54,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,54,69,2,Israel & Rodolffo
55,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,25,55,13,Jorge & Mateus
56,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,32,58,13,Mc Jacaré
57,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,28,49,13,Zé Felipe
58,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,45,60,13,Hugo & Guilherme
59,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,52,72,13,Henrique & Juliano
60,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,34,57,9,Wesley Safadão
61,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,35,64,13,Matheus Fernandes
62,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,28,59,13,Felipe e Rodrigo
63,spotify:track:7kJ0aTB5gLMYrJjYft3Vx6,Na Contramão,63,76,2,DJ Katrip
64,spotify:track:3d1im1pw3WLuEty2k9XzTr,Clickbait,50,52,4,Veigh
65,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,56,56,2,Murilo Huff
66,spotify:track:36msBnH60GyWof23sMdQSL,Me Bloqueia - Ao Vivo,66,68,10,Zé Neto & Cristiano
67,spotify:track:4YfdCJR5uKLYkcGdZQap35,Mec Life,54,61,6,DJ ESCOBAR
68,spotify:track:2slHCHYP7ogpGSsCumJT1a,Fulano - Ao Vivo,39,62,9,Murilo Huff
69,spotify:track:3SWqd8gFeeItkeXwcPI77K,Flor De Plástico - Ao Vivo,55,65,8,Fred & Fabrício
70,spotify:track:6obqb3vA4kufqEHibtF5W1,Guarda Roupa - Ao Vivo,53,54,13,Fred & Fabrício
71,spotify:track:4kAMyuJBbmJrbr6TLOWbEk,Beijo de Glicose - Ao Vivo,32,66,13,Diego & Victor Hugo
72,spotify:track:1YTzCKxoOSZOqcNh6wa15I,Galopeira,72,88,3,MC Menor MT
73,spotify:track:5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,35,67,13,Mc Paiva ZS
74,spotify:track:6tW23l5oRR8XyYJsF5si9G,Eu Minto (Ao Vivo),51,73,13,US Agroboy
75,spotify:track:6UHMmTS8TfWK3vKvoEZOQG,Me Gusta - AgroPlay Verão,75,—,1,AgroPlay
76,spotify:track:5GbvrjiAu6tt9qweHNSban,Vaqueiro Apaixonado,71,71,5,AgroPlay
77,spotify:track:2X5o4nRiocnoaaQ2wMwaeC,Sorrisin De Puto,61,74,13,DJ Cayoo
78,spotify:track:0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo,69,79,13,Paulo e Nathan
79,spotify:track:1TgVaCf8D5mXZrK1d7uIZe,Bebê Tá Solta,47,77,13,Yuri Redicopa
80,spotify:track:6p6ohOKSzL4JaIRzSeOmWx,Cama Embrasa,80,—,1,Felipe Amorim
81,spotify:track:4D4yBfKqS2aBblJyVlpA7i,Macho Preferido,81,91,2,Zé Felipe
82,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,21,75,13,Mc Tato
83,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,8,63,13,Leo Santana
84,spotify:track:1JQ1ylL2JEjC6Ib7IJgOvS,Coração Amoleceu,70,94,13,Mc Don Juan
85,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,54,86,13,Mc Paiva ZS
86,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,56,80,13,Jorge & Mateus
87,spotify:track:2zDwJnP9n9yCUyfiLIwkDM,Se Ele Soubesse - Ao Vivo,43,90,13,Guilherme & Santiago
88,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,63,98,4,Veigh
89,spotify:track:0bBwi6ddYeTv5fXgHAdfiH,Evoque Prata,30,83,13,MC MENOR HR
90,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,26,82,13,DJ Jeeh FDC
91,spotify:track:39hP55BAhJ0MLiWsWmDyx7,Meia-Volta - Ao Vivo,91,—,1,Matheus & Kauan
92,spotify:track:2orGm2E68ODFYOURjaES62,Felina,41,78,13,WIU
93,spotify:track:2tFmuYL5D8zqBHvs0nG5Tn,Bonjour,48,81,5,KayBlack
94,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,85,92,13,Ana Castela
95,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,57,89,7,Grandão Vaqueiro
96,spotify:track:0cmW66v6mOdc2yK6ioeBT5,Você Não É Mais Assim - Ao Vivo,87,87,3,Marília Mendonça
97,spotify:track:3O2wrDL7nnSDZOrdZqxyoY,Noite Fria,25,85,13,Mc IG
98,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,33,97,13,MC Ryan SP
99,spotify:track:1wGuEAmgb6vbOz2re9pMNz,Me Ame Mais,99,—,1,Marília Mendonça
100,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,72,100,13,Matheus & Kauan
