rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,13,4,Marília Mendonça
2,spotify:track:4u06FbRh6FvV2FQZkouzCw,Arranhão - Ao Vivo,1,1,4,Henrique & Juliano
3,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,3,31,4,Marília Mendonça
4,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,2,3,4,Avine Vinny
5,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,5,11,4,PEDRO SAMPAIO
6,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,6,6,4,Zé Felipe
7,spotify:track:3agFBAMPiIvzfTh7a9Udm6,Nota de Repúdio - Ao Vivo,2,2,4,Gusttavo Lima
8,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,8,43,2,MC Levin
9,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",5,7,4,DJ Patrick Muniz
10,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,4,4,Zé Neto & Cristiano
11,spotify:track:5Q0ZnQjk4lQpScX7ujswun,A Maior Saudade - Ao Vivo,5,5,4,Henrique & Juliano
12,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,12,33,2,Paulo Pires
13,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,8,8,4,Mc Anjim
14,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,14,15,4,Felipe Amorim
15,spotify:track:1bK3VvFF9QzfJZDmXSsAqF,Ficha Limpa,10,10,4,Gusttavo Lima
16,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,9,9,4,Zé Neto & Cristiano
17,spotify:track:1tYJnXtKLoWVIL4lZOouQG,Cê Tá Preparada - Ao Vivo,12,14,4,Tayrone
18,spotify:track:4AAIAVjSyiq1N7SXKkwXZe,Troca de Calçada,18,94,4,Marília Mendonça
19,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,19,35,3,Marina Sena
20,spotify:track:3eq6zwPwN5SAw0rZxNHI22,Não Me Arranha - Ao Vivo,19,19,4,Gusttavo Lima
21,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,12,16,4,Matheus & Kauan
22,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,22,82,4,Marília Mendonça
23,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,17,23,4,DG e Batidão Stronda
24,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,11,12,4,Diego & Victor Hugo
25,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,17,17,4,Vitor e Luan
26,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,14,21,4,João Gomes
27,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,27,—,1,Marília Mendonça
28,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,19,22,4,Matheus Fernandes
29,spotify:track:2s9BO8c0co0PmgBiUoTT17,A QUEDA,27,27,4,Gloria Groove
30,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,16,20,4,Luan Santana
31,spotify:track:2ookQf9qP2qiBuNFnNXyfl,Chega E Senta - Ao Vivo,18,25,4,John Amplificado
32,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,26,32,4,Matuê
33,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),25,29,4,Lil Nas X
34,spotify:track:2jb8HW2CXr4mOJaw7LJyVw,Acordo - Ao Vivo,18,18,3,Henrique & Juliano
35,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,35,—,1,Marília Mendonça
36,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,36,45,3,George Henrique & Rodrigo
37,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,25,28,4,Tarcísio do Acordeon
38,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Graveto - Ao Vivo,38,—,1,Marília Mendonça
39,spotify:track:6bvY4L6D3gqBPGE1iSkbOW,Mete a Louca,37,37,4,MC Rogerinho
40,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,29,39,4,Zé Felipe
41,spotify:track:6T6SDJszPbuMCBpSm3aS3G,Carinha de Neném,40,40,4,Japãozin
42,spotify:track:2jPACjKR21inTnWeo3eHla,"Louis V, Menina Linda",32,44,4,Sidoka
43,spotify:track:64I6t2tuUGnIlaDIzHJ6YI,Quero Você do Jeito Que Quiser,43,—,1,Marília Mendonça
