rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,1,4,3,Tropa do Bruxo
2,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,1,1,9,Gusttavo Lima
3,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,2,2,18,Zé Neto & Cristiano
4,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,3,3,7,Dj GBR
5,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,5,17,Ana Castela
6,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,1,6,10,Luan Pereira
7,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,3,7,19,Zé Neto & Cristiano
8,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,3,8,16,Gusttavo Lima
9,spotify:track:4zW6JV4aqhXpbfZLZyEFvP,Quase Algo - Ao Vivo Em Nova Iorque / 2022,9,9,7,Henrique & Juliano
10,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,10,26,4,Manu
11,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,10,11,7,MC Maneirinho
12,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,12,14,7,Simone Mendes
13,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,10,15,MC Kevin o Chris
14,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,9,15,25,Guilherme & Benuto
15,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,15,23,14,Henrique & Juliano
16,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,3,18,35,Israel & Rodolffo
17,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,9,12,33,Grupo Menos É Mais
18,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,20,38,Guilherme & Benuto
19,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),14,21,10,Ana Castela
20,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,3,13,14,Felipe Amorim
21,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,11,24,21,Hugo & Guilherme
22,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,19,39,AgroPlay
23,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,4,16,39,Henrique & Juliano
24,spotify:track:07DskqQ1NbTiotX1WIV7ob,Piloto,17,17,5,Flora Matos
25,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,10,25,21,Luan Santana
26,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,25,28,9,MC Rogerinho
27,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,25,27,20,Diego & Victor Hugo
28,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,30,47,Marília Mendonça
29,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,4,22,40,Simone Mendes
30,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,26,32,14,Gusttavo Lima
31,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,31,23,DENNIS
32,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,7,36,33,Zé Neto & Cristiano
33,spotify:track:6rpUGV7bcWW9ro65Bf8uYY,Eu Não Dou Conta - Ao Vivo,33,47,6,Israel & Rodolffo
34,spotify:track:6tGlPVCrjerAAbKJs85m5g,Seu Erro - Ao Vivo Em Nova Iorque / 2022,34,57,2,Henrique & Juliano
35,spotify:track:0KhLYwYVhi13hMhxX73m55,MULHER SEGURA - Ao Vivo,22,33,7,Luan Santana
36,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,11,34,13,Felipe Amorim
37,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,2,35,19,Mc Livinho
38,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,4,29,18,Luan Pereira
39,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,31,40,24,Israel & Rodolffo
40,spotify:track:4dHMuSjpkUcWW3zZehOFj7,Narcisista - Ao Vivo,26,38,16,Maiara & Maraisa
41,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,7,39,39,Matheus & Kauan
42,spotify:track:7Iq55toOSSBCEoGuXxQSa1,Vem Quebrando,42,58,7,Mc Danone
43,spotify:track:4wjDiZGsZYQqKkXyPcQGF6,Agudo Mágico 4,43,63,3,MC K.K
44,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,3,53,31,Hugo & Guilherme
45,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,12,41,24,Veigh
46,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,20,45,16,Vulgo FK
47,spotify:track:758BVp2SU3uGru062K5cju,Alerta de Golpe - Ao Vivo,47,54,3,Ana Castela
48,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,43,37,Zé Neto & Cristiano
49,spotify:track:1V4l4h7kYaKyXJk74g6ilu,Guardanapo Borrado - Ao Vivo,49,64,12,Israel & Rodolffo
50,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,11,46,20,Kadu Martins
51,spotify:track:0GTUqRzwAacEI5Pll8YlBA,Amor Não Dá Em Copo - Ao Vivo,51,—,1,Israel & Rodolffo
52,spotify:track:6e5byyKtx6R0h66gagelPe,Quando Apaga A Luz - Ao Vivo,10,56,41,Gustavo Mioto
53,spotify:track:7GjAXYuxjuXPbQJzRnNdob,Pane no Sistema,53,91,2,GREGO
54,spotify:track:2pRjaIcGc9LOmu7x9XMswA,Calafrio (feat. Henrique & Juliano) - Ao Vivo | Bônus Track,54,89,2,Diego & Victor Hugo
55,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,29,42,24,Murilo Huff
56,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",28,51,19,Melody
57,spotify:track:62W2f0QOg20ufNjJQHqnkq,Fernando de Noronha,49,52,6,Mc IG
58,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,24,48,39,NATTAN
59,spotify:track:4N4Jk8n24I4lkSUdzoS0n7,Alô Tranqueira - Ao Vivo,48,49,4,Zé Neto & Cristiano
60,spotify:track:1KEhkxdCRb1k8UDHqACgNY,Desandei - Ao Vivo,28,62,26,Lauana Prado
61,spotify:track:0SWDToufOxRVIngk8c1oZi,AMBIENTE ERRADO - Ao Vivo,24,60,13,Luan Santana
62,spotify:track:09pQ3lGyMTpW3rz7a71zwQ,Metade De Mim - Ao Vivo,9,59,35,Hugo & Guilherme
