rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,1,16,Guilherme & Benuto
2,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,2,7,4,Gustavo Mioto
3,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,2,2,8,Guilherme & Benuto
4,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,3,3,6,Diego & Victor Hugo
5,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,3,4,12,Mc Paiva ZS
6,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,3,6,11,Jorge & Mateus
7,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,2,5,10,Hugo & Guilherme
8,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,9,39,Hugo & Guilherme
9,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,1,8,14,Gusttavo Lima
10,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,3,10,9,Luan Santana
11,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,3,11,23,Jorge & Mateus
12,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,12,12,10,Matheus & Kauan
13,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,7,28,21,Henrique & Juliano
14,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,1,13,26,Hugo & Guilherme
15,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,15,—,1,Gusttavo Lima
16,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,16,28,Gusttavo Lima
17,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,3,15,13,Mc Jacaré
18,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,10,19,30,Matheus & Kauan
19,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,3,18,12,Marília Mendonça
20,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,7,22,17,L7NNON
21,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,17,17,10,Murilo Huff
22,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,15,20,20,Israel & Rodolffo
23,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,14,19,Ana Castela
24,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,15,23,11,DJ AK BR
25,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,17,24,20,Murilo Huff
26,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,6,27,29,Matheus Fernandes
