rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,1,4,4,Luan Pereira
2,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,1,11,Ana Castela
3,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,2,9,MC Kevin o Chris
4,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,3,3,13,Zé Neto & Cristiano
5,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,5,16,3,Gusttavo Lima
6,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,6,—,1,Dj GBR
7,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,3,5,10,Gusttavo Lima
8,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,8,22,12,Zé Neto & Cristiano
9,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,3,7,8,Felipe Amorim
10,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,9,9,27,Grupo Menos É Mais
11,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,8,33,AgroPlay
12,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,4,14,34,Simone Mendes
13,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,3,12,29,Israel & Rodolffo
14,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,4,10,12,Luan Pereira
15,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,18,32,Guilherme & Benuto
16,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,11,17,7,Felipe Amorim
17,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,9,11,19,Guilherme & Benuto
18,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,13,17,DENNIS
19,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,2,19,13,Mc Livinho
20,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,4,15,33,Henrique & Juliano
21,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,10,20,15,Luan Santana
22,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),22,25,4,Ana Castela
23,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,15,21,15,Hugo & Guilherme
24,spotify:track:43eRVwfXFkY3kXN4K47gNT,Chico,6,6,3,Luísa Sonza
25,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,7,23,27,Zé Neto & Cristiano
26,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",2,24,14,Mc Pedrinho
27,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,20,27,10,Vulgo FK
28,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,26,26,8,Henrique & Juliano
29,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,25,29,14,Diego & Victor Hugo
30,spotify:track:0SWDToufOxRVIngk8c1oZi,AMBIENTE ERRADO - Ao Vivo,24,31,7,Luan Santana
31,spotify:track:0WrM1ON5poAsmKw3x5uPhD,Narcisista - Ao Vivo,26,28,10,Maiara & Maraisa
32,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,27,35,8,Gusttavo Lima
33,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,30,31,Zé Neto & Cristiano
34,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,11,33,14,Kadu Martins
35,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,31,38,18,Israel & Rodolffo
36,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,12,34,18,Veigh
37,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,7,37,33,Matheus & Kauan
38,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",28,39,13,Melody
39,spotify:track:4vdFF0P7oTZoeKvnfIsbh3,Te Esqueci Sem Querer - Ao Vivo Em Brasília,24,36,22,Henrique & Juliano
40,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,40,61,3,MC Rogerinho
41,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,41,41,Marília Mendonça
42,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,3,32,25,Hugo & Guilherme
