rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,1,15,Guilherme & Benuto
2,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,2,5,7,Guilherme & Benuto
3,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,3,7,5,Diego & Victor Hugo
4,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,3,4,11,Mc Paiva ZS
5,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,2,2,9,Hugo & Guilherme
6,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,3,3,10,Jorge & Mateus
7,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,7,25,3,Gustavo Mioto
8,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,1,6,13,Gusttavo Lima
9,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,8,38,Hugo & Guilherme
10,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,3,9,8,Luan Santana
11,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,3,10,22,Jorge & Mateus
12,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,12,13,9,Matheus & Kauan
13,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,1,11,25,Hugo & Guilherme
14,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,12,18,Ana Castela
15,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,3,14,12,Mc Jacaré
16,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,16,27,Gusttavo Lima
17,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,17,20,9,Murilo Huff
18,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,3,15,11,Marília Mendonça
19,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,10,17,29,Matheus & Kauan
20,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,15,19,19,Israel & Rodolffo
21,spotify:track:7dG9DMiqxz365ItjlsRGMQ,Acabei de Terminar - Ao Vivo,12,18,26,Paulo e Nathan
22,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,7,22,16,L7NNON
23,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,15,21,10,DJ AK BR
24,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,17,23,19,Murilo Huff
25,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,24,27,19,Mari Fernandez
26,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),26,34,2,Sam Smith
27,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,6,30,28,Matheus Fernandes
28,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,7,31,20,Henrique & Juliano
29,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,2,24,25,Luan Santana
30,spotify:track:5TPXcKSOlPaz2pkYbWiWHU,Ai Eu Chorei - Ao Vivo,24,26,13,Clayton & Romário
