track_name,artist,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,duration_ms,genre,is_hit,Unnamed: 0,id,artist_names,name,genres,key,mode,tempo,time_signature,artists_ids,groove_factor,commercial_appeal,energy_dance_ratio,vocal_presence,bpm_category,loudness_normalized,hit_potential_score,acoustic_electric_balance,is_music
Tuyo (Narcos Theme) [Extended Version] - A Netflix Original Series Soundtrack,Rodrigo Amarante,112.195,0.497,0.765,0.457,0.492,0.366,0.143,0.0402,-7.806,151565.0,mpb,1.0,,,,,,,,,,,0.6185916666666667,0.7047399999999999,0.6412903225806451,0.634,1.0,0.8699,0.6169740000000001,0.984,1.0
Tuyo (Narcos Theme) - A Netflix Original Series Soundtrack,Rodrigo Amarante,112.219,0.422,0.72,0.546,0.474,0.0847,0.155,0.069,-13.338,89293.0,mpb,1.0,,,,,,,,,,,0.5736316666666667,0.68502,0.5780821917808219,0.9153,1.0,0.7777,0.592302,0.948,1.0
Azul (Ao Vivo),Djavan,119.567,0.651,0.632,0.652,0.756,3.99e-06,0.726,0.0401,-8.658,259066.0,mpb,1.0,,,,,,,,,,,0.6105783333333333,0.77422,1.014018691588785,0.99999601,1.0,0.8557,0.655922,0.488,1.0
Apaga a Luz (feat. Olívia),Nicolas Candido;Olívia,96.313,0.42,0.61,0.553,0.815,0.0,0.123,0.0462,-10.889,216446.0,mpb,1.0,,,,,,,,,,,0.4915216666666667,0.7123100000000001,0.6774193548387096,1.0,1.0,0.8185166666666668,0.5518310000000001,0.3700000000000001,1.0
Pareço um Menino,Fábio Jr.,136.408,0.33,0.58,0.373,0.596,1.44e-06,0.0849,0.0295,-13.703,273906.0,mpb,1.0,,,,,,,,,,,0.5163466666666667,0.6121699999999999,0.5593220338983051,0.99999856,2.0,0.7716166666666666,0.4668169999999999,0.808,1.0
Amado - Ao Vivo,Vanessa Da Mata,168.139,0.469,0.357,0.263,0.848,0.000239,0.924,0.043,-11.003,244426.0,mpb,1.0,,,,,,,,,,,0.49943166666666666,0.59517,1.2779291553133514,0.999761,3.0,0.8166166666666667,0.39561699999999994,0.30400000000000005,1.0
FESTA JOVEM,Lagum,130.099,0.438,0.819,0.809,0.378,0.0,0.37,0.303,-10.611,112052.0,mpb,1.0,,,,,,,,,,,0.6577316666666666,0.81749,0.5283474065138721,1.0,2.0,0.8231499999999999,0.7025490000000001,0.756,1.0
Identidade - Ao vivo,Jorge Aragão,105.843,0.721,0.581,0.67,0.612,0.000358,0.648,0.0441,-9.86,231866.0,mpb,1.0,,,,,,,,,,,0.583205,0.7694,1.2199661590524535,0.999642,1.0,0.8356666666666667,0.65964,0.776,1.0
Tendo A Lua - Ao Vivo,Os Paralamas Do Sucesso,167.815,0.794,0.492,0.683,0.196,2.62e-06,0.873,0.046,-5.823,200826.0,mpb,1.0,,,,,,,,,,,0.6638916666666667,0.81497,1.5816733067729085,0.99999738,3.0,0.90295,0.653097,0.392,1.0
Sobre o Tempo,Pato Fu,94.946,0.551,0.633,0.427,0.00731,0.123,0.144,0.0427,-12.294,207533.0,mpb,1.0,,,,,,,,,,,0.5400433333333333,0.64786,0.8569206842923796,0.877,1.0,0.7951,0.568686,0.014619999999999966,1.0
Look To The Sky,Antônio Carlos Jobim,132.383,0.215,0.499,0.74,0.898,0.913,0.0989,0.031,-17.369,137933.0,mpb,0.0,,,,,,,,,,,0.43463833333333335,0.72231,0.4223968565815324,0.08699999999999997,2.0,0.7105166666666667,0.484331,0.20399999999999996,1.0
Acenda o farol,Tim Maia,123.095,0.883,0.574,0.692,0.0606,0.0,0.0524,0.136,-6.686,192026.0,mpb,0.0,,,,,,,,,,,0.6570583333333333,0.8099399999999999,1.5119863013698631,1.0,2.0,0.8885666666666666,0.7138939999999999,0.12119999999999997,1.0
Monalisa,Jorge Vercillo,124.968,0.873,0.773,0.636,0.482,1.87e-06,0.0995,0.0486,-4.955,222732.0,mpb,1.0,,,,,,,,,,,0.75668,0.8048500000000001,1.114942528735632,0.99999813,2.0,0.9174166666666667,0.778785,0.964,1.0
Fácil - Acústico,Jota Quest,95.914,0.537,0.556,0.313,0.377,0.0,0.757,0.0282,-10.761,229540.0,mpb,1.0,,,,,,,,,,,0.4989566666666667,0.6175900000000001,0.9487632508833922,1.0,1.0,0.8206500000000001,0.5078590000000001,0.754,1.0
Se eu lembro faz doer,Tim Maia,132.938,0.752,0.446,0.476,0.448,4.38e-05,0.121,0.0528,-8.252,230706.0,mpb,0.0,,,,,,,,,,,0.5701633333333334,0.70788,1.6491228070175439,0.9999562,2.0,0.8624666666666666,0.569988,0.896,1.0
Eu Apenas Queria Que Você Soubesse,Gonzaguinha,139.12,0.505,0.559,0.776,0.737,0.0,0.0878,0.0335,-9.446,155466.0,mpb,1.0,,,,,,,,,,,0.5628666666666667,0.81594,0.8875219683655535,1.0,2.0,0.8425666666666667,0.6118939999999999,0.526,1.0
Amor Maior - Acústico,Jota Quest,76.008,0.538,0.582,0.355,0.636,2.23e-06,0.868,0.0353,-9.395,235385.0,mpb,1.0,,,,,,,,,,,0.47908,0.64805,0.9087837837837839,0.99999777,0.0,0.8434166666666667,0.5300050000000001,0.728,1.0
