track_name,artist_name,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,is_hit
Juanita la Chismosa,El Caribefunk,90.028,0.606,0.761,0.956,0.652,0.0,0.281,0.0376,-4.686,1
Disk Me,Pabllo Vittar,140.014,0.61,0.761,0.29,0.141,0.0,0.124,0.0447,-5.856,1
Apaga a Luz,Gloria Groove,105.049,0.61,0.636,0.489,0.57,0.0,0.09,0.0785,-6.294,1
Longe - Acústico,Lizandra,96.114,0.22,0.434,0.307,0.911,0.0,0.117,0.0356,-9.359,0
Onda,Mc Tha,95.018,0.624,0.653,0.562,0.142,1.55e-05,0.0997,0.0367,-7.907,0
Nervous (The Ooh Song) - Mark McCabe Remix,Gavin James,105.043,0.819,0.645,0.286,0.244,0.000446,0.27,0.0402,-7.418,0
Nervous - The Ooh Song: Mark McCabe Remix,Gavin James,103.85,0.874,0.432,0.374,0.0732,6.14e-06,0.371,0.0462,-5.558,1
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,101.965,0.713,0.663,0.69,0.0353,7.68e-06,0.0843,0.112,-6.647,1
Destination Sunrise,Bit Funk,107.988,0.838,0.611,0.431,0.00189,0.0525,0.0892,0.0371,-3.489,0
Hacerlo de Nuevo,McKlopedia,88.083,0.801,0.81,0.504,0.228,4.31e-06,0.102,0.335,-5.667,1
Evapora,IZA,103.909,0.707,0.69,0.677,0.125,2.77e-06,0.237,0.279,-4.789,1
Combatchy (feat. MC Rebecca),Anitta,150.134,0.73,0.826,0.605,0.383,0.000374,0.0197,0.0809,-3.032,1
SENTADÃO,Pedro Sampaio,173.997,0.869,0.68,0.924,0.178,0.0,0.223,0.0589,-1.94,1
Ela É do Tipo (feat. Drake) - Remix,MC Kevin o Chris,99.387,0.524,0.576,0.715,0.89,0.0,0.108,0.24,-5.428,1
Vem Me Satisfazer,MC Ingryd,99.864,0.561,0.862,0.541,0.596,0.0,0.108,0.335,-5.703,1
R.I.P. (feat. Rita Ora & Anitta),Sofia Reyes,100.066,0.752,0.764,0.698,0.18,0.0,0.0701,0.0711,-3.713,1
Todo Lo Que Quieres Es Bailar - feat. Descemer Bueno,Jorge Villamizar,103.031,0.834,0.733,0.675,0.347,1.81e-06,0.123,0.0477,-6.544,1
Te Viví,Villamizar,108.958,0.927,0.749,0.507,0.132,0.0,0.304,0.0412,-2.952,1
La Rosa,Jorge Villamizar,107.95,0.867,0.753,0.817,0.36,0.0,0.102,0.0573,-3.901,0
Rosa,Anitta,87.932,0.673,0.687,0.551,0.449,0.0,0.0746,0.0771,-4.078,1
Get Mad,Tommy Mc,123.999,0.964,0.718,0.487,0.00483,0.00485,0.83,0.0839,-9.058,0
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,92.033,0.829,0.761,0.813,0.167,0.0,0.189,0.0681,-3.203,0
Quizas,Tony Dize,89.997,0.657,0.767,0.906,0.333,0.0,0.0375,0.0725,-5.666,1
Ay Mi Dios,IAmChino,92.033,0.829,0.761,0.813,0.167,0.0,0.189,0.0681,-3.203,1
Drive Me Crazy,Funky XV,90.226,0.805,0.655,0.45,0.119,0.0,0.108,0.377,-6.379,0
Te Olvidé,NAIZA,183.999,0.518,0.8,0.597,0.158,1.31e-05,0.11,0.472,-8.777,0
Quizas,Rich Music LTD,176.075,0.815,0.727,0.677,0.0258,0.0,0.231,0.153,-2.454,1
Quizas - Remix,Tony Dize,89.988,0.679,0.787,0.875,0.416,0.0,0.15,0.0658,-4.913,0
Downtown,Anitta,166.008,0.679,0.775,0.619,0.18,7.26e-05,0.068,0.135,-4.985,1
Disfraza,IAmChino,97.831,0.793,0.506,0.657,0.662,4.26e-06,0.123,0.328,-4.731,0
"Fuego (with Sean Paul & Anitta, feat. Tainy)",DJ Snake,104.906,0.859,0.819,0.612,0.0244,0.0,0.0916,0.224,-6.264,1
Vacilón,iZaak,166.009,0.745,0.666,0.535,0.196,0.0,0.105,0.0649,-4.892,0
"Ay MI Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,92.033,0.829,0.761,0.813,0.167,0.0,0.189,0.0681,-3.203,1
Vai malandra (feat. Tropkillaz & DJ Yuri Martins),Anitta,129.924,0.55,0.876,0.557,0.0227,4.52e-05,0.294,0.152,-5.464,1
Funky Melody,Ballin Entertainment,130.209,0.583,0.808,0.796,0.00326,0.0178,0.115,0.0475,-13.049,0
