track_name,artist_name,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,is_hit,groove_factor,commercial_appeal,energy_dance_ratio,vocal_presence,bpm_category,loudness_normalized,hit_potential_score,acoustic_electric_balance,is_music
Juanita la Chismosa,El Caribefunk,90.028,0.606,0.761,0.956,0.652,0.0,0.281,0.0376,-4.686,1,0.6123466666666667,0.93554,0.7859922178988327,1.0,1.0,0.9219,0.770954,0.696,1.0
Disk Me,Pabllo Vittar,140.014,0.61,0.761,0.29,0.141,0.0,0.124,0.0447,-5.856,1,0.6968566666666667,0.6574399999999999,0.7911802853437094,1.0,3.0,0.9024,0.611144,0.28200000000000003,1.0
Apaga a Luz,Gloria Groove,105.049,0.61,0.636,0.489,0.57,0.0,0.09,0.0785,-6.294,1,0.5760816666666667,0.73266,0.9442724458204333,1.0,1.0,0.8951,0.608466,0.8600000000000001,1.0
Longe - Acústico,Lizandra,96.114,0.22,0.434,0.307,0.911,0.0,0.117,0.0356,-9.359,0,0.34319000000000005,0.6292099999999999,0.4954954954954955,1.0,1.0,0.8440166666666666,0.363921,0.17799999999999994,1.0
Onda,Mc Tha,95.018,0.624,0.653,0.562,0.142,1.55e-05,0.0997,0.0367,-7.907,0,0.5720633333333334,0.74573,0.9411764705882353,0.9999845,1.0,0.8682166666666667,0.6353730000000001,0.28400000000000003,1.0
Nervous (The Ooh Song) - Mark McCabe Remix,Gavin James,105.043,0.819,0.645,0.286,0.244,0.000446,0.27,0.0402,-7.418,0,0.6432716666666667,0.64022,1.2503816793893128,0.999554,1.0,0.8763666666666666,0.6249220000000001,0.488,1.0
Nervous - The Ooh Song: Mark McCabe Remix,Gavin James,103.85,0.874,0.432,0.374,0.0732,6.14e-06,0.371,0.0462,-5.558,1,0.5512833333333332,0.6940200000000001,1.9773755656108598,0.99999386,1.0,0.9073666666666667,0.579202,0.14639999999999997,1.0
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,101.965,0.713,0.663,0.69,0.0353,7.68e-06,0.0843,0.112,-6.647,1,0.6153416666666667,0.8095299999999999,1.0594353640416045,0.99999232,1.0,0.8892166666666667,0.698053,0.0706,1.0
Destination Sunrise,Bit Funk,107.988,0.838,0.611,0.431,0.00189,0.0525,0.0892,0.0371,-3.489,0,0.6368799999999999,0.73751,1.3494363929146538,0.9475,1.0,0.9418500000000001,0.655751,0.0037800000000000056,1.0
Hacerlo de Nuevo,McKlopedia,88.083,0.801,0.81,0.504,0.228,4.31e-06,0.102,0.335,-5.667,1,0.692105,0.74493,0.9768292682926829,0.99999569,0.0,0.90555,0.7395930000000001,0.45599999999999996,0.0
Evapora,IZA,103.909,0.707,0.69,0.677,0.125,2.77e-06,0.237,0.279,-4.789,1,0.6302816666666666,0.82291,1.01,0.99999723,1.0,0.9201833333333334,0.705791,0.25,1.0
Combatchy (feat. MC Rebecca),Anitta,150.134,0.73,0.826,0.605,0.383,0.000374,0.0197,0.0809,-3.032,1,0.7822233333333333,0.81168,0.8732057416267943,0.999626,3.0,0.9494666666666667,0.751568,0.766,1.0
SENTADÃO,Pedro Sampaio,173.997,0.869,0.68,0.924,0.178,0.0,0.223,0.0589,-1.94,1,0.790695,0.9502,1.2594202898550724,1.0,3.0,0.9676666666666667,0.81252,0.356,1.0
Ela É do Tipo (feat. Drake) - Remix,MC Kevin o Chris,99.387,0.524,0.576,0.715,0.89,0.0,0.108,0.24,-5.428,1,0.510845,0.83172,0.8941979522184301,1.0,1.0,0.9095333333333334,0.613772,0.21999999999999997,1.0
Vem Me Satisfazer,MC Ingryd,99.864,0.561,0.862,0.541,0.596,0.0,0.108,0.335,-5.703,1,0.66574,0.75937,0.6433486238532111,1.0,1.0,0.9049499999999999,0.697237,0.808,0.0
R.I.P. (feat. Rita Ora & Anitta),Sofia Reyes,100.066,0.752,0.764,0.698,0.18,0.0,0.0701,0.0711,-3.713,1,0.6743766666666667,0.84207,0.9715762273901809,1.0,1.0,0.9381166666666666,0.7550070000000001,0.36,1.0
Todo Lo Que Quieres Es Bailar - feat. Descemer Bueno,Jorge Villamizar,103.031,0.834,0.733,0.675,0.347,1.81e-06,0.123,0.0477,-6.544,1,0.6884183333333334,0.80456,1.1224764468371466,0.99999819,1.0,0.8909333333333334,0.758856,0.694,1.0
Te Viví,Villamizar,108.958,0.927,0.749,0.507,0.132,0.0,0.304,0.0412,-2.952,1,0.7341966666666667,0.77328,1.2213438735177866,1.0,1.0,0.9508,0.7564280000000001,0.264,1.0
La Rosa,Jorge Villamizar,107.95,0.867,0.753,0.817,0.36,0.0,0.102,0.0573,-3.901,0,0.7165166666666667,0.88779,1.1363040629095675,1.0,1.0,0.9349833333333334,0.8134790000000001,0.72,1.0
Rosa,Anitta,87.932,0.673,0.687,0.551,0.449,0.0,0.0746,0.0771,-4.078,1,0.5919533333333333,0.77962,0.9655667144906743,1.0,0.0,0.9320333333333333,0.664862,0.898,1.0
Get Mad,Tommy Mc,123.999,0.964,0.718,0.487,0.00483,0.00485,0.83,0.0839,-9.058,0,0.7548649999999999,0.70422,1.3241758241758241,0.99515,2.0,0.8490333333333333,0.744222,0.009660000000000002,1.0
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,92.033,0.829,0.761,0.813,0.167,0.0,0.189,0.0681,-3.203,0,0.6825883333333334,0.89317,1.0752269779507133,1.0,1.0,0.9466166666666667,0.8050169999999999,0.3340000000000001,1.0
Quizas,Tony Dize,89.997,0.657,0.767,0.906,0.333,0.0,0.0375,0.0725,-5.666,1,0.630595,0.9057400000000001,0.8455598455598455,1.0,0.0,0.9055666666666667,0.7756740000000001,0.666,1.0
Ay Mi Dios,IAmChino,92.033,0.829,0.761,0.813,0.167,0.0,0.189,0.0681,-3.203,1,0.6825883333333334,0.89317,1.0752269779507133,1.0,1.0,0.9466166666666667,0.8050169999999999,0.3340000000000001,1.0
Drive Me Crazy,Funky XV,90.226,0.805,0.655,0.45,0.119,0.0,0.108,0.377,-6.379,0,0.6193766666666666,0.71621,1.2105263157894737,1.0,1.0,0.8936833333333334,0.6651210000000001,0.238,0.0
Te Olvidé,NAIZA,183.999,0.518,0.8,0.597,0.158,1.31e-05,0.11,0.472,-8.777,0,0.7554000000000001,0.75103,0.6395061728395062,0.9999869,3.0,0.8537166666666667,0.669903,0.31600000000000006,0.0
Quizas,Rich Music LTD,176.075,0.815,0.727,0.677,0.0258,0.0,0.231,0.153,-2.454,1,0.8014583333333333,0.84626,1.1058344640434192,1.0,3.0,0.9591,0.755326,0.05159999999999998,1.0
Quizas - Remix,Tony Dize,89.988,0.679,0.787,0.875,0.416,0.0,0.15,0.0658,-4.913,0,0.6471800000000001,0.9008700000000001,0.8519447929736512,1.0,0.0,0.9181166666666667,0.7835870000000001,0.832,1.0
Downtown,Anitta,166.008,0.679,0.775,0.619,0.18,7.26e-05,0.068,0.135,-4.985,1,0.7678800000000001,0.7977500000000001,0.8649681528662421,0.9999274,3.0,0.9169166666666667,0.7172750000000001,0.36,1.0
Disfraza,IAmChino,97.831,0.793,0.506,0.657,0.662,4.26e-06,0.123,0.328,-4.731,0,0.5539516666666666,0.81549,1.5368217054263567,0.99999574,1.0,0.92115,0.6532490000000001,0.6759999999999999,1.0
"Fuego (with Sean Paul & Anitta, feat. Tainy)",DJ Snake,104.906,0.859,0.819,0.612,0.0244,0.0,0.0916,0.224,-6.264,1,0.7420433333333334,0.78216,1.0361881785283475,1.0,1.0,0.8956,0.7859160000000001,0.048799999999999955,1.0
Vacilón,iZaak,166.009,0.745,0.666,0.535,0.196,0.0,0.105,0.0649,-4.892,0,0.7331816666666666,0.76508,1.1020710059171597,1.0,3.0,0.9184666666666667,0.673408,0.392,1.0
"Ay MI Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,92.033,0.829,0.761,0.813,0.167,0.0,0.189,0.0681,-3.203,1,0.6825883333333334,0.89317,1.0752269779507133,1.0,1.0,0.9466166666666667,0.8050169999999999,0.3340000000000001,1.0
Vai malandra (feat. Tropkillaz & DJ Yuri Martins),Anitta,129.924,0.55,0.876,0.557,0.0227,4.52e-05,0.294,0.152,-5.464,1,0.7195400000000001,0.76816,0.6207674943566592,0.9999548,2.0,0.9089333333333334,0.7036160000000001,0.045399999999999996,1.0
Funky Melody,Ballin Entertainment,130.209,0.583,0.808,0.796,0.00326,0.0178,0.115,0.0475,-13.049,0,0.695915,0.78791,0.7127139364303178,0.9822,2.0,0.7825166666666666,0.736091,0.00651999999999997,1.0
Trouble (Feat. MC Spyder) - Original Mix,Wiwek,128.002,0.983,0.717,0.077,0.0535,0.491,0.108,0.0942,-1.615,0,0.7667366666666666,0.61465,1.3521320495185696,0.509,2.0,0.9730833333333333,0.658565,0.10699999999999998,1.0
Surra de Bunda - Gregor Salto and Sidney Samson Remix,As Tequileiras do Funk,126.0,0.758,0.888,0.396,0.00151,0.000349,0.0979,0.257,-4.484,0,0.7814,0.71356,0.844097995545657,0.999651,2.0,0.9252666666666667,0.733156,0.0030200000000000227,1.0
Elements - Original Mix,Franky Rizardo,123.987,0.869,0.8,0.237,0.00144,0.82,0.036,0.0596,-4.3,0,0.767345,0.6517999999999999,1.0728395061728395,0.18000000000000005,2.0,0.9283333333333333,0.69328,0.0028799999999999937,1.0
Funky Little Beat,Connie,116.977,0.652,0.761,0.574,0.00769,0.000111,0.119,0.0354,-8.324,0,0.6710616666666668,0.74636,0.8456549935149157,0.999889,1.0,0.8612666666666667,0.689436,0.01537999999999995,1.0
Funky Little Beat,Debbie Deb,120.014,0.743,0.813,0.642,0.0688,0.00339,0.272,0.0434,-10.008,0,0.7294233333333333,0.7567200000000001,0.9027946537059539,0.99661,2.0,0.8332,0.7521720000000001,0.13759999999999994,1.0
Rapido y Lento (feat. Didy) - Smoothies & Vaizar Remix,Max Brigante,118.391,0.807,0.6,0.836,0.0528,0.0,0.115,0.381,-1.89,0,0.6394183333333334,0.9155,1.3229508196721314,1.0,1.0,0.9685,0.74085,0.10560000000000003,0.0
Impulso (feat. Funky),Evan Craft,96.004,0.802,0.721,0.661,0.135,1.24e-06,0.338,0.046,-6.226,0,0.6611066666666666,0.8021400000000001,1.0971272229822162,0.99999876,1.0,0.8962333333333333,0.741414,0.27,1.0
Promesas,Funky,87.96,0.896,0.709,0.626,0.0996,0.0,0.0587,0.127,-2.175,1,0.6698999999999999,0.8286499999999999,1.2461752433936022,1.0,0.0,0.96375,0.760465,0.19920000000000004,1.0
Perfecto,GabrielRodriguezEMC,149.994,0.734,0.732,0.489,0.753,0.0,0.0985,0.111,-5.139,0,0.7361899999999999,0.7442099999999999,0.9892183288409704,1.0,3.0,0.91435,0.685221,0.494,1.0
Lo Que Traigo Es Flow,Funky,98.236,0.924,0.775,0.755,0.405,0.0,0.0669,0.309,-2.783,0,0.7284266666666668,0.87417,1.1770700636942675,1.0,1.0,0.9536166666666667,0.825617,0.81,1.0
Luz y Sal (feat. Edward Sanchez),Funky,91.983,0.803,0.752,0.639,0.0442,0.0,0.302,0.0871,-6.752,1,0.670205,0.7880799999999999,1.0538057742782152,1.0,1.0,0.8874666666666666,0.7483080000000001,0.08840000000000003,1.0
Eres Mi Bendicion (feat. Alex Zurdo),Funky,96.031,0.792,0.744,0.744,0.0962,0.0,0.101,0.0751,-4.816,1,0.6696516666666668,0.84944,1.050397877984085,1.0,1.0,0.9197333333333333,0.7689440000000001,0.19240000000000002,1.0
Yo Soy Así,Funky,139.962,0.899,0.727,0.645,0.393,0.0,0.489,0.147,-4.429,1,0.76647,0.8137099999999999,1.2198100407055632,1.0,2.0,0.9261833333333332,0.770871,0.786,1.0
Es Imposible,Funky,114.975,0.868,0.691,0.811,0.0206,0.0,0.226,0.0536,-4.076,1,0.6975249999999998,0.88364,1.2382310984308131,1.0,1.0,0.9320666666666667,0.787364,0.041200000000000014,1.0
No Me Conformo (Quiero Más),Funky,124.992,0.929,0.793,0.806,0.0124,0.0,0.0691,0.112,-4.463,0,0.78352,0.8777699999999999,1.1569115815691158,1.0,2.0,0.9256166666666666,0.8448770000000001,0.024800000000000044,1.0
Heme Aquí (Remastered),Funky,83.991,0.661,0.7,0.362,0.0502,0.0,0.132,0.194,-7.576,0,0.5882850000000001,0.6690400000000001,0.9309859154929578,1.0,0.0,0.8737333333333334,0.6176039999999999,0.10040000000000004,1.0
Se Nota En Tus Ojos,Funky,88.039,0.84,0.751,0.509,0.0953,0.0,0.653,0.108,-4.674,1,0.6742316666666666,0.75686,1.1038107752956636,1.0,0.0,0.9221,0.729886,0.1906,1.0
No Fallará,Funky,139.905,0.773,0.768,0.39,0.0666,0.0,0.106,0.282,-5.402,0,0.749075,0.70198,0.993573264781491,1.0,2.0,0.9099666666666667,0.687298,0.13319999999999999,1.0
Mi Producto,GabrielRodriguezEMC,104.345,0.835,0.689,0.605,0.25,0.0,0.179,0.37,-3.168,0,0.6689083333333333,0.81032,1.1945636623748213,1.0,1.0,0.9472,0.728132,0.5,0.0
Ohne mein Team,Bonez MC,129.966,0.788,0.774,0.594,0.14,2.45e-05,0.0819,0.104,-6.207,0,0.74001,0.7755299999999999,1.0051020408163265,0.9999755,2.0,0.89655,0.742353,0.28,1.0
Gia Sena Liono,MC Gkimpakos,158.658,0.842,0.515,0.673,0.304,0.0,0.302,0.381,-1.828,0,0.67453,0.8509199999999999,1.6038095238095238,1.0,3.0,0.9695333333333332,0.6782920000000001,0.608,0.0
La Rosa De Los Vientos,Makiza,89.948,0.578,0.657,0.819,0.236,0.00746,0.212,0.13,-6.682,1,0.5518133333333334,0.86078,0.8665667166416791,0.99254,0.0,0.8886333333333333,0.6860780000000001,0.472,1.0
Papi ¿Dónde Está El Funk?,Los Tetas,76.886,0.683,0.646,0.668,0.33,2.65e-05,0.624,0.274,-8.517,1,0.5560433333333333,0.78203,1.041158536585366,0.9999735,0.0,0.8580500000000001,0.6751030000000001,0.66,1.0
I Love You a Lo Vío (feat. Movimiento Original),Chystemc,91.521,0.8,0.727,0.494,0.501,0.0,0.352,0.138,-5.061,1,0.6560349999999999,0.7469899999999999,1.085481682496608,1.0,1.0,0.91565,0.7042989999999999,0.998,1.0
Humble And Kind,Tim McGraw,100.956,0.48,0.355,0.137,0.679,2.28e-06,0.12,0.0282,-7.31,1,0.38976,0.5816999999999999,1.3150684931506849,0.99999772,1.0,0.8781666666666667,0.37156999999999996,0.6419999999999999,1.0
Uptown Funk - Radio Edit,Mark Ronson,115.001,0.65,0.854,0.916,0.00794,3.43e-05,0.0692,0.105,-5.339,0,0.7136683333333333,0.9130100000000001,0.7523148148148149,0.9999657,1.0,0.9110166666666667,0.8111010000000001,0.015880000000000005,1.0
